mse,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/online_lr,config/OCAR_regul,config/OCAR_alpha_ema,logdir
1.344130675425675,1751594253,,False,1,8ed2c437,2025-07-04_03-57-33,973.3679025173187,973.3679025173187,37130,dl580-gpu3.unipi.it,131.114.142.6,973.3679025173187,1,0.0003791401255208193,0.11955986871068842,0.3750161273990067,8ed2c437
1143777351726351.8,1751594331,,False,1,84516540,2025-07-04_03-58-51,1048.0242052078247,1048.0242052078247,37257,dl580-gpu3.unipi.it,131.114.142.6,1048.0242052078247,1,0.0038049379924947023,0.016851934894916903,0.8044456753007461,84516540
1.8259654530481582,1751594276,,False,1,edd078c0,2025-07-04_03-57-56,990.7423770427704,990.7423770427704,37488,dl580-gpu3.unipi.it,131.114.142.6,990.7423770427704,1,0.00013388259650058332,0.0348029399646849,0.23476960130289382,edd078c0
0.9977111448281062,1751594231,,False,1,ac096d45,2025-07-04_03-57-11,942.5333304405212,942.5333304405212,37734,dl580-gpu3.unipi.it,131.114.142.6,942.5333304405212,1,0.00030910984492952273,0.08419483324921702,0.9016386569107059,ac096d45
1e+20,1751593691,,False,1,c66dcc26,2025-07-04_03-48-11,399.86506843566895,399.86506843566895,38025,dl580-gpu3.unipi.it,131.114.142.6,399.86506843566895,1,0.016509446272040408,0.013676265399191015,0.8388570779180697,c66dcc26
1e+20,1751593405,,False,1,812bde4d,2025-07-04_03-43-25,110.43974423408508,110.43974423408508,38549,dl580-gpu3.unipi.it,131.114.142.6,110.43974423408508,1,0.0669652395933197,0.08261980739178099,0.7838443234649588,812bde4d
1e+20,1751593511,,False,1,416fcc9c,2025-07-04_03-45-11,102.15179991722107,102.15179991722107,42866,dl580-gpu3.unipi.it,131.114.142.6,102.15179991722107,1,0.08224612629092524,0.08498392853684122,0.9202902871410308,416fcc9c
1.0299997788983484,1751594441,,False,1,50dfb983,2025-07-04_04-00-41,927.0036518573761,927.0036518573761,44758,dl580-gpu3.unipi.it,131.114.142.6,927.0036518573761,1,0.00031973732153761376,0.4194347830456779,0.8066379132644231,50dfb983
6.697563543509846e+21,1751594729,,False,1,08552ca9,2025-07-04_04-05-29,1035.0093088150024,1035.0093088150024,47681,dl580-gpu3.unipi.it,131.114.142.6,1035.0093088150024,1,0.006439167041546174,0.029716787626434198,0.9275705692365596,08552ca9
1e+20,1751594487,,False,1,25ff1c5a,2025-07-04_04-01-27,252.60832738876343,252.60832738876343,55989,dl580-gpu3.unipi.it,131.114.142.6,252.60832738876343,1,0.022717253594829814,0.7650508683788735,0.9364319598144316,25ff1c5a
