mse,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/online_lr,config/OCAR_regul,config/OCAR_alpha_ema,config/OCAR_score_lr,logdir
21.880664551823326,1754961430,,False,1,232e8ec5,2025-08-12_03-17-10,1371.7273726463318,1371.7273726463318,57326,dl580-gpu3.unipi.it,131.114.142.6,1371.7273726463318,1,0.019401415079877,0.018006063504770152,0.7050020398056888,0.23806763614692728,232e8ec5
15.647198605827224,1754961532,,False,1,0daf9418,2025-08-12_03-18-52,1466.9169919490814,1466.9169919490814,57598,dl580-gpu3.unipi.it,131.114.142.6,1466.9169919490814,1,0.00022463739984157323,0.02196422038967767,0.06446746748568344,0.0867115110161969,0daf9418
16.259035445856917,1754961652,,False,1,ee5e0f85,2025-08-12_03-20-52,1578.9931931495667,1578.9931931495667,58188,dl580-gpu3.unipi.it,131.114.142.6,1578.9931931495667,1,0.022681370234889666,0.02117241348045482,0.46142216235121347,0.03540126704090269,ee5e0f85
19.728142108193374,1754961548,,False,1,1dddd4c5,2025-08-12_03-19-08,1467.5331473350525,1467.5331473350525,58386,dl580-gpu3.unipi.it,131.114.142.6,1467.5331473350525,1,0.013098154049071232,0.5041741609801942,0.18304814986330398,0.05862577689803304,1dddd4c5
1e+20,1754960095,,False,1,36312a4d,2025-08-12_02-54-55,6.082963228225708,6.082963228225708,58644,dl580-gpu3.unipi.it,131.114.142.6,6.082963228225708,1,0.00042998173298708874,0.010459834825536243,0.4299140467217457,0.06004109985521108,36312a4d
19.02763698153475,1754961601,,False,1,14c4a3a9,2025-08-12_03-20-01,1504.6584951877594,1504.6584951877594,58837,dl580-gpu3.unipi.it,131.114.142.6,1504.6584951877594,1,0.014762777895236332,0.1847551909836342,0.25664123589614396,0.024511454753197593,14c4a3a9
15.807300849030343,1754961570,,False,1,6aa1adae,2025-08-12_03-19-30,1466.5062539577484,1466.5062539577484,59028,dl580-gpu3.unipi.it,131.114.142.6,1466.5062539577484,1,0.00036386862052992117,0.47916020886583216,0.6962024368796754,0.03243270119220178,6aa1adae
20.541475770158673,1754962683,,False,1,a8ca5cbb,2025-08-12_03-38-03,1241.5038652420044,1241.5038652420044,77449,dl580-gpu3.unipi.it,131.114.142.6,1241.5038652420044,1,0.03088153781848037,0.4026246577716369,0.3332484828192719,0.2884714620394784,a8ca5cbb
15.653901248028209,1754962842,,False,1,eca92547,2025-08-12_03-40-42,1299.9706797599792,1299.9706797599792,78813,dl580-gpu3.unipi.it,131.114.142.6,1299.9706797599792,1,0.0017650371003196494,0.4074801089561605,0.44409853308479785,0.04751276214792546,eca92547
19208.579753178063,1754962820,,False,1,a7b4e68f,2025-08-12_03-40-20,1262.9924952983856,1262.9924952983856,79088,dl580-gpu3.unipi.it,131.114.142.6,1262.9924952983856,1,0.09020054774653058,0.021572760740176538,0.6887798064824103,0.6580761344685121,a7b4e68f
17.47606302774427,1754962814,,False,1,db1282c3,2025-08-12_03-40-14,1233.5407419204712,1233.5407419204712,79517,dl580-gpu3.unipi.it,131.114.142.6,1233.5407419204712,1,0.0038809217470548445,0.7027243341722117,0.5310098428963312,0.19600528551893143,db1282c3
1e+20,1754962024,,False,1,5b2971bd,2025-08-12_03-27-04,413.1146788597107,413.1146788597107,80043,dl580-gpu3.unipi.it,131.114.142.6,413.1146788597107,1,0.003765580200435071,0.2267495153879713,0.392448084104547,0.7144437195864398,5b2971bd
20.492405701957875,1754962811,,False,1,08b61802,2025-08-12_03-40-11,1149.44473862648,1149.44473862648,80894,dl580-gpu3.unipi.it,131.114.142.6,1149.44473862648,1,0.041841607046041104,0.2994880366164894,0.4098658635247654,0.7853678321959782,08b61802
15.638788043982556,1754963273,,False,1,b0621919,2025-08-12_03-47-53,1242.621601819992,1242.621601819992,85940,dl580-gpu3.unipi.it,131.114.142.6,1242.621601819992,1,0.0016683234897266596,0.39866654988866546,0.5450319830182739,0.16172543667154088,b0621919
18.1372193096409,1754963887,,False,1,71257974,2025-08-12_03-58-07,1192.3768768310547,1192.3768768310547,95387,dl580-gpu3.unipi.it,131.114.142.6,1192.3768768310547,1,0.0017467470143859862,0.02346907303105049,0.6094626981888862,0.8062335759138812,71257974
903.6647490025053,1754964516,,False,1,9e56c006,2025-08-12_04-08-36,1694.32860994339,1694.32860994339,97105,dl580-gpu3.unipi.it,131.114.142.6,1694.32860994339,1,0.05785574907065509,0.011453271402021065,0.17613813846235427,0.02407624864875868,9e56c006
15.895144172775355,1754964057,,False,1,01f47b33,2025-08-12_04-00-57,1229.3350751399994,1229.3350751399994,97285,dl580-gpu3.unipi.it,131.114.142.6,1229.3350751399994,1,0.0001316546610808352,0.06975060451438488,0.14847540725341402,0.4803856418585233,01f47b33
16.126544086944417,1754964054,,False,1,4c3853c4,2025-08-12_04-00-54,1220.9633965492249,1220.9633965492249,97622,dl580-gpu3.unipi.it,131.114.142.6,1220.9633965492249,1,0.00010568691466262628,0.12679599500858563,0.34956700511788374,0.6040755926930433,4c3853c4
17.973169133339518,1754964029,,False,1,8e5db54a,2025-08-12_04-00-29,1178.4813861846924,1178.4813861846924,97990,dl580-gpu3.unipi.it,131.114.142.6,1178.4813861846924,1,0.0032298995928939866,0.035223358149261495,0.767796529736064,0.9713186048971968,8e5db54a
