mse,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/online_lr,config/OCAR_regul,config/OCAR_alpha_ema,config/OCAR_score_lr,logdir
17.556577375429153,1754964650,,False,1,983256cf,2025-08-12_04-10-50,1433.7167670726776,1433.7167670726776,104572,dl580-gpu3.unipi.it,131.114.142.6,1433.7167670726776,1,0.005050116449049153,0.012189545490985887,0.8377384554735617,0.05456555629102715,983256cf
15.457357103089914,1754964618,,False,1,5ddd99c0,2025-08-12_04-10-18,1395.900850057602,1395.900850057602,104839,dl580-gpu3.unipi.it,131.114.142.6,1395.900850057602,1,0.0005662734038738196,0.47491289832270145,0.8019262904751145,0.017302158492537415,5ddd99c0
15.55257289830194,1754964519,,False,1,e9514849,2025-08-12_04-08-39,1290.661515712738,1290.661515712738,105032,dl580-gpu3.unipi.it,131.114.142.6,1290.661515712738,1,0.0012493405353603175,0.9269504938239471,0.6927745321642068,0.3093087822999909,e9514849
17.042761784355573,1754964497,,False,1,ae58fa89,2025-08-12_04-08-17,1263.1638009548187,1263.1638009548187,105641,dl580-gpu3.unipi.it,131.114.142.6,1263.1638009548187,1,0.0011374062928242478,0.011384444831880634,0.942188687184609,0.2911736425140317,ae58fa89
14.219084914633015,1754964686,,False,1,3e9bc28e,2025-08-12_04-11-26,1445.5461645126343,1445.5461645126343,105902,dl580-gpu3.unipi.it,131.114.142.6,1445.5461645126343,1,0.015230417779037133,0.3296963596781041,0.5946451085226166,0.013444939117354273,3e9bc28e
19.075342743806253,1754964491,,False,1,c902916a,2025-08-12_04-08-11,1243.745795249939,1243.745795249939,106162,dl580-gpu3.unipi.it,131.114.142.6,1243.745795249939,1,0.0014139397288017654,0.029067422915619263,0.1723983803712198,0.30513093309776373,c902916a
16.094289343045375,1754965767,,False,1,35b8769b,2025-08-12_04-29-27,1264.2945883274078,1264.2945883274078,136507,dl580-gpu3.unipi.it,131.114.142.6,1264.2945883274078,1,0.00016090446611356822,0.3482269960503702,0.5659383786385966,0.1397012183451173,35b8769b
16.385025691287,1754966002,,False,1,b54d3431,2025-08-12_04-33-22,1492.8418958187103,1492.8418958187103,136764,dl580-gpu3.unipi.it,131.114.142.6,1492.8418958187103,1,0.018400810234888567,0.05078527937213337,0.41626350332987494,0.027167985935900082,b54d3431
17.361458429989792,1754965869,,False,1,b842b3a1,2025-08-12_04-31-09,1339.9481773376465,1339.9481773376465,137396,dl580-gpu3.unipi.it,131.114.142.6,1339.9481773376465,1,0.001173920672037761,0.038746213600195874,0.9638535104446387,0.10107873253074567,b842b3a1
59.0371508768674,1754966130,,False,1,fe05c1a4,2025-08-12_04-35-30,1502.9839973449707,1502.9839973449707,140021,dl580-gpu3.unipi.it,131.114.142.6,1502.9839973449707,1,0.03801842602940304,0.015622996663669182,0.4257629807869844,0.06352982053915052,fe05c1a4
19.519651224830657,1754965958,,False,1,6fd134fc,2025-08-12_04-32-38,1297.6220245361328,1297.6220245361328,140903,dl580-gpu3.unipi.it,131.114.142.6,1297.6220245361328,1,0.020580117074450975,0.30186080572425633,0.6852441388099447,0.2190048529165374,6fd134fc
15.749695532151804,1754966026,,False,1,11df7cae,2025-08-12_04-33-46,1330.4579722881317,1330.4579722881317,141928,dl580-gpu3.unipi.it,131.114.142.6,1330.4579722881317,1,0.00020232131021457881,0.16809662540380577,0.3414032093132433,0.049085879761442575,11df7cae
17.365181636819152,1754967107,,False,1,5704b75d,2025-08-12_04-51-47,1330.3090035915375,1330.3090035915375,21643,dl580-gpu3.unipi.it,131.114.142.6,1330.3090035915375,1,0.001459598819298796,0.09202939941231564,0.4838097862274423,0.02006886621437534,5704b75d
21.573431845597106,1754967229,,False,1,4e2ca5ae,2025-08-12_04-53-49,1349.7835566997528,1349.7835566997528,24451,dl580-gpu3.unipi.it,131.114.142.6,1349.7835566997528,1,0.005099905655655524,0.06319108038949209,0.04081393554036583,0.04972200183211077,4e2ca5ae
17.638690904240512,1754967136,,False,1,e1738a74,2025-08-12_04-52-16,1167.7066669464111,1167.7066669464111,26765,dl580-gpu3.unipi.it,131.114.142.6,1167.7066669464111,1,0.006277974419178252,0.1632955808963233,0.5944857191514898,0.6810333730776471,e1738a74
19.46494125220377,1754967241,,False,1,27db3b83,2025-08-12_04-54-01,1229.1832966804504,1229.1832966804504,27878,dl580-gpu3.unipi.it,131.114.142.6,1229.1832966804504,1,0.024869177733388974,0.17476253387706167,0.3843802490079554,0.281035442023774,27db3b83
18.190638918530205,1754967439,,False,1,8275a398,2025-08-12_04-57-19,1403.3242027759552,1403.3242027759552,28598,dl580-gpu3.unipi.it,131.114.142.6,1403.3242027759552,1,0.010115795818252043,0.11409766691218166,0.7403902892431361,0.03015141448378315,8275a398
17.813732369861743,1754967508,,False,1,72b82eb9,2025-08-12_04-58-28,1365.020652294159,1365.020652294159,31251,dl580-gpu3.unipi.it,131.114.142.6,1365.020652294159,1,0.0034353211087872547,0.0800431960387047,0.5841225004186723,0.028573288012119294,72b82eb9
19.01016197689524,1754968354,,False,1,26e02c8b,2025-08-12_05-12-34,1236.1151547431946,1236.1151547431946,55327,dl580-gpu3.unipi.it,131.114.142.6,1236.1151547431946,1,0.00602895268398156,0.03138555393731042,0.5336695920640191,0.7395756717753357,26e02c8b
