mse,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/online_lr,config/OCAR_regul,config/OCAR_alpha_ema,logdir
1.7938225285909808,1751631832,,False,1,fd6ba797,2025-07-04_14-23-52,585.0510220527649,585.0510220527649,118540,dl580-gpu3.unipi.it,131.114.142.6,585.0510220527649,1,0.00016302036505005737,0.06370031138372602,0.7251378859480367,fd6ba797
1.0400630755892177,1751631839,,False,1,bba5b635,2025-07-04_14-23-59,589.6806523799896,589.6806523799896,118790,dl580-gpu3.unipi.it,131.114.142.6,589.6806523799896,1,0.0024512046603982784,0.06379850481298378,0.44558076475715924,bba5b635
1.0860651771422938,1751631844,,False,1,cf94fdbb,2025-07-04_14-24-04,591.7210941314697,591.7210941314697,118915,dl580-gpu3.unipi.it,131.114.142.6,591.7210941314697,1,0.001147415473512943,0.04042046797491232,0.1595101850146291,cf94fdbb
2.137478832235316,1751631845,,False,1,cf22ea58,2025-07-04_14-24-05,589.714049577713,589.714049577713,119164,dl580-gpu3.unipi.it,131.114.142.6,589.714049577713,1,0.0001259125133633179,0.30987257600246537,0.7224985940420252,cf22ea58
1.1604695981604343,1751631849,,False,1,0c64ef34,2025-07-04_14-24-09,590.9981143474579,590.9981143474579,119282,dl580-gpu3.unipi.it,131.114.142.6,590.9981143474579,1,0.0006748033277971342,0.10108372487999384,0.26130075785538276,0c64ef34
1e+20,1751631447,,False,1,40adf38c,2025-07-04_14-17-27,186.07138013839722,186.07138013839722,119931,dl580-gpu3.unipi.it,131.114.142.6,186.07138013839722,1,0.025524475015001713,0.01627287421611093,0.7719518181668886,40adf38c
1e+20,1751631633,,False,1,08c00aaf,2025-07-04_14-20-33,181.52818655967712,181.52818655967712,125458,dl580-gpu3.unipi.it,131.114.142.6,181.52818655967712,1,0.0401048843585541,0.1826616777772602,0.5393678228915316,08c00aaf
1.86262573797207,1751632226,,False,1,6d0efd5b,2025-07-04_14-30-26,589.3061945438385,589.3061945438385,130891,dl580-gpu3.unipi.it,131.114.142.6,589.3061945438385,1,0.00015527201894736752,0.08565776555404565,0.5912320063165895,6d0efd5b
1e+20,1751632007,,False,1,8134a0c1,2025-07-04_14-26-47,171.42536044120789,171.42536044120789,136664,dl580-gpu3.unipi.it,131.114.142.6,171.42536044120789,1,0.02235779677921404,0.057074310874273025,0.24554229418658835,8134a0c1
1.220936731581145,1751632436,,False,1,a796f9e9,2025-07-04_14-33-56,592.565691947937,592.565691947937,136995,dl580-gpu3.unipi.it,131.114.142.6,592.565691947937,1,0.00063838296669321,0.41310663378053347,0.33085420876197114,a796f9e9
1.3304433051869722,1751632439,,False,1,404843f2,2025-07-04_14-33-59,591.0929117202759,591.0929117202759,137254,dl580-gpu3.unipi.it,131.114.142.6,591.0929117202759,1,0.00044678574150928995,0.545356247161258,0.1216237495330521,404843f2
1e+20,1751632038,,False,1,cb2f6cfb,2025-07-04_14-27-18,186.80532574653625,186.80532574653625,137431,dl580-gpu3.unipi.it,131.114.142.6,186.80532574653625,1,0.008142612219183993,0.03737191802654552,0.42546691007993265,cb2f6cfb
1e+20,1751632036,,False,1,b10549c2,2025-07-04_14-27-16,181.82778406143188,181.82778406143188,137613,dl580-gpu3.unipi.it,131.114.142.6,181.82778406143188,1,0.012489111782807505,0.14282498232230814,0.2680990882240242,b10549c2
1.0980576763593763,1751632616,,False,1,8b628c81,2025-07-04_14-36-56,605.5959866046906,605.5959866046906,142199,dl580-gpu3.unipi.it,131.114.142.6,605.5959866046906,1,0.00195193550770552,0.8322293955839689,0.8682624418476836,8b628c81
1.076741574214763,1751632624,,False,1,5001d968,2025-07-04_14-37-04,584.7290644645691,584.7290644645691,143140,dl580-gpu3.unipi.it,131.114.142.6,584.7290644645691,1,0.0011413722827083655,0.4784128772341253,0.8848385086890822,5001d968
1.0304157037266866,1751632633,,False,1,1d0ef35c,2025-07-04_14-37-13,590.5922462940216,590.5922462940216,143317,dl580-gpu3.unipi.it,131.114.142.6,590.5922462940216,1,0.001384318815553954,0.13708617397304285,0.4832782076306177,1d0ef35c
1.7747472554398256,1751632825,,False,1,0dfff315,2025-07-04_14-40-25,595.5187559127808,595.5187559127808,1913,dl580-gpu3.unipi.it,131.114.142.6,595.5187559127808,1,0.00018314692880230283,0.14123265848630143,0.6231691570437866,0dfff315
1e+20,1751632616,,False,1,1e1df5da,2025-07-04_14-36-56,176.8826563358307,176.8826563358307,8362,dl580-gpu3.unipi.it,131.114.142.6,176.8826563358307,1,0.09106781706248951,0.12102631315366348,0.19005621122946914,1e1df5da
1e+20,1751632625,,False,1,5736d519,2025-07-04_14-37-05,181.8563084602356,181.8563084602356,8615,dl580-gpu3.unipi.it,131.114.142.6,181.8563084602356,1,0.040458421329141,0.012536887963159014,0.35471515971639755,5736d519
1e+20,1751632796,,False,1,eba9e208,2025-07-04_14-39-56,176.84391450881958,176.84391450881958,13788,dl580-gpu3.unipi.it,131.114.142.6,176.84391450881958,1,0.007478884058180373,0.019265030275864344,0.4598853032272662,eba9e208
0.9820425588057901,1751633222,,False,1,e0703d08,2025-07-04_14-47-02,599.5920417308807,599.5920417308807,13962,dl580-gpu3.unipi.it,131.114.142.6,599.5920417308807,1,0.003400574827724049,0.03334217201645137,0.054045230649822015,e0703d08
0.9563536278069036,1751633230,,False,1,492f791d,2025-07-04_14-47-10,602.7738299369812,602.7738299369812,14225,dl580-gpu3.unipi.it,131.114.142.6,602.7738299369812,1,0.0036180116743922595,0.23075044128015906,0.9141301980016671,492f791d
1.3563876810858773,1751633228,,False,1,720cf397,2025-07-04_14-47-08,597.6836044788361,597.6836044788361,14400,dl580-gpu3.unipi.it,131.114.142.6,597.6836044788361,1,0.0004352235149628733,0.931658237119157,0.8280330348666237,720cf397
1.0264158479864527,1751633235,,False,1,17f5c0f7,2025-07-04_14-47-15,598.7270932197571,598.7270932197571,14666,dl580-gpu3.unipi.it,131.114.142.6,598.7270932197571,1,0.0021905686714353226,0.02553315542365139,0.381468235061019,17f5c0f7
1.0452034171441495,1751633402,,False,1,430618f8,2025-07-04_14-50-02,602.9372498989105,602.9372498989105,19347,dl580-gpu3.unipi.it,131.114.142.6,602.9372498989105,1,0.005582490160790836,0.0643998452847538,0.5351195794271247,430618f8
1.0917723182181962,1751633428,,False,1,3c2d0ef3,2025-07-04_14-50-28,599.7841603755951,599.7841603755951,20237,dl580-gpu3.unipi.it,131.114.142.6,599.7841603755951,1,0.0018772147438242022,0.2428314815612168,0.6494029572099671,3c2d0ef3
1e+20,1751633415,,False,1,f5ac7eb2,2025-07-04_14-50-15,189.22447085380554,189.22447085380554,31691,dl580-gpu3.unipi.it,131.114.142.6,189.22447085380554,1,0.004778823884064108,0.0318013539818039,0.03794630543197138,f5ac7eb2
1.457186111771597,1751633816,,False,1,d7d7156c,2025-07-04_14-56-56,584.1529059410095,584.1529059410095,31950,dl580-gpu3.unipi.it,131.114.142.6,584.1529059410095,1,0.0002531422104575308,0.010013676087268473,0.04861835948700063,d7d7156c
1e+20,1751633425,,False,1,9485df4c,2025-07-04_14-50-25,190.99854111671448,190.99854111671448,32060,dl580-gpu3.unipi.it,131.114.142.6,190.99854111671448,1,0.0036047089198035023,0.26446414249875855,0.9534089249418162,9485df4c
1e+20,1751633423,,False,1,54d5f741,2025-07-04_14-50-23,184.39606976509094,184.39606976509094,32328,dl580-gpu3.unipi.it,131.114.142.6,184.39606976509094,1,0.012034147531808486,0.20118654162523364,0.9786565439197956,54d5f741
1.162274657546163,1751634009,,False,1,4359583a,2025-07-04_15-00-09,603.81960105896,603.81960105896,37229,dl580-gpu3.unipi.it,131.114.142.6,603.81960105896,1,0.003912627164153608,0.0506006249505394,0.6832522628103589,4359583a
1e+20,1751633597,,False,1,0c69cadb,2025-07-04_14-53-17,178.2131381034851,178.2131381034851,37809,dl580-gpu3.unipi.it,131.114.142.6,178.2131381034851,1,0.011730321877771262,0.08094955920476063,0.12139658690407588,0c69cadb
1.0629327792985062,1751634021,,False,1,3053224b,2025-07-04_15-00-21,594.2659459114075,594.2659459114075,38075,dl580-gpu3.unipi.it,131.114.142.6,594.2659459114075,1,0.0011334134206523257,0.02509015187658698,0.011149222067005415,3053224b
1.089067356987102,1751634019,,False,1,066a911f,2025-07-04_15-00-19,590.246239900589,590.246239900589,38326,dl580-gpu3.unipi.it,131.114.142.6,590.246239900589,1,0.0028734890137100686,0.6337318605083172,0.7600243342240064,066a911f
1e+20,1751633614,,False,1,9437f74b,2025-07-04_14-53-34,181.7430980205536,181.7430980205536,38508,dl580-gpu3.unipi.it,131.114.142.6,181.7430980205536,1,0.019390741106474915,0.353628813753668,0.8977110449831014,9437f74b
1e+20,1751633779,,False,1,ed8afbac,2025-07-04_14-56-19,178.52984881401062,178.52984881401062,43465,dl580-gpu3.unipi.it,131.114.142.6,178.52984881401062,1,0.08080860589487017,0.04092151460835864,0.9982489446627367,ed8afbac
1e+20,1751633796,,False,1,2a29d350,2025-07-04_14-56-36,178.46812415122986,178.46812415122986,44030,dl580-gpu3.unipi.it,131.114.142.6,178.46812415122986,1,0.04118386421339065,0.1863760720338183,0.5772343812618296,2a29d350
1e+20,1751633971,,False,1,475c62d6,2025-07-04_14-59-31,188.36666226387024,188.36666226387024,48891,dl580-gpu3.unipi.it,131.114.142.6,188.36666226387024,1,0.007139694473142105,0.015553481932811785,0.8262339086719082,475c62d6
1.098528514138907,1751634395,,False,1,89f8de97,2025-07-04_15-06-35,595.6245713233948,595.6245713233948,49465,dl580-gpu3.unipi.it,131.114.142.6,595.6245713233948,1,0.0007757957575497458,0.09862636694602153,0.3092286730790903,89f8de97
1.365832074382945,1751634406,,False,1,c1a4fe7a,2025-07-04_15-06-46,586.8375463485718,586.8375463485718,50105,dl580-gpu3.unipi.it,131.114.142.6,586.8375463485718,1,0.0003312239394546907,0.07365353979973456,0.4053208980242655,c1a4fe7a
1e+20,1751634150,,False,1,8f8d70b0,2025-07-04_15-02-30,175.76503562927246,175.76503562927246,54658,dl580-gpu3.unipi.it,131.114.142.6,175.76503562927246,1,0.015496490750167851,0.05387255662290553,0.1899271667552508,8f8d70b0
1e+20,1751634184,,False,1,0c926772,2025-07-04_15-03-04,171.65286135673523,171.65286135673523,55851,dl580-gpu3.unipi.it,131.114.142.6,171.65286135673523,1,0.061069046638332826,0.32873551271137896,0.6983116136747796,0c926772
1e+20,1751634206,,False,1,67aba794,2025-07-04_15-03-26,182.92227721214294,182.92227721214294,56262,dl580-gpu3.unipi.it,131.114.142.6,182.92227721214294,1,0.03089281003982492,0.10561244357403825,0.9343824254557528,67aba794
1.125198357178482,1751634612,,False,1,aca2badc,2025-07-04_15-10-12,585.603789806366,585.603789806366,56446,dl580-gpu3.unipi.it,131.114.142.6,585.603789806366,1,0.0013740011186077338,0.020949178438126985,0.09584228238755145,aca2badc
1.1545988962315579,1751634746,,False,1,7e08f535,2025-07-04_15-12-26,592.5120136737823,592.5120136737823,60239,dl580-gpu3.unipi.it,131.114.142.6,592.5120136737823,1,0.0008393611747255195,0.04184275061721617,0.5199777840438455,7e08f535
1.076371228948223,1751634779,,False,1,156e82ab,2025-07-04_15-12-59,591.3380963802338,591.3380963802338,61259,dl580-gpu3.unipi.it,131.114.142.6,591.3380963802338,1,0.0026404042647843024,0.7080049036394953,0.741827740914891,156e82ab
1e+20,1751634395,,False,1,b851f0aa,2025-07-04_15-06-35,185.39667749404907,185.39667749404907,61972,dl580-gpu3.unipi.it,131.114.142.6,185.39667749404907,1,0.005748576940774901,0.010297697593889786,0.8001337526782417,b851f0aa
1.0214051771132968,1751634994,,False,1,108d01a4,2025-07-04_15-16-34,595.1701819896698,595.1701819896698,67468,dl580-gpu3.unipi.it,131.114.142.6,595.1701819896698,1,0.0016434919595232837,0.030436607119030488,0.3121999486409752,108d01a4
1e+20,1751634588,,False,1,0f7df477,2025-07-04_15-09-48,186.5846037864685,186.5846037864685,67712,dl580-gpu3.unipi.it,131.114.142.6,186.5846037864685,1,0.009106088881877474,0.1596375341320597,0.2552774500756057,0f7df477
2.331861074220562,1751634995,,False,1,92f1acc6,2025-07-04_15-16-35,585.6596968173981,585.6596968173981,67982,dl580-gpu3.unipi.it,131.114.142.6,585.6596968173981,1,0.00010805128544160508,0.38469934172835657,0.22655578696651646,92f1acc6
1.2188645379047973,1751635180,,False,1,2d125421,2025-07-04_15-19-40,588.8471186161041,588.8471186161041,73390,dl580-gpu3.unipi.it,131.114.142.6,588.8471186161041,1,0.0005502309410518866,0.24880401016638284,0.4843234276186251,2d125421
1e+20,1751634805,,False,1,fb130ce8,2025-07-04_15-13-25,189.34039187431335,189.34039187431335,74118,dl580-gpu3.unipi.it,131.114.142.6,189.34039187431335,1,0.0041822889238941835,0.012927359726860085,0.6370983395693237,fb130ce8
1.1463251636877145,1751635331,,False,1,8734394b,2025-07-04_15-22-11,581.0616285800934,581.0616285800934,78092,dl580-gpu3.unipi.it,131.114.142.6,581.0616285800934,1,0.0009507863735000456,0.49807913935030107,0.5780894006568178,8734394b
1e+20,1751634970,,False,1,0e5b817b,2025-07-04_15-16-10,187.34075665473938,187.34075665473938,79045,dl580-gpu3.unipi.it,131.114.142.6,187.34075665473938,1,0.00993570829419005,0.06729255782925005,0.3666061591408396,0e5b817b
1e+20,1751634992,,False,1,53d02460,2025-07-04_15-16-32,184.1261384487152,184.1261384487152,79907,dl580-gpu3.unipi.it,131.114.142.6,184.1261384487152,1,0.015721475273269284,0.11746435304783973,0.437663304242577,53d02460
1.0686648396179363,1751635572,,False,1,1c68dfdb,2025-07-04_15-26-12,598.2710354328156,598.2710354328156,84591,dl580-gpu3.unipi.it,131.114.142.6,598.2710354328156,1,0.0031333738065806877,0.09020312639546273,0.07192679689838266,1c68dfdb
1e+20,1751635176,,False,1,6afda2f9,2025-07-04_15-19-36,180.16978096961975,180.16978096961975,85313,dl580-gpu3.unipi.it,131.114.142.6,180.16978096961975,1,0.02817479945565818,0.2078299823554613,0.15765267566099125,6afda2f9
1e+20,1751635190,,False,1,bdd7474c,2025-07-04_15-19-50,191.161235332489,191.161235332489,85496,dl580-gpu3.unipi.it,131.114.142.6,191.161235332489,1,0.006234938532793851,0.29532262508536816,0.8602279203459152,bdd7474c
1.6135237368933841,1751635596,,False,1,964ae1ab,2025-07-04_15-26-36,594.0602216720581,594.0602216720581,85698,dl580-gpu3.unipi.it,131.114.142.6,594.0602216720581,1,0.0002076654807077475,0.04575153917260398,0.6751893158192335,964ae1ab
1.00936030217709,1751635792,,False,1,8336e592,2025-07-04_15-29-52,612.2042171955109,612.2042171955109,90971,dl580-gpu3.unipi.it,131.114.142.6,612.2042171955109,1,0.00174827542640421,0.03371812847679527,0.7229888311335989,8336e592
1.0870193576308342,1751635779,,False,1,eafd2939,2025-07-04_15-29-39,595.2939364910126,595.2939364910126,91221,dl580-gpu3.unipi.it,131.114.142.6,595.2939364910126,1,0.0023000659128303517,0.4193457520577858,0.7859197344790259,eafd2939
1.1877806359898395,1751635798,,False,1,51aa2a2b,2025-07-04_15-29-58,604.4362840652466,604.4362840652466,91559,dl580-gpu3.unipi.it,131.114.142.6,604.4362840652466,1,0.0005661858507640831,0.020688851546984688,0.002408541236355588,51aa2a2b
1.3794726870592466,1751635925,,False,1,cedca7ef,2025-07-04_15-32-05,589.9736142158508,589.9736142158508,95724,dl580-gpu3.unipi.it,131.114.142.6,589.9736142158508,1,0.00034281595798535234,0.16028842687212527,0.6112051236384819,cedca7ef
2.124322377806904,1751636164,,False,1,9c291503,2025-07-04_15-36-04,588.4249122142792,588.4249122142792,103176,dl580-gpu3.unipi.it,131.114.142.6,588.4249122142792,1,0.00013845390819046342,0.8974664720702152,0.9022299740811293,9c291503
1e+20,1751635790,,False,1,ac98b2b7,2025-07-04_15-29-50,191.5706865787506,191.5706865787506,104077,dl580-gpu3.unipi.it,131.114.142.6,191.5706865787506,1,0.004722676550768198,0.027080075598233586,0.547121860732273,ac98b2b7
1.059380382556602,1751636376,,False,1,39284c16,2025-07-04_15-39-36,593.3859970569611,593.3859970569611,109411,dl580-gpu3.unipi.it,131.114.142.6,593.3859970569611,1,0.001507859582317018,0.015606510154183907,0.19641006332493166,39284c16
1.1218991399508211,1751636396,,False,1,65a16ea3,2025-07-04_15-39-56,602.6386156082153,602.6386156082153,109830,dl580-gpu3.unipi.it,131.114.142.6,602.6386156082153,1,0.0033811929094365372,0.033912713370243215,0.3042237020628287,65a16ea3
0.9744685586202098,1751636404,,False,1,75a21eda,2025-07-04_15-40-04,607.8805153369904,607.8805153369904,110005,dl580-gpu3.unipi.it,131.114.142.6,607.8805153369904,1,0.0018309545647963146,0.054652339355794465,0.7135364802375816,75a21eda
1.0299750408856825,1751636394,,False,1,324eb229,2025-07-04_15-39-54,592.5481789112091,592.5481789112091,110268,dl580-gpu3.unipi.it,131.114.142.6,592.5481789112091,1,0.0010547092355108283,0.01822992731385267,0.9296165276100934,324eb229
1e+20,1751636122,,False,1,2e3d08b2,2025-07-04_15-35-22,193.65039014816284,193.65039014816284,113902,dl580-gpu3.unipi.it,131.114.142.6,193.65039014816284,1,0.0024493916851512356,0.036839198658015125,0.8444959871562332,2e3d08b2
0.9786573475341004,1751636727,,False,1,b5854912,2025-07-04_15-45-27,601.1234097480774,601.1234097480774,121203,dl580-gpu3.unipi.it,131.114.142.6,601.1234097480774,1,0.0013076603981154128,0.07604455197639788,0.9987527834541639,b5854912
1.0581761940939036,1751636755,,False,1,322222b2,2025-07-04_15-45-55,587.118536233902,587.118536233902,122521,dl580-gpu3.unipi.it,131.114.142.6,587.118536233902,1,0.0007157879632252574,0.013484035371312406,0.7521883368996395,322222b2
1.2018580150436113,1751636980,,False,1,d824a7c2,2025-07-04_15-49-40,600.0385580062866,600.0385580062866,128627,dl580-gpu3.unipi.it,131.114.142.6,600.0385580062866,1,0.00043549565924848804,0.022615208910221764,0.7980375879785087,d824a7c2
1.074718765948316,1751636991,,False,1,6a46fc76,2025-07-04_15-49-51,593.4882516860962,593.4882516860962,129275,dl580-gpu3.unipi.it,131.114.142.6,593.4882516860962,1,0.0020564521279944864,0.04658877936857788,0.6614138994779946,6a46fc76
1e+20,1751636587,,False,1,a14cdb2f,2025-07-04_15-43-07,186.03192925453186,186.03192925453186,129450,dl580-gpu3.unipi.it,131.114.142.6,186.03192925453186,1,0.004650812712133505,0.06215208065643469,0.978811361265555,a14cdb2f
1e+20,1751636597,,False,1,40c01215,2025-07-04_15-43-17,188.8797173500061,188.8797173500061,129795,dl580-gpu3.unipi.it,131.114.142.6,188.8797173500061,1,0.00744173897039429,0.1256510236145431,0.6987696857240119,40c01215
1e+20,1751636774,,False,1,dcb83a93,2025-07-04_15-46-14,184.8341007232666,184.8341007232666,135039,dl580-gpu3.unipi.it,131.114.142.6,184.8341007232666,1,0.010823673973627027,0.059698685524891215,0.6101065091883227,dcb83a93
1e+20,1751636780,,False,1,f03d94f0,2025-07-04_15-46-20,180.57828974723816,180.57828974723816,135381,dl580-gpu3.unipi.it,131.114.142.6,180.57828974723816,1,0.01583415595592068,0.09391483000596645,0.8279245734736946,f03d94f0
1.098079877139974,1751637329,,False,1,4cc5f41f,2025-07-04_15-55-29,597.89128947258,597.89128947258,139165,dl580-gpu3.unipi.it,131.114.142.6,597.89128947258,1,0.0013154975417067401,0.17668726437315954,0.989488724175641,4cc5f41f
1.3560804947747518,1751637348,,False,1,3931b9b3,2025-07-04_15-55-48,589.0864233970642,589.0864233970642,139985,dl580-gpu3.unipi.it,131.114.142.6,589.0864233970642,1,0.0003150760723098699,0.07447693008104665,0.9453971174880565,3931b9b3
1.1819112026769973,1751637375,,False,1,108ecf22,2025-07-04_15-56-15,596.873621225357,596.873621225357,140623,dl580-gpu3.unipi.it,131.114.142.6,596.873621225357,1,0.0005797967763973334,0.10866750729155654,0.9124349989175163,108ecf22
1.083233898000371,1751637381,,False,1,bb021288,2025-07-04_15-56-21,597.075320482254,597.075320482254,140953,dl580-gpu3.unipi.it,131.114.142.6,597.075320482254,1,0.0009521738603878032,0.21355348177831912,0.9578184922066159,bb021288
1.0276416029217315,1751637583,,False,1,2c1850fb,2025-07-04_15-59-43,598.7938015460968,598.7938015460968,146721,dl580-gpu3.unipi.it,131.114.142.6,598.7938015460968,1,0.001295725853145018,0.08149292934180609,0.8654014019149522,2c1850fb
1.2149581066739352,1751637593,,False,1,32046060,2025-07-04_15-59-53,598.4956591129303,598.4956591129303,147130,dl580-gpu3.unipi.it,131.114.142.6,598.4956591129303,1,0.000491754399096385,0.1335077526897438,0.8845870403164451,32046060
1.4652357523545514,1751637922,,False,1,9ad019b3,2025-07-04_16-05-22,590.684415102005,590.684415102005,10540,dl580-gpu3.unipi.it,131.114.142.6,590.684415102005,1,0.000243386190305524,0.05413010193397222,0.7749145299452118,9ad019b3
1.0855339894857103,1751637942,,False,1,92553762,2025-07-04_16-05-42,590.3259768486023,590.3259768486023,11259,dl580-gpu3.unipi.it,131.114.142.6,590.3259768486023,1,0.0028810654241709604,0.30658306665480617,0.8084535635732871,92553762
1.0925380186102347,1751637972,,False,1,fb02c06b,2025-07-04_16-06-12,594.5379137992859,594.5379137992859,12136,dl580-gpu3.unipi.it,131.114.142.6,594.5379137992859,1,0.003998642792554423,0.0715718032356696,0.7361685499311931,fb02c06b
1.1347069062007051,1751637974,,False,1,601b063d,2025-07-04_16-06-14,588.9121491909027,588.9121491909027,12400,dl580-gpu3.unipi.it,131.114.142.6,588.9121491909027,1,0.000858259023384365,0.22822260166381667,0.9955237733712766,601b063d
1e+20,1751637768,,False,1,48b41a38,2025-07-04_16-02-48,181.84052729606628,181.84052729606628,18221,dl580-gpu3.unipi.it,131.114.142.6,181.84052729606628,1,0.019968583620598723,0.7107035433422129,0.967741969553421,48b41a38
1e+20,1751637787,,False,1,eb5104ea,2025-07-04_16-03-07,190.5485143661499,190.5485143661499,18704,dl580-gpu3.unipi.it,131.114.142.6,190.5485143661499,1,0.006497218048434001,0.1511642493881778,0.8412255872154488,eb5104ea
1e+20,1751637958,,False,1,1ca3e1e3,2025-07-04_16-05-58,186.75181317329407,186.75181317329407,23774,dl580-gpu3.unipi.it,131.114.142.6,186.75181317329407,1,0.008926704139266887,0.027034965510817747,0.70903281108136,1ca3e1e3
1.0457911488296836,1751638389,,False,1,0bea8baa,2025-07-04_16-13-09,597.8826909065247,597.8826909065247,24414,dl580-gpu3.unipi.it,131.114.142.6,597.8826909065247,1,0.0018538610966423725,0.5518768152316543,0.9202982765619242,0bea8baa
1.1608318786536143,1751638498,,False,1,c4aed157,2025-07-04_16-14-58,571.5435049533844,571.5435049533844,28336,dl580-gpu3.unipi.it,131.114.142.6,571.5435049533844,1,0.0006886597918914521,0.18190768291768394,0.8844698263381847,c4aed157
1e+20,1751638135,,False,1,6eb240df,2025-07-04_16-08-55,189.10410809516907,189.10410809516907,28998,dl580-gpu3.unipi.it,131.114.142.6,189.10410809516907,1,0.005263720422324602,0.1108260998759387,0.5571513051389914,6eb240df
1.0685971498909714,1751638523,,False,1,2edaa1ae,2025-07-04_16-15-23,561.437463760376,561.437463760376,29559,dl580-gpu3.unipi.it,131.114.142.6,561.437463760376,1,0.0015888640585119504,0.0476290139279359,0.4946007498831708,2edaa1ae
