mse,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/online_lr,config/OCAR_alpha_ema,logdir
0.8029625125047637,1745956059,,False,1,7bd269b0,2025-04-29_21-47-39,59.31580948829651,59.31580948829651,105655,dl580-gpu3.unipi.it,131.114.142.6,59.31580948829651,1,0.00026727969385087117,0.805369693871732,7bd269b0
0.36764991574171113,1745956065,,False,1,a3ce7e97,2025-04-29_21-47-45,62.31590914726257,62.31590914726257,105841,dl580-gpu3.unipi.it,131.114.142.6,62.31590914726257,1,0.0991529342368216,0.476672919317927,a3ce7e97
0.3998405642625762,1745956069,,False,1,374361b2,2025-04-29_21-47-49,63.71004557609558,63.71004557609558,106041,dl580-gpu3.unipi.it,131.114.142.6,63.71004557609558,1,0.024448476246422327,0.9430615819620055,374361b2
0.7297538664282822,1745956073,,False,1,79cf9310,2025-04-29_21-47-53,65.85428404808044,65.85428404808044,106160,dl580-gpu3.unipi.it,131.114.142.6,65.85428404808044,1,0.0008468107799507051,0.8380495977394804,79cf9310
0.7392715361060166,1745956123,,False,1,dbf89580,2025-04-29_21-48-43,61.90201711654663,61.90201711654663,107678,dl580-gpu3.unipi.it,131.114.142.6,61.90201711654663,1,0.0007578091627232929,0.11734137059832639,dbf89580
0.505157982430807,1745956130,,False,1,69b696ff,2025-04-29_21-48-50,62.32210850715637,62.32210850715637,107875,dl580-gpu3.unipi.it,131.114.142.6,62.32210850715637,1,0.0049607472355359715,0.048714131409305694,69b696ff
0.6172598862066502,1745956135,,False,1,dd1faa7b,2025-04-29_21-48-55,63.691930055618286,63.691930055618286,108077,dl580-gpu3.unipi.it,131.114.142.6,63.691930055618286,1,0.0021515609682860154,0.4983770225014057,dd1faa7b
0.5173646415152201,1745956141,,False,1,6155a037,2025-04-29_21-49-01,64.41679286956787,64.41679286956787,108273,dl580-gpu3.unipi.it,131.114.142.6,64.41679286956787,1,0.004479391475739999,0.9133055656294335,6155a037
0.4249399696908346,1745956188,,False,1,0cfe6357,2025-04-29_21-49-48,61.59378170967102,61.59378170967102,109269,dl580-gpu3.unipi.it,131.114.142.6,61.59378170967102,1,0.01326694490756158,0.5319661589096412,0cfe6357
0.4656942414074409,1745956195,,False,1,729dba22,2025-04-29_21-49-55,62.84850358963013,62.84850358963013,109477,dl580-gpu3.unipi.it,131.114.142.6,62.84850358963013,1,0.007360534637384271,0.22284407641869475,729dba22
0.8122394840891768,1745956202,,False,1,7981b8f0,2025-04-29_21-50-02,63.96706485748291,63.96706485748291,109677,dl580-gpu3.unipi.it,131.114.142.6,63.96706485748291,1,0.00020210596400142242,0.3779564483972522,7981b8f0
0.4114276606862138,1745956207,,False,1,00d0bbf0,2025-04-29_21-50-07,63.9637930393219,63.9637930393219,109879,dl580-gpu3.unipi.it,131.114.142.6,63.9637930393219,1,0.01764984976166213,0.08309078520322855,00d0bbf0
0.7238962592148199,1745956252,,False,1,a3f01f7d,2025-04-29_21-50-52,61.81077837944031,61.81077837944031,110795,dl580-gpu3.unipi.it,131.114.142.6,61.81077837944031,1,0.0008938096726327416,0.12970919625708577,a3f01f7d
0.7459004099776105,1745956261,,False,1,05a323a1,2025-04-29_21-51-01,63.121772050857544,63.121772050857544,111082,dl580-gpu3.unipi.it,131.114.142.6,63.121772050857544,1,0.0007049374546780435,0.25262399607883623,05a323a1
0.3792754615225443,1745956267,,False,1,431a1e3a,2025-04-29_21-51-07,63.126317501068115,63.126317501068115,111293,dl580-gpu3.unipi.it,131.114.142.6,63.126317501068115,1,0.05110515024247773,0.25036550183356865,431a1e3a
0.37221973698313643,1745956274,,False,1,b73e6f56,2025-04-29_21-51-14,64.57285857200623,64.57285857200623,111491,dl580-gpu3.unipi.it,131.114.142.6,64.57285857200623,1,0.07395670882024004,0.47525696249864124,b73e6f56
0.41776154680949884,1745956318,,False,1,028ec96c,2025-04-29_21-51-58,62.84310173988342,62.84310173988342,112393,dl580-gpu3.unipi.it,131.114.142.6,62.84310173988342,1,0.015164433259479105,0.5115416958520379,028ec96c
0.4537110677579554,1745956326,,False,1,8042859b,2025-04-29_21-52-06,62.85867166519165,62.85867166519165,112614,dl580-gpu3.unipi.it,131.114.142.6,62.85867166519165,1,0.008401373749885933,0.48847516845108485,8042859b
0.4946415133592559,1745956334,,False,1,2be9f9d5,2025-04-29_21-52-14,63.92632222175598,63.92632222175598,112898,dl580-gpu3.unipi.it,131.114.142.6,63.92632222175598,1,0.005461110775027666,0.24433086811044225,2be9f9d5
0.8060312038514672,1745956342,,False,1,a48b67cc,2025-04-29_21-52-22,64.51541566848755,64.51541566848755,113109,dl580-gpu3.unipi.it,131.114.142.6,64.51541566848755,1,0.00024410099074921474,0.2924138057433817,a48b67cc
0.3702036927386028,1745956383,,False,1,6dd1b4f8,2025-04-29_21-53-03,63.01604509353638,63.01604509353638,113932,dl580-gpu3.unipi.it,131.114.142.6,63.01604509353638,1,0.08412143666428812,0.6545643618769005,6dd1b4f8
