mse,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/online_lr,config/OCAR_regul,config/OCAR_regul_last,config/OCAR_alpha_ema,logdir
0.43551063537597656,1745846594,,False,1,e5d9e4f1,2025-04-28_15-23-14,52.56714224815369,52.56714224815369,16299,dl580-gpu3.unipi.it,131.114.142.6,52.56714224815369,1,0.001959322017199724,0.00255126790154468,0.018631855679227375,0.3334048020372372,e5d9e4f1
0.5521088576898342,1745846600,,False,1,e3cca9ed,2025-04-28_15-23-20,55.225600242614746,55.225600242614746,16528,dl580-gpu3.unipi.it,131.114.142.6,55.225600242614746,1,0.006706210886474339,0.008694435813802444,0.04214294688993709,0.340411523023029,e3cca9ed
1e+20,1745846580,,False,1,bc0f0ba9,2025-04-28_15-23-00,32.44419240951538,32.44419240951538,16836,dl580-gpu3.unipi.it,131.114.142.6,32.44419240951538,1,0.03556766825737643,0.48506357216362034,0.02346369809240972,0.006492687047304435,bc0f0ba9
1e+20,1745846566,,False,1,d6e73963,2025-04-28_15-22-46,16.56171941757202,16.56171941757202,16986,dl580-gpu3.unipi.it,131.114.142.6,16.56171941757202,1,0.05452788620062411,0.33900681948475875,0.0023630543587844495,0.5316985737960807,d6e73963
0.4850976060076458,1745846631,,False,1,85a127df,2025-04-28_15-23-51,62.26561164855957,62.26561164855957,18062,dl580-gpu3.unipi.it,131.114.142.6,62.26561164855957,1,0.005207138429985512,0.008896332063646152,0.7080740318074278,0.6169209603072282,85a127df
0.44147077420862707,1745846645,,False,1,de9ed2df,2025-04-28_15-24-05,62.583165407180786,62.583165407180786,18595,dl580-gpu3.unipi.it,131.114.142.6,62.583165407180786,1,0.0033867275716507237,0.029452882349274453,0.12395064631230035,0.2388201361987472,de9ed2df
3.5500228783434117e+27,1745846657,,False,1,5721d3c7,2025-04-28_15-24-17,60.59336614608765,60.59336614608765,19074,dl580-gpu3.unipi.it,131.114.142.6,60.59336614608765,1,0.055582756235877585,0.002534845776023864,0.3169898229678217,0.9573782102403308,5721d3c7
1e+20,1745846639,,False,1,6cef0e2a,2025-04-28_15-23-59,36.91404724121094,36.91404724121094,19336,dl580-gpu3.unipi.it,131.114.142.6,36.91404724121094,1,0.03407609867075782,0.0014400113178455565,0.0035351396959711957,0.5529661882015614,6cef0e2a
0.659764545719798,1745846696,,False,1,580a3848,2025-04-28_15-24-56,62.18192934989929,62.18192934989929,20539,dl580-gpu3.unipi.it,131.114.142.6,62.18192934989929,1,0.0001892017664830631,0.0010240962310122928,0.06638901247404312,0.09567057915441501,580a3848
0.5111379390809594,1745846704,,False,1,6a2eb460,2025-04-28_15-25-04,62.395042419433594,62.395042419433594,20860,dl580-gpu3.unipi.it,131.114.142.6,62.395042419433594,1,0.0006424112392355153,0.001080814019012716,0.47774092420377684,0.22739604968829608,6a2eb460
0.5515856859160633,1745846710,,False,1,5846f7ff,2025-04-28_15-25-10,62.385422706604004,62.385422706604004,21124,dl580-gpu3.unipi.it,131.114.142.6,62.385422706604004,1,0.00047739479550294484,0.3045836170976705,0.0013803980685481085,0.8733838727171637,5846f7ff
1e+20,1745846703,,False,1,ed7cfe44,2025-04-28_15-25-03,42.36145520210266,42.36145520210266,21579,dl580-gpu3.unipi.it,131.114.142.6,42.36145520210266,1,0.03703392622173308,0.040835985852176,0.04415837144715534,0.8558172524264839,ed7cfe44
0.7198962234869236,1745846761,,False,1,a6595eda,2025-04-28_15-26-01,61.62990975379944,61.62990975379944,22873,dl580-gpu3.unipi.it,131.114.142.6,61.62990975379944,1,0.010201945505230481,0.0010421851417638077,0.17473623272090827,0.9485930945428507,a6595eda
0.44616862041194266,1745846767,,False,1,b2302115,2025-04-28_15-26-07,61.27766942977905,61.27766942977905,23248,dl580-gpu3.unipi.it,131.114.142.6,61.27766942977905,1,0.0013705083320772944,0.006350442261748734,0.04194748329904557,0.7460143999831397,b2302115
1e+20,1745846760,,False,1,0c56909c,2025-04-28_15-26-00,52.257182359695435,52.257182359695435,23379,dl580-gpu3.unipi.it,131.114.142.6,52.257182359695435,1,0.020708790384001922,0.024708525294819227,0.2641712518951251,0.31223498594380905,0c56909c
0.48698206645686454,1745846776,,False,1,a15cb13e,2025-04-28_15-26-16,62.89524245262146,62.89524245262146,23640,dl580-gpu3.unipi.it,131.114.142.6,62.89524245262146,1,0.004687871231233468,0.022044179874591074,0.035172865251054924,0.06909293431555441,a15cb13e
0.590922937160585,1745846826,,False,1,5fae5cb7,2025-04-28_15-27-06,62.88634920120239,62.88634920120239,25278,dl580-gpu3.unipi.it,131.114.142.6,62.88634920120239,1,0.00777905152877781,0.002381657139282812,0.3932779610614437,0.6275301730221691,5fae5cb7
0.4325428009033203,1745846829,,False,1,ab94ed6d,2025-04-28_15-27-09,63.30997943878174,63.30997943878174,25497,dl580-gpu3.unipi.it,131.114.142.6,63.30997943878174,1,0.0021638560327568225,0.5416312722665494,0.012146279211691584,0.6944181120801723,ab94ed6d
10000000000.0,1745846833,,False,1,3fe7712c,2025-04-28_15-27-13,63.98162651062012,63.98162651062012,25662,dl580-gpu3.unipi.it,131.114.142.6,63.98162651062012,1,0.07293834428498858,0.0012283076691667878,0.005801023258345574,0.27617153351308343,3fe7712c
0.6761379241943359,1745846843,,False,1,b4e11eae,2025-04-28_15-27-23,64.35750198364258,64.35750198364258,26063,dl580-gpu3.unipi.it,131.114.142.6,64.35750198364258,1,0.00015858061851886212,0.03418146428217429,0.012362276946416118,0.8776565171912556,b4e11eae
