mse,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/online_lr,config/OCAR_alpha_ema,logdir
1.251743042202238e+20,1755367218,,False,1,65b0cfa1,2025-08-16_20-00-18,118.53737163543701,118.53737163543701,90823,dl580-gpu3.unipi.it,131.114.142.6,118.53737163543701,1,0.07658016992015802,0.015639160989375345,65b0cfa1
1.2047335336362222e+16,1755367223,,False,1,08042cf4,2025-08-16_20-00-23,120.35347414016724,120.35347414016724,90973,dl580-gpu3.unipi.it,131.114.142.6,120.35347414016724,1,0.01707013843613345,0.9391310299470588,08042cf4
3.963696558643407,1755367226,,False,1,7dbe7a0b,2025-08-16_20-00-26,120.43580174446106,120.43580174446106,91172,dl580-gpu3.unipi.it,131.114.142.6,120.43580174446106,1,0.002041699119437943,0.5834148875335393,7dbe7a0b
1.2548080547694163,1755367231,,False,1,c02250e3,2025-08-16_20-00-31,122.60657739639282,122.60657739639282,91290,dl580-gpu3.unipi.it,131.114.142.6,122.60657739639282,1,0.0015654241902361397,0.7358412730170008,c02250e3
1.2089902650030158,1755367232,,False,1,4d3af244,2025-08-16_20-00-32,120.35185074806213,120.35185074806213,91484,dl580-gpu3.unipi.it,131.114.142.6,120.35185074806213,1,0.0014503949052894905,0.1762277836001067,4d3af244
1.018564292735687,1755367342,,False,1,5e735f64,2025-08-16_20-02-22,119.91444492340088,119.91444492340088,93866,dl580-gpu3.unipi.it,131.114.142.6,119.91444492340088,1,0.0005286044899072051,0.36027981506219897,5e735f64
3.0660625679360805e+21,1755367347,,False,1,9d1330b8,2025-08-16_20-02-27,120.78946852684021,120.78946852684021,94060,dl580-gpu3.unipi.it,131.114.142.6,120.78946852684021,1,0.023516123143272345,0.6095490973568768,9d1330b8
0.9327155052426463,1755367350,,False,1,2c5b807b,2025-08-16_20-02-30,120.70677495002747,120.70677495002747,94242,dl580-gpu3.unipi.it,131.114.142.6,120.70677495002747,1,0.00042612527081654965,0.294765569226931,2c5b807b
6729665610.968544,1755367356,,False,1,1c679c07,2025-08-16_20-02-36,121.67752528190613,121.67752528190613,94444,dl580-gpu3.unipi.it,131.114.142.6,121.67752528190613,1,0.0029446303918968706,0.042666811894263135,1c679c07
0.874359892595342,1755367358,,False,1,2e70035d,2025-08-16_20-02-38,120.52429270744324,120.52429270744324,94558,dl580-gpu3.unipi.it,131.114.142.6,120.52429270744324,1,0.000453703536617736,0.7648010654177724,2e70035d
2.170585997451837e+24,1755367466,,False,1,a996b77b,2025-08-16_20-04-26,120.56566143035889,120.56566143035889,96511,dl580-gpu3.unipi.it,131.114.142.6,120.56566143035889,1,0.0313539947021432,0.9908371079074916,a996b77b
1.1579731430360953,1755367471,,False,1,2259b77e,2025-08-16_20-04-31,120.19489288330078,120.19489288330078,96632,dl580-gpu3.unipi.it,131.114.142.6,120.19489288330078,1,0.0011554819654199025,0.6461535226810297,2259b77e
1.0324062528996938,1755367475,,False,1,b577a614,2025-08-16_20-04-35,121.24946117401123,121.24946117401123,96822,dl580-gpu3.unipi.it,131.114.142.6,121.24946117401123,1,0.000535977228443274,0.267410803993161,b577a614
4.0842611349081864e+16,1755367480,,False,1,70b601a9,2025-08-16_20-04-40,120.56694388389587,120.56694388389587,97021,dl580-gpu3.unipi.it,131.114.142.6,120.56694388389587,1,0.010195474128658748,0.7189354244826223,70b601a9
0.8875161657928923,1755367485,,False,1,ded4a4be,2025-08-16_20-04-45,122.55945372581482,122.55945372581482,97208,dl580-gpu3.unipi.it,131.114.142.6,122.55945372581482,1,0.00039635823834767523,0.04908062313269623,ded4a4be
1.3577838860558458e+23,1755367590,,False,1,d0cbbf5a,2025-08-16_20-06-30,120.71661448478699,120.71661448478699,99092,dl580-gpu3.unipi.it,131.114.142.6,120.71661448478699,1,0.028044459292422722,0.9143506653832193,d0cbbf5a
4.202733196224953e+20,1755367595,,False,1,0b74b94c,2025-08-16_20-06-35,120.82371068000793,120.82371068000793,99218,dl580-gpu3.unipi.it,131.114.142.6,120.82371068000793,1,0.04700792102815266,0.46295913620986684,0b74b94c
1.1310556480235687,1755367600,,False,1,86266784,2025-08-16_20-06-40,121.44730925559998,121.44730925559998,99407,dl580-gpu3.unipi.it,131.114.142.6,121.44730925559998,1,0.0008467192537448059,0.8080688865698455,86266784
0.9645231526050849,1755367606,,False,1,38604ce1,2025-08-16_20-06-46,121.87543296813965,121.87543296813965,99604,dl580-gpu3.unipi.it,131.114.142.6,121.87543296813965,1,0.0004908710362060356,0.7572342119885528,38604ce1
0.7973124913009186,1755367610,,False,1,55a84513,2025-08-16_20-06-50,121.19847106933594,121.19847106933594,99797,dl580-gpu3.unipi.it,131.114.142.6,121.19847106933594,1,0.0003355075284911314,0.48914330947092843,55a84513
0.6561321546319708,1755367714,,False,1,ed5e63a8,2025-08-16_20-08-34,120.3783016204834,120.3783016204834,101591,dl580-gpu3.unipi.it,131.114.142.6,120.3783016204834,1,0.00014852128074284679,0.12410377019812924,ed5e63a8
0.6544631996236198,1755367719,,False,1,afb053a9,2025-08-16_20-08-39,120.24667692184448,120.24667692184448,101781,dl580-gpu3.unipi.it,131.114.142.6,120.24667692184448,1,0.0001351141416216433,0.8430234654299108,afb053a9
0.6830216947840309,1755367723,,False,1,c9773e88,2025-08-16_20-08-43,119.54775714874268,119.54775714874268,101976,dl580-gpu3.unipi.it,131.114.142.6,119.54775714874268,1,0.00021659500077698263,0.39334506838179556,c9773e88
