pi,trace(a),trace(g)
"tensor(28540.7773, device='cuda:0')","tensor(2729160.2500, device='cuda:0')","tensor(0.0011, device='cuda:0')"
"tensor(6852.9038, device='cuda:0')","tensor(1433771., device='cuda:0')","tensor(0.0101, device='cuda:0')"
"tensor(18775.9473, device='cuda:0')","tensor(1037393.2500, device='cuda:0')","tensor(0.0010, device='cuda:0')"
"tensor(3485.3977, device='cuda:0')","tensor(362444.1562, device='cuda:0')","tensor(0.0099, device='cuda:0')"
"tensor(12358.5195, device='cuda:0')","tensor(560110.6250, device='cuda:0')","tensor(0.0012, device='cuda:0')"
"tensor(2607.7163, device='cuda:0')","tensor(198773.0625, device='cuda:0')","tensor(0.0097, device='cuda:0')"
"tensor(11080.9834, device='cuda:0')","tensor(368331.7500, device='cuda:0')","tensor(0.0010, device='cuda:0')"
"tensor(1550.9629, device='cuda:0')","tensor(68899.8984, device='cuda:0')","tensor(0.0095, device='cuda:0')"
"tensor(12632.7246, device='cuda:0')","tensor(179946.4531, device='cuda:0')","tensor(0.0004, device='cuda:0')"
"tensor(632.1087, device='cuda:0')","tensor(11305.8809, device='cuda:0')","tensor(0.0094, device='cuda:0')"
"tensor(11863.8877, device='cuda:0')","tensor(170861.4688, device='cuda:0')","tensor(0.0004, device='cuda:0')"
"tensor(560.3471, device='cuda:0')","tensor(8782.8652, device='cuda:0')","tensor(0.0093, device='cuda:0')"
"tensor(11737.0957, device='cuda:0')","tensor(166458.7500, device='cuda:0')","tensor(0.0004, device='cuda:0')"
"tensor(630.4739, device='cuda:0')","tensor(11027.7637, device='cuda:0')","tensor(0.0092, device='cuda:0')"
"tensor(13465.5840, device='cuda:0')","tensor(162710.4688, device='cuda:0')","tensor(0.0003, device='cuda:0')"
"tensor(455.4035, device='cuda:0')","tensor(5710.3691, device='cuda:0')","tensor(0.0091, device='cuda:0')"
"tensor(12520.1006, device='cuda:0')","tensor(158438.0625, device='cuda:0')","tensor(0.0017, device='cuda:0')"
"tensor(699.7869, device='cuda:0')","tensor(38960.0469, device='cuda:0')","tensor(0.0265, device='cuda:0')"
"tensor(12344.4697, device='cuda:0')","tensor(820016.6250, device='cuda:0')","tensor(0.0265, device='cuda:0')"
"tensor(14.1621, device='cuda:0')","tensor(1095.9634, device='cuda:0')","tensor(4.9026, device='cuda:0')"
"tensor(19029.6641, device='cuda:0')","tensor(5882771., device='cuda:0')","tensor(0.0520, device='cuda:0')"
"tensor(20945.1445, device='cuda:0')","tensor(8051007.5000, device='cuda:0')","tensor(0.0061, device='cuda:0')"
"tensor(4407.0957, device='cuda:0')","tensor(2920949.5000, device='cuda:0')","tensor(0.0499, device='cuda:0')"
"tensor(16687.4316, device='cuda:0')","tensor(3611481.2500, device='cuda:0')","tensor(0.0043, device='cuda:0')"
"tensor(2423.7493, device='cuda:0')","tensor(863213., device='cuda:0')","tensor(0.0487, device='cuda:0')"
"tensor(13083.5986, device='cuda:0')","tensor(2366406.7500, device='cuda:0')","tensor(0.0046, device='cuda:0')"
"tensor(2754.4216, device='cuda:0')","tensor(1090615.5000, device='cuda:0')","tensor(0.0477, device='cuda:0')"
"tensor(8452.1514, device='cuda:0')","tensor(989421.8750, device='cuda:0')","tensor(0.0046, device='cuda:0')"
"tensor(1623.2982, device='cuda:0')","tensor(368602.8750, device='cuda:0')","tensor(0.0464, device='cuda:0')"
"tensor(5023.1719, device='cuda:0')","tensor(565015.6875, device='cuda:0')","tensor(0.0074, device='cuda:0')"
"tensor(1180.0553, device='cuda:0')","tensor(184889.5312, device='cuda:0')","tensor(0.0440, device='cuda:0')"
"tensor(4443.8428, device='cuda:0')","tensor(445071.6250, device='cuda:0')","tensor(0.0075, device='cuda:0')"
"tensor(837.7252, device='cuda:0')","tensor(88881.2812, device='cuda:0')","tensor(0.0420, device='cuda:0')"
"tensor(6189.4521, device='cuda:0')","tensor(224192.9375, device='cuda:0')","tensor(0.0019, device='cuda:0')"
"tensor(380.0539, device='cuda:0')","tensor(17668.7109, device='cuda:0')","tensor(0.0406, device='cuda:0')"
"tensor(5895.1616, device='cuda:0')","tensor(215691.7500, device='cuda:0')","tensor(0.0021, device='cuda:0')"
"tensor(348.6719, device='cuda:0')","tensor(14549.7119, device='cuda:0')","tensor(0.0397, device='cuda:0')"
"tensor(6350.1763, device='cuda:0')","tensor(210073.5000, device='cuda:0')","tensor(0.0017, device='cuda:0')"
"tensor(381.2475, device='cuda:0')","tensor(17114.1367, device='cuda:0')","tensor(0.0390, device='cuda:0')"
"tensor(6361.1372, device='cuda:0')","tensor(208651.7812, device='cuda:0')","tensor(0.0017, device='cuda:0')"
"tensor(275.3637, device='cuda:0')","tensor(8836.5439, device='cuda:0')","tensor(0.0386, device='cuda:0')"
"tensor(5225.5278, device='cuda:0')","tensor(201441.1562, device='cuda:0')","tensor(0.0122, device='cuda:0')"
"tensor(524.3166, device='cuda:0')","tensor(76280.9375, device='cuda:0')","tensor(0.0924, device='cuda:0')"
"tensor(6091.9751, device='cuda:0')","tensor(696522.2500, device='cuda:0')","tensor(0.0924, device='cuda:0')"
"tensor(6.7718, device='cuda:0')","tensor(867.3993, device='cuda:0')","tensor(16.9706, device='cuda:0')"
"tensor(35909.1328, device='cuda:0')","tensor(5906315., device='cuda:0')","tensor(0.0147, device='cuda:0')"
"tensor(40242.7227, device='cuda:0')","tensor(8117517., device='cuda:0')","tensor(0.0017, device='cuda:0')"
"tensor(8350.5127, device='cuda:0')","tensor(2946618.5000, device='cuda:0')","tensor(0.0140, device='cuda:0')"
"tensor(30254.0449, device='cuda:0')","tensor(3628595., device='cuda:0')","tensor(0.0013, device='cuda:0')"
"tensor(4590.9438, device='cuda:0')","tensor(868176.2500, device='cuda:0')","tensor(0.0137, device='cuda:0')"
"tensor(24975.8027, device='cuda:0')","tensor(2372085.7500, device='cuda:0')","tensor(0.0013, device='cuda:0')"
"tensor(5243.3804, device='cuda:0')","tensor(1101230.7500, device='cuda:0')","tensor(0.0133, device='cuda:0')"
"tensor(16198.4980, device='cuda:0')","tensor(988482., device='cuda:0')","tensor(0.0012, device='cuda:0')"
"tensor(3081.3826, device='cuda:0')","tensor(370038.3438, device='cuda:0')","tensor(0.0129, device='cuda:0')"
"tensor(9813.2891, device='cuda:0')","tensor(557090.6250, device='cuda:0')","tensor(0.0019, device='cuda:0')"
"tensor(2209.4092, device='cuda:0')","tensor(180008.7188, device='cuda:0')","tensor(0.0122, device='cuda:0')"
"tensor(9421.3604, device='cuda:0')","tensor(433970.8125, device='cuda:0')","tensor(0.0016, device='cuda:0')"
"tensor(1544.4943, device='cuda:0')","tensor(84440.3516, device='cuda:0')","tensor(0.0117, device='cuda:0')"
"tensor(11207.6895, device='cuda:0')","tensor(219558.8750, device='cuda:0')","tensor(0.0006, device='cuda:0')"
"tensor(697.3946, device='cuda:0')","tensor(16662.3242, device='cuda:0')","tensor(0.0114, device='cuda:0')"
"tensor(10027.7021, device='cuda:0')","tensor(211701.1875, device='cuda:0')","tensor(0.0007, device='cuda:0')"
"tensor(646.6652, device='cuda:0')","tensor(14010.1748, device='cuda:0')","tensor(0.0111, device='cuda:0')"
"tensor(11709.6348, device='cuda:0')","tensor(206480.3125, device='cuda:0')","tensor(0.0005, device='cuda:0')"
"tensor(703.8505, device='cuda:0')","tensor(16429.4375, device='cuda:0')","tensor(0.0110, device='cuda:0')"
"tensor(12195.6504, device='cuda:0')","tensor(205694.8438, device='cuda:0')","tensor(0.0005, device='cuda:0')"
