pi,trace(a),trace(g)
"tensor(28820.3262, device='cuda:0')","tensor(3661880.5000, device='cuda:0')","tensor(0.0015, device='cuda:0')"
"tensor(6049.6816, device='cuda:0')","tensor(1659660., device='cuda:0')","tensor(0.0150, device='cuda:0')"
"tensor(17090.1543, device='cuda:0')","tensor(1534791.2500, device='cuda:0')","tensor(0.0017, device='cuda:0')"
"tensor(3691.6504, device='cuda:0')","tensor(603120.1250, device='cuda:0')","tensor(0.0147, device='cuda:0')"
"tensor(12162.7646, device='cuda:0')","tensor(919500.8750, device='cuda:0')","tensor(0.0021, device='cuda:0')"
"tensor(2663.2429, device='cuda:0')","tensor(293741.3438, device='cuda:0')","tensor(0.0137, device='cuda:0')"
"tensor(10660., device='cuda:0')","tensor(719842.6875, device='cuda:0')","tensor(0.0021, device='cuda:0')"
"tensor(1889.4977, device='cuda:0')","tensor(141259.6719, device='cuda:0')","tensor(0.0131, device='cuda:0')"
"tensor(12182.6104, device='cuda:0')","tensor(363489.6250, device='cuda:0')","tensor(0.0008, device='cuda:0')"
"tensor(850.2458, device='cuda:0')","tensor(27499.4727, device='cuda:0')","tensor(0.0126, device='cuda:0')"
"tensor(11164.9863, device='cuda:0')","tensor(352489.6875, device='cuda:0')","tensor(0.0009, device='cuda:0')"
"tensor(866.6902, device='cuda:0')","tensor(27743.9219, device='cuda:0')","tensor(0.0122, device='cuda:0')"
"tensor(10705.2402, device='cuda:0')","tensor(346298.1875, device='cuda:0')","tensor(0.0010, device='cuda:0')"
"tensor(970.5306, device='cuda:0')","tensor(33954.6797, device='cuda:0')","tensor(0.0120, device='cuda:0')"
"tensor(11525.2324, device='cuda:0')","tensor(347469.3125, device='cuda:0')","tensor(0.0009, device='cuda:0')"
"tensor(656.3740, device='cuda:0')","tensor(15436.6426, device='cuda:0')","tensor(0.0119, device='cuda:0')"
"tensor(11073.3818, device='cuda:0')","tensor(335842.8125, device='cuda:0')","tensor(0.0045, device='cuda:0')"
"tensor(1304.7166, device='cuda:0')","tensor(138719.6406, device='cuda:0')","tensor(0.0271, device='cuda:0')"
"tensor(13954.9043, device='cuda:0')","tensor(1073369.6250, device='cuda:0')","tensor(0.0271, device='cuda:0')"
"tensor(17.7627, device='cuda:0')","tensor(1724.0728, device='cuda:0')","tensor(4.9026, device='cuda:0')"
"tensor(40206.6758, device='cuda:0')","tensor(8472609., device='cuda:0')","tensor(0.0168, device='cuda:0')"
"tensor(45727.2500, device='cuda:0')","tensor(11625526., device='cuda:0')","tensor(0.0018, device='cuda:0')"
"tensor(9363.5176, device='cuda:0')","tensor(4291639.5000, device='cuda:0')","tensor(0.0162, device='cuda:0')"
"tensor(32633.9883, device='cuda:0')","tensor(5245873., device='cuda:0')","tensor(0.0016, device='cuda:0')"
"tensor(5189.0913, device='cuda:0')","tensor(1287818.5000, device='cuda:0')","tensor(0.0159, device='cuda:0')"
"tensor(27717.4258, device='cuda:0')","tensor(3458638., device='cuda:0')","tensor(0.0015, device='cuda:0')"
"tensor(5798.5786, device='cuda:0')","tensor(1569608.7500, device='cuda:0')","tensor(0.0155, device='cuda:0')"
"tensor(16500.2285, device='cuda:0')","tensor(1457074.1250, device='cuda:0')","tensor(0.0018, device='cuda:0')"
"tensor(3545.7258, device='cuda:0')","tensor(572848., device='cuda:0')","tensor(0.0151, device='cuda:0')"
"tensor(11608.0342, device='cuda:0')","tensor(850089.3125, device='cuda:0')","tensor(0.0021, device='cuda:0')"
"tensor(2503.7788, device='cuda:0')","tensor(267172.3125, device='cuda:0')","tensor(0.0141, device='cuda:0')"
"tensor(10145.6709, device='cuda:0')","tensor(667879.6250, device='cuda:0')","tensor(0.0022, device='cuda:0')"
"tensor(1782.5869, device='cuda:0')","tensor(128394.0234, device='cuda:0')","tensor(0.0134, device='cuda:0')"
"tensor(11329.2070, device='cuda:0')","tensor(333543.9688, device='cuda:0')","tensor(0.0009, device='cuda:0')"
"tensor(813.4445, device='cuda:0')","tensor(25558.5645, device='cuda:0')","tensor(0.0128, device='cuda:0')"
"tensor(10752.6289, device='cuda:0')","tensor(322975., device='cuda:0')","tensor(0.0009, device='cuda:0')"
"tensor(827.2566, device='cuda:0')","tensor(25684.5703, device='cuda:0')","tensor(0.0124, device='cuda:0')"
"tensor(9998.1680, device='cuda:0')","tensor(314571.1250, device='cuda:0')","tensor(0.0010, device='cuda:0')"
"tensor(898.5331, device='cuda:0')","tensor(29557.9062, device='cuda:0')","tensor(0.0121, device='cuda:0')"
"tensor(10707.1084, device='cuda:0')","tensor(312663., device='cuda:0')","tensor(0.0009, device='cuda:0')"
"tensor(629.9086, device='cuda:0')","tensor(14362.3555, device='cuda:0')","tensor(0.0120, device='cuda:0')"
"tensor(10379.6836, device='cuda:0')","tensor(301321.7188, device='cuda:0')","tensor(0.0046, device='cuda:0')"
"tensor(1215.0676, device='cuda:0')","tensor(120321.1094, device='cuda:0')","tensor(0.0271, device='cuda:0')"
"tensor(13496.5898, device='cuda:0')","tensor(1004104.8125, device='cuda:0')","tensor(0.0271, device='cuda:0')"
"tensor(17.5242, device='cuda:0')","tensor(1678.0947, device='cuda:0')","tensor(4.9026, device='cuda:0')"
"tensor(39836.4961, device='cuda:0')","tensor(8685848., device='cuda:0')","tensor(0.0175, device='cuda:0')"
"tensor(45793.9609, device='cuda:0')","tensor(11962716., device='cuda:0')","tensor(0.0019, device='cuda:0')"
"tensor(9303.0645, device='cuda:0')","tensor(4436586., device='cuda:0')","tensor(0.0170, device='cuda:0')"
"tensor(32053.0020, device='cuda:0')","tensor(5374961., device='cuda:0')","tensor(0.0017, device='cuda:0')"
"tensor(5151.0308, device='cuda:0')","tensor(1327668.2500, device='cuda:0')","tensor(0.0166, device='cuda:0')"
"tensor(27574.5078, device='cuda:0')","tensor(3544758.5000, device='cuda:0')","tensor(0.0015, device='cuda:0')"
"tensor(5738.1602, device='cuda:0')","tensor(1603325.3750, device='cuda:0')","tensor(0.0161, device='cuda:0')"
"tensor(16160.5859, device='cuda:0')","tensor(1495299.1250, device='cuda:0')","tensor(0.0019, device='cuda:0')"
"tensor(3508.8936, device='cuda:0')","tensor(586815.7500, device='cuda:0')","tensor(0.0158, device='cuda:0')"
"tensor(11422.4316, device='cuda:0')","tensor(873652.7500, device='cuda:0')","tensor(0.0022, device='cuda:0')"
"tensor(2483.3247, device='cuda:0')","tensor(272634.9375, device='cuda:0')","tensor(0.0147, device='cuda:0')"
"tensor(10226.7314, device='cuda:0')","tensor(684102., device='cuda:0')","tensor(0.0022, device='cuda:0')"
"tensor(1756.8656, device='cuda:0')","tensor(130177.9219, device='cuda:0')","tensor(0.0140, device='cuda:0')"
"tensor(10898.2432, device='cuda:0')","tensor(344345.5312, device='cuda:0')","tensor(0.0010, device='cuda:0')"
"tensor(804.8846, device='cuda:0')","tensor(25962.2305, device='cuda:0')","tensor(0.0133, device='cuda:0')"
"tensor(10692.8125, device='cuda:0')","tensor(333948.2188, device='cuda:0')","tensor(0.0010, device='cuda:0')"
"tensor(837.6929, device='cuda:0')","tensor(27181.3477, device='cuda:0')","tensor(0.0128, device='cuda:0')"
"tensor(9848.1602, device='cuda:0')","tensor(325754.4688, device='cuda:0')","tensor(0.0011, device='cuda:0')"
"tensor(908.7300, device='cuda:0')","tensor(30919.0078, device='cuda:0')","tensor(0.0124, device='cuda:0')"
"tensor(11016.3623, device='cuda:0')","tensor(323694.1250, device='cuda:0')","tensor(0.0009, device='cuda:0')"
"tensor(638.0060, device='cuda:0')","tensor(15126.8047, device='cuda:0')","tensor(0.0123, device='cuda:0')"
"tensor(10426.7861, device='cuda:0')","tensor(311746.3438, device='cuda:0')","tensor(0.0048, device='cuda:0')"
"tensor(1235.0818, device='cuda:0')","tensor(124329.8906, device='cuda:0')","tensor(0.0271, device='cuda:0')"
"tensor(13730.2012, device='cuda:0')","tensor(1039268.9375, device='cuda:0')","tensor(0.0271, device='cuda:0')"
"tensor(18.2142, device='cuda:0')","tensor(1812.8322, device='cuda:0')","tensor(4.9026, device='cuda:0')"
"tensor(39351.3438, device='cuda:0')","tensor(9059817., device='cuda:0')","tensor(0.0187, device='cuda:0')"
"tensor(45285.7812, device='cuda:0')","tensor(12490302., device='cuda:0')","tensor(0.0020, device='cuda:0')"
"tensor(9215.8242, device='cuda:0')","tensor(4643099.5000, device='cuda:0')","tensor(0.0181, device='cuda:0')"
"tensor(31533.4141, device='cuda:0')","tensor(5581819.5000, device='cuda:0')","tensor(0.0019, device='cuda:0')"
"tensor(5102.0391, device='cuda:0')","tensor(1383074.7500, device='cuda:0')","tensor(0.0176, device='cuda:0')"
"tensor(27334.4961, device='cuda:0')","tensor(3664302.5000, device='cuda:0')","tensor(0.0016, device='cuda:0')"
"tensor(5663.0903, device='cuda:0')","tensor(1657556.5000, device='cuda:0')","tensor(0.0171, device='cuda:0')"
"tensor(15862.3145, device='cuda:0')","tensor(1541207.2500, device='cuda:0')","tensor(0.0020, device='cuda:0')"
"tensor(3451.2327, device='cuda:0')","tensor(602732., device='cuda:0')","tensor(0.0168, device='cuda:0')"
"tensor(11399.0098, device='cuda:0')","tensor(896205.5000, device='cuda:0')","tensor(0.0023, device='cuda:0')"
"tensor(2427.3267, device='cuda:0')","tensor(276812., device='cuda:0')","tensor(0.0156, device='cuda:0')"
"tensor(9653.5879, device='cuda:0')","tensor(699532.8750, device='cuda:0')","tensor(0.0025, device='cuda:0')"
"tensor(1744.3397, device='cuda:0')","tensor(133815.1406, device='cuda:0')","tensor(0.0146, device='cuda:0')"
"tensor(10407.5879, device='cuda:0')","tensor(350665.3750, device='cuda:0')","tensor(0.0011, device='cuda:0')"
"tensor(806.1656, device='cuda:0')","tensor(26836.6602, device='cuda:0')","tensor(0.0137, device='cuda:0')"
"tensor(10431.6748, device='cuda:0')","tensor(339447.4688, device='cuda:0')","tensor(0.0010, device='cuda:0')"
"tensor(843.2649, device='cuda:0')","tensor(28268.6777, device='cuda:0')","tensor(0.0132, device='cuda:0')"
"tensor(9649.2139, device='cuda:0')","tensor(330012.0625, device='cuda:0')","tensor(0.0012, device='cuda:0')"
"tensor(909.8123, device='cuda:0')","tensor(31775.5215, device='cuda:0')","tensor(0.0127, device='cuda:0')"
"tensor(10493.1123, device='cuda:0')","tensor(326162.1250, device='cuda:0')","tensor(0.0010, device='cuda:0')"
"tensor(642.3769, device='cuda:0')","tensor(15653.4189, device='cuda:0')","tensor(0.0126, device='cuda:0')"
"tensor(10119.7520, device='cuda:0')","tensor(313745.2500, device='cuda:0')","tensor(0.0051, device='cuda:0')"
"tensor(1235.4701, device='cuda:0')","tensor(124431.5156, device='cuda:0')","tensor(0.0271, device='cuda:0')"
"tensor(13934.3145, device='cuda:0')","tensor(1070599.7500, device='cuda:0')","tensor(0.0271, device='cuda:0')"
"tensor(19.5157, device='cuda:0')","tensor(2081.1814, device='cuda:0')","tensor(4.9026, device='cuda:0')"
"tensor(40498.2656, device='cuda:0')","tensor(8671276., device='cuda:0')","tensor(0.0169, device='cuda:0')"
"tensor(46274.4961, device='cuda:0')","tensor(12011272., device='cuda:0')","tensor(0.0019, device='cuda:0')"
"tensor(9467.7148, device='cuda:0')","tensor(4437018.5000, device='cuda:0')","tensor(0.0164, device='cuda:0')"
"tensor(33151.7695, device='cuda:0')","tensor(5389611., device='cuda:0')","tensor(0.0016, device='cuda:0')"
"tensor(5236.6001, device='cuda:0')","tensor(1327370.5000, device='cuda:0')","tensor(0.0161, device='cuda:0')"
"tensor(27784.1836, device='cuda:0')","tensor(3533638., device='cuda:0')","tensor(0.0015, device='cuda:0')"
"tensor(5872.1108, device='cuda:0')","tensor(1627353., device='cuda:0')","tensor(0.0157, device='cuda:0')"
"tensor(16056.4023, device='cuda:0')","tensor(1476494.1250, device='cuda:0')","tensor(0.0019, device='cuda:0')"
"tensor(3564.2019, device='cuda:0')","tensor(585866.8750, device='cuda:0')","tensor(0.0153, device='cuda:0')"
"tensor(11471.7773, device='cuda:0')","tensor(844279.5000, device='cuda:0')","tensor(0.0021, device='cuda:0')"
"tensor(2489.8953, device='cuda:0')","tensor(264821.7812, device='cuda:0')","tensor(0.0142, device='cuda:0')"
"tensor(10004.7637, device='cuda:0')","tensor(669458.4375, device='cuda:0')","tensor(0.0022, device='cuda:0')"
"tensor(1771.0010, device='cuda:0')","tensor(127781.3281, device='cuda:0')","tensor(0.0135, device='cuda:0')"
"tensor(10878.1895, device='cuda:0')","tensor(337334.0625, device='cuda:0')","tensor(0.0009, device='cuda:0')"
"tensor(819.5714, device='cuda:0')","tensor(25999.4082, device='cuda:0')","tensor(0.0128, device='cuda:0')"
"tensor(10710.8477, device='cuda:0')","tensor(327197.8125, device='cuda:0')","tensor(0.0009, device='cuda:0')"
"tensor(832.2529, device='cuda:0')","tensor(26131.3516, device='cuda:0')","tensor(0.0125, device='cuda:0')"
"tensor(9866.9756, device='cuda:0')","tensor(318697.7500, device='cuda:0')","tensor(0.0011, device='cuda:0')"
"tensor(877.2661, device='cuda:0')","tensor(28298.6523, device='cuda:0')","tensor(0.0122, device='cuda:0')"
"tensor(10347.8984, device='cuda:0')","tensor(317472., device='cuda:0')","tensor(0.0010, device='cuda:0')"
"tensor(632.8983, device='cuda:0')","tensor(14661.6328, device='cuda:0')","tensor(0.0121, device='cuda:0')"
"tensor(10506.2334, device='cuda:0')","tensor(305313.6250, device='cuda:0')","tensor(0.0046, device='cuda:0')"
"tensor(1225.5161, device='cuda:0')","tensor(122444.7578, device='cuda:0')","tensor(0.0271, device='cuda:0')"
"tensor(13705.9580, device='cuda:0')","tensor(1035883.3750, device='cuda:0')","tensor(0.0271, device='cuda:0')"
"tensor(19.2111, device='cuda:0')","tensor(2016.7095, device='cuda:0')","tensor(4.9026, device='cuda:0')"
"tensor(38582.7031, device='cuda:0')","tensor(7833774., device='cuda:0')","tensor(0.0168, device='cuda:0')"
"tensor(44319.8477, device='cuda:0')","tensor(10965391., device='cuda:0')","tensor(0.0019, device='cuda:0')"
"tensor(9073.1973, device='cuda:0')","tensor(4039930.5000, device='cuda:0')","tensor(0.0163, device='cuda:0')"
"tensor(31754.6738, device='cuda:0')","tensor(4886224., device='cuda:0')","tensor(0.0016, device='cuda:0')"
"tensor(5058.6597, device='cuda:0')","tensor(1224007.7500, device='cuda:0')","tensor(0.0159, device='cuda:0')"
"tensor(26665.0820, device='cuda:0')","tensor(3201833.5000, device='cuda:0')","tensor(0.0015, device='cuda:0')"
"tensor(5617.5518, device='cuda:0')","tensor(1473312.5000, device='cuda:0')","tensor(0.0155, device='cuda:0')"
"tensor(15919.4414, device='cuda:0')","tensor(1325321.3750, device='cuda:0')","tensor(0.0017, device='cuda:0')"
"tensor(3361.1223, device='cuda:0')","tensor(514403.8125, device='cuda:0')","tensor(0.0151, device='cuda:0')"
"tensor(11128.1006, device='cuda:0')","tensor(774134.0625, device='cuda:0')","tensor(0.0021, device='cuda:0')"
"tensor(2393.7490, device='cuda:0')","tensor(244066.4375, device='cuda:0')","tensor(0.0141, device='cuda:0')"
"tensor(9839.6895, device='cuda:0')","tensor(606073.6875, device='cuda:0')","tensor(0.0021, device='cuda:0')"
"tensor(1691.7264, device='cuda:0')","tensor(115982.1641, device='cuda:0')","tensor(0.0134, device='cuda:0')"
"tensor(10960.5176, device='cuda:0')","tensor(305079.8125, device='cuda:0')","tensor(0.0008, device='cuda:0')"
"tensor(765.3359, device='cuda:0')","tensor(22741.3242, device='cuda:0')","tensor(0.0129, device='cuda:0')"
"tensor(10320.5166, device='cuda:0')","tensor(295361.3750, device='cuda:0')","tensor(0.0009, device='cuda:0')"
"tensor(770.1023, device='cuda:0')","tensor(22504.6289, device='cuda:0')","tensor(0.0126, device='cuda:0')"
"tensor(10247.2002, device='cuda:0')","tensor(289883.5938, device='cuda:0')","tensor(0.0009, device='cuda:0')"
"tensor(853.7980, device='cuda:0')","tensor(27132.2383, device='cuda:0')","tensor(0.0123, device='cuda:0')"
"tensor(10899.8828, device='cuda:0')","tensor(289985.2500, device='cuda:0')","tensor(0.0008, device='cuda:0')"
"tensor(581.2300, device='cuda:0')","tensor(12498.6729, device='cuda:0')","tensor(0.0123, device='cuda:0')"
"tensor(10112.6836, device='cuda:0')","tensor(280342.9375, device='cuda:0')","tensor(0.0045, device='cuda:0')"
"tensor(1165.3429, device='cuda:0')","tensor(110694.7891, device='cuda:0')","tensor(0.0271, device='cuda:0')"
"tensor(13083.9854, device='cuda:0')","tensor(943821.3750, device='cuda:0')","tensor(0.0271, device='cuda:0')"
"tensor(16.8816, device='cuda:0')","tensor(1557.2783, device='cuda:0')","tensor(4.9026, device='cuda:0')"
"tensor(44163.8750, device='cuda:0')","tensor(9741515., device='cuda:0')","tensor(0.0160, device='cuda:0')"
"tensor(51556.8789, device='cuda:0')","tensor(13692144., device='cuda:0')","tensor(0.0017, device='cuda:0')"
"tensor(10392.1797, device='cuda:0')","tensor(5078876., device='cuda:0')","tensor(0.0156, device='cuda:0')"
"tensor(35921.4375, device='cuda:0')","tensor(6071201.5000, device='cuda:0')","tensor(0.0016, device='cuda:0')"
"tensor(5779.4512, device='cuda:0')","tensor(1535873.5000, device='cuda:0')","tensor(0.0152, device='cuda:0')"
"tensor(30297.0508, device='cuda:0')","tensor(3966703., device='cuda:0')","tensor(0.0014, device='cuda:0')"
"tensor(6362.2505, device='cuda:0')","tensor(1818868.2500, device='cuda:0')","tensor(0.0149, device='cuda:0')"
"tensor(18126.6719, device='cuda:0')","tensor(1646309.5000, device='cuda:0')","tensor(0.0017, device='cuda:0')"
"tensor(3821.9570, device='cuda:0')","tensor(641063.1250, device='cuda:0')","tensor(0.0146, device='cuda:0')"
"tensor(12939.1328, device='cuda:0')","tensor(968668.1875, device='cuda:0')","tensor(0.0019, device='cuda:0')"
"tensor(2711.0723, device='cuda:0')","tensor(302279.4375, device='cuda:0')","tensor(0.0136, device='cuda:0')"
"tensor(11058.3975, device='cuda:0')","tensor(746777.4375, device='cuda:0')","tensor(0.0020, device='cuda:0')"
"tensor(1890.1299, device='cuda:0')","tensor(141252.9062, device='cuda:0')","tensor(0.0131, device='cuda:0')"
"tensor(11755.9111, device='cuda:0')","tensor(374696.7188, device='cuda:0')","tensor(0.0009, device='cuda:0')"
"tensor(863.8104, device='cuda:0')","tensor(28264.7930, device='cuda:0')","tensor(0.0126, device='cuda:0')"
"tensor(11235.4795, device='cuda:0')","tensor(362334.7500, device='cuda:0')","tensor(0.0010, device='cuda:0')"
"tensor(892.5374, device='cuda:0')","tensor(29443.1758, device='cuda:0')","tensor(0.0123, device='cuda:0')"
"tensor(10324.6553, device='cuda:0')","tensor(355498.3125, device='cuda:0')","tensor(0.0011, device='cuda:0')"
"tensor(990.7664, device='cuda:0')","tensor(35440.4727, device='cuda:0')","tensor(0.0120, device='cuda:0')"
"tensor(11021.3760, device='cuda:0')","tensor(353133.3438, device='cuda:0')","tensor(0.0010, device='cuda:0')"
"tensor(672.2396, device='cuda:0')","tensor(16165.4082, device='cuda:0')","tensor(0.0119, device='cuda:0')"
"tensor(11205.7715, device='cuda:0')","tensor(340152.4062, device='cuda:0')","tensor(0.0045, device='cuda:0')"
"tensor(1284.8829, device='cuda:0')","tensor(134566.6562, device='cuda:0')","tensor(0.0271, device='cuda:0')"
"tensor(14569.0537, device='cuda:0')","tensor(1170207.8750, device='cuda:0')","tensor(0.0271, device='cuda:0')"
"tensor(22.2200, device='cuda:0')","tensor(2697.9141, device='cuda:0')","tensor(4.9026, device='cuda:0')"
"tensor(43473.1914, device='cuda:0')","tensor(9597229., device='cuda:0')","tensor(0.0162, device='cuda:0')"
"tensor(50760.5781, device='cuda:0')","tensor(13398988., device='cuda:0')","tensor(0.0017, device='cuda:0')"
"tensor(10212.8076, device='cuda:0')","tensor(4976593.5000, device='cuda:0')","tensor(0.0158, device='cuda:0')"
"tensor(35495.9180, device='cuda:0')","tensor(5947357., device='cuda:0')","tensor(0.0016, device='cuda:0')"
"tensor(5678.2104, device='cuda:0')","tensor(1503481.2500, device='cuda:0')","tensor(0.0155, device='cuda:0')"
"tensor(29644.4316, device='cuda:0')","tensor(3897009.7500, device='cuda:0')","tensor(0.0015, device='cuda:0')"
"tensor(6231.5225, device='cuda:0')","tensor(1769540.5000, device='cuda:0')","tensor(0.0151, device='cuda:0')"
"tensor(17654.2207, device='cuda:0')","tensor(1622567.5000, device='cuda:0')","tensor(0.0017, device='cuda:0')"
"tensor(3757.5806, device='cuda:0')","tensor(627526.0625, device='cuda:0')","tensor(0.0147, device='cuda:0')"
"tensor(12621.1367, device='cuda:0')","tensor(960161.1250, device='cuda:0')","tensor(0.0020, device='cuda:0')"
"tensor(2677.8477, device='cuda:0')","tensor(299683.2500, device='cuda:0')","tensor(0.0139, device='cuda:0')"
"tensor(10903.0498, device='cuda:0')","tensor(737100.4375, device='cuda:0')","tensor(0.0021, device='cuda:0')"
"tensor(1870.7831, device='cuda:0')","tensor(140735.5781, device='cuda:0')","tensor(0.0133, device='cuda:0')"
"tensor(11608.3252, device='cuda:0')","tensor(371217.5000, device='cuda:0')","tensor(0.0009, device='cuda:0')"
"tensor(841.1738, device='cuda:0')","tensor(27413.9805, device='cuda:0')","tensor(0.0128, device='cuda:0')"
"tensor(10776.9932, device='cuda:0')","tensor(358753.1250, device='cuda:0')","tensor(0.0010, device='cuda:0')"
"tensor(881.2884, device='cuda:0')","tensor(29234.6992, device='cuda:0')","tensor(0.0125, device='cuda:0')"
"tensor(10227.6348, device='cuda:0')","tensor(351787.3125, device='cuda:0')","tensor(0.0011, device='cuda:0')"
"tensor(987.9705, device='cuda:0')","tensor(35746.6641, device='cuda:0')","tensor(0.0121, device='cuda:0')"
"tensor(11383.5127, device='cuda:0')","tensor(348968.5625, device='cuda:0')","tensor(0.0009, device='cuda:0')"
"tensor(669.8995, device='cuda:0')","tensor(16290.1875, device='cuda:0')","tensor(0.0120, device='cuda:0')"
"tensor(10647.3203, device='cuda:0')","tensor(336190.1250, device='cuda:0')","tensor(0.0049, device='cuda:0')"
"tensor(1274.0427, device='cuda:0')","tensor(132299.1250, device='cuda:0')","tensor(0.0271, device='cuda:0')"
"tensor(14436.1816, device='cuda:0')","tensor(1148903.7500, device='cuda:0')","tensor(0.0271, device='cuda:0')"
"tensor(22.6905, device='cuda:0')","tensor(2813.3765, device='cuda:0')","tensor(4.9026, device='cuda:0')"
"tensor(41785.7422, device='cuda:0')","tensor(9083784., device='cuda:0')","tensor(0.0166, device='cuda:0')"
"tensor(48509.4414, device='cuda:0')","tensor(12846386., device='cuda:0')","tensor(0.0018, device='cuda:0')"
"tensor(9887.8633, device='cuda:0')","tensor(4747704., device='cuda:0')","tensor(0.0161, device='cuda:0')"
"tensor(34104.3438, device='cuda:0')","tensor(5691341., device='cuda:0')","tensor(0.0016, device='cuda:0')"
"tensor(5545.4434, device='cuda:0')","tensor(1456457., device='cuda:0')","tensor(0.0157, device='cuda:0')"
"tensor(28952.1113, device='cuda:0')","tensor(3734359.5000, device='cuda:0')","tensor(0.0015, device='cuda:0')"
"tensor(6062.1611, device='cuda:0')","tensor(1701990.5000, device='cuda:0')","tensor(0.0154, device='cuda:0')"
"tensor(17275.1523, device='cuda:0')","tensor(1541795.1250, device='cuda:0')","tensor(0.0017, device='cuda:0')"
"tensor(3621.4805, device='cuda:0')","tensor(594332.6250, device='cuda:0')","tensor(0.0150, device='cuda:0')"
"tensor(12323.2100, device='cuda:0')","tensor(934697.3750, device='cuda:0')","tensor(0.0020, device='cuda:0')"
"tensor(2647.5918, device='cuda:0')","tensor(297803.7500, device='cuda:0')","tensor(0.0141, device='cuda:0')"
"tensor(10550.3701, device='cuda:0')","tensor(714566.3750, device='cuda:0')","tensor(0.0021, device='cuda:0')"
"tensor(1851.2402, device='cuda:0')","tensor(138787.9375, device='cuda:0')","tensor(0.0134, device='cuda:0')"
"tensor(11531.3721, device='cuda:0')","tensor(360793.5000, device='cuda:0')","tensor(0.0009, device='cuda:0')"
"tensor(828.0538, device='cuda:0')","tensor(26582.9277, device='cuda:0')","tensor(0.0129, device='cuda:0')"
"tensor(10837.8799, device='cuda:0')","tensor(349158.9375, device='cuda:0')","tensor(0.0010, device='cuda:0')"
"tensor(861.3119, device='cuda:0')","tensor(27981.7070, device='cuda:0')","tensor(0.0125, device='cuda:0')"
"tensor(10703.9834, device='cuda:0')","tensor(344141.5625, device='cuda:0')","tensor(0.0010, device='cuda:0')"
"tensor(991.2418, device='cuda:0')","tensor(36235.8828, device='cuda:0')","tensor(0.0122, device='cuda:0')"
"tensor(11394.0264, device='cuda:0')","tensor(343946.9375, device='cuda:0')","tensor(0.0009, device='cuda:0')"
"tensor(644.6162, device='cuda:0')","tensor(15175.5439, device='cuda:0')","tensor(0.0121, device='cuda:0')"
"tensor(10712.1357, device='cuda:0')","tensor(332379.3125, device='cuda:0')","tensor(0.0048, device='cuda:0')"
"tensor(1274.0341, device='cuda:0')","tensor(132304.8906, device='cuda:0')","tensor(0.0271, device='cuda:0')"
"tensor(14163.7852, device='cuda:0')","tensor(1106018.7500, device='cuda:0')","tensor(0.0271, device='cuda:0')"
"tensor(18.0429, device='cuda:0')","tensor(1778.9043, device='cuda:0')","tensor(4.9026, device='cuda:0')"
"tensor(42703.0625, device='cuda:0')","tensor(9024755., device='cuda:0')","tensor(0.0158, device='cuda:0')"
"tensor(48978.2070, device='cuda:0')","tensor(12570250., device='cuda:0')","tensor(0.0017, device='cuda:0')"
"tensor(9999.5723, device='cuda:0')","tensor(4631526., device='cuda:0')","tensor(0.0154, device='cuda:0')"
"tensor(34979.8125, device='cuda:0')","tensor(5599775., device='cuda:0')","tensor(0.0015, device='cuda:0')"
"tensor(5570.0586, device='cuda:0')","tensor(1406830.6250, device='cuda:0')","tensor(0.0150, device='cuda:0')"
"tensor(29163.3223, device='cuda:0')","tensor(3679028.7500, device='cuda:0')","tensor(0.0014, device='cuda:0')"
"tensor(6179.5996, device='cuda:0')","tensor(1691270.8750, device='cuda:0')","tensor(0.0147, device='cuda:0')"
"tensor(17194.5664, device='cuda:0')","tensor(1503103.5000, device='cuda:0')","tensor(0.0017, device='cuda:0')"
"tensor(3650.6943, device='cuda:0')","tensor(577086.5000, device='cuda:0')","tensor(0.0144, device='cuda:0')"
"tensor(12313.3584, device='cuda:0')","tensor(883092.3750, device='cuda:0')","tensor(0.0019, device='cuda:0')"
"tensor(2631.9019, device='cuda:0')","tensor(282256.0938, device='cuda:0')","tensor(0.0135, device='cuda:0')"
"tensor(10724.1777, device='cuda:0')","tensor(684043.8750, device='cuda:0')","tensor(0.0020, device='cuda:0')"
"tensor(1824.5656, device='cuda:0')","tensor(130885.5547, device='cuda:0')","tensor(0.0130, device='cuda:0')"
"tensor(11636.7402, device='cuda:0')","tensor(342902.1875, device='cuda:0')","tensor(0.0008, device='cuda:0')"
"tensor(817.3192, device='cuda:0')","tensor(25346.2148, device='cuda:0')","tensor(0.0126, device='cuda:0')"
"tensor(11066.6035, device='cuda:0')","tensor(330708.3125, device='cuda:0')","tensor(0.0009, device='cuda:0')"
"tensor(809.0539, device='cuda:0')","tensor(24369.8164, device='cuda:0')","tensor(0.0123, device='cuda:0')"
"tensor(10423.4453, device='cuda:0')","tensor(326185.1875, device='cuda:0')","tensor(0.0010, device='cuda:0')"
"tensor(937.8752, device='cuda:0')","tensor(32054.9688, device='cuda:0')","tensor(0.0121, device='cuda:0')"
"tensor(11371.6631, device='cuda:0')","tensor(326399.0938, device='cuda:0')","tensor(0.0008, device='cuda:0')"
"tensor(616.3263, device='cuda:0')","tensor(13805.9385, device='cuda:0')","tensor(0.0121, device='cuda:0')"
"tensor(10902.6533, device='cuda:0')","tensor(315435.4375, device='cuda:0')","tensor(0.0044, device='cuda:0')"
