iteration,original_grad_norm,regularized_grad_norm
80,"tensor(2.4552, device='cuda:0')","tensor(11.4381, device='cuda:0')"
81,"tensor(2.4094, device='cuda:0')","tensor(8.5988, device='cuda:0')"
82,"tensor(1.7309, device='cuda:0')","tensor(11.1857, device='cuda:0')"
83,"tensor(2.3723, device='cuda:0')","tensor(12.5704, device='cuda:0')"
84,"tensor(2.7294, device='cuda:0')","tensor(16.0004, device='cuda:0')"
85,"tensor(3.2546, device='cuda:0')","tensor(17.8275, device='cuda:0')"
86,"tensor(3.6330, device='cuda:0')","tensor(24.3032, device='cuda:0')"
87,"tensor(3.7190, device='cuda:0')","tensor(27.3530, device='cuda:0')"
88,"tensor(3.5850, device='cuda:0')","tensor(27.8450, device='cuda:0')"
89,"tensor(3.6492, device='cuda:0')","tensor(31.8456, device='cuda:0')"
90,"tensor(3.6840, device='cuda:0')","tensor(45.7764, device='cuda:0')"
91,"tensor(3.4988, device='cuda:0')","tensor(13.2996, device='cuda:0')"
92,"tensor(3.6087, device='cuda:0')","tensor(14.3695, device='cuda:0')"
93,"tensor(3.7475, device='cuda:0')","tensor(14.7633, device='cuda:0')"
94,"tensor(4.0395, device='cuda:0')","tensor(20.1176, device='cuda:0')"
95,"tensor(4.0646, device='cuda:0')","tensor(16.9681, device='cuda:0')"
96,"tensor(4.3794, device='cuda:0')","tensor(17.3151, device='cuda:0')"
97,"tensor(4.3940, device='cuda:0')","tensor(17.2553, device='cuda:0')"
98,"tensor(4.4521, device='cuda:0')","tensor(29.8435, device='cuda:0')"
99,"tensor(4.3563, device='cuda:0')","tensor(27.1775, device='cuda:0')"
100,"tensor(4.6203, device='cuda:0')","tensor(25.1976, device='cuda:0')"
101,"tensor(4.3803, device='cuda:0')","tensor(10.9363, device='cuda:0')"
102,"tensor(3.4652, device='cuda:0')","tensor(12.8104, device='cuda:0')"
103,"tensor(3.7059, device='cuda:0')","tensor(12.8946, device='cuda:0')"
104,"tensor(4.2312, device='cuda:0')","tensor(13.1263, device='cuda:0')"
105,"tensor(3.9237, device='cuda:0')","tensor(13.3250, device='cuda:0')"
106,"tensor(3.4214, device='cuda:0')","tensor(14.5147, device='cuda:0')"
107,"tensor(3.0741, device='cuda:0')","tensor(14.4320, device='cuda:0')"
108,"tensor(2.5784, device='cuda:0')","tensor(14.0032, device='cuda:0')"
109,"tensor(2.8942, device='cuda:0')","tensor(16.9033, device='cuda:0')"
110,"tensor(1.7193, device='cuda:0')","tensor(14.3112, device='cuda:0')"
111,"tensor(2.1788, device='cuda:0')","tensor(9.9950, device='cuda:0')"
112,"tensor(1.9631, device='cuda:0')","tensor(9.0771, device='cuda:0')"
113,"tensor(1.5963, device='cuda:0')","tensor(9.6563, device='cuda:0')"
114,"tensor(1.9787, device='cuda:0')","tensor(26.4952, device='cuda:0')"
115,"tensor(1.6670, device='cuda:0')","tensor(20.7330, device='cuda:0')"
116,"tensor(2.3878, device='cuda:0')","tensor(22.1053, device='cuda:0')"
117,"tensor(1.8747, device='cuda:0')","tensor(17.7343, device='cuda:0')"
118,"tensor(3.0719, device='cuda:0')","tensor(24.8899, device='cuda:0')"
119,"tensor(2.8618, device='cuda:0')","tensor(22.4856, device='cuda:0')"
120,"tensor(2.9280, device='cuda:0')","tensor(20.8345, device='cuda:0')"
121,"tensor(2.8147, device='cuda:0')","tensor(10.4106, device='cuda:0')"
122,"tensor(4.1727, device='cuda:0')","tensor(19.4890, device='cuda:0')"
123,"tensor(4.4263, device='cuda:0')","tensor(18.0705, device='cuda:0')"
124,"tensor(4.3130, device='cuda:0')","tensor(16.2594, device='cuda:0')"
125,"tensor(4.4802, device='cuda:0')","tensor(17.3361, device='cuda:0')"
126,"tensor(5.4898, device='cuda:0')","tensor(19.1838, device='cuda:0')"
127,"tensor(5.5796, device='cuda:0')","tensor(17.9831, device='cuda:0')"
128,"tensor(5.2623, device='cuda:0')","tensor(16.6311, device='cuda:0')"
129,"tensor(4.0190, device='cuda:0')","tensor(15.5536, device='cuda:0')"
130,"tensor(2.6210, device='cuda:0')","tensor(12.8203, device='cuda:0')"
131,"tensor(2.8357, device='cuda:0')","tensor(8.4627, device='cuda:0')"
132,"tensor(3.3932, device='cuda:0')","tensor(9.4920, device='cuda:0')"
133,"tensor(4.6500, device='cuda:0')","tensor(13.2525, device='cuda:0')"
134,"tensor(3.6914, device='cuda:0')","tensor(12.1247, device='cuda:0')"
135,"tensor(4.5791, device='cuda:0')","tensor(14.2847, device='cuda:0')"
136,"tensor(4.5379, device='cuda:0')","tensor(15.7330, device='cuda:0')"
137,"tensor(4.6299, device='cuda:0')","tensor(20.0950, device='cuda:0')"
138,"tensor(6.0585, device='cuda:0')","tensor(64.5104, device='cuda:0')"
139,"tensor(4.9125, device='cuda:0')","tensor(47.1374, device='cuda:0')"
140,"tensor(3.9363, device='cuda:0')","tensor(42.8337, device='cuda:0')"
141,"tensor(4.0055, device='cuda:0')","tensor(13.2359, device='cuda:0')"
142,"tensor(4.4138, device='cuda:0')","tensor(17.5646, device='cuda:0')"
143,"tensor(4.2900, device='cuda:0')","tensor(17.7122, device='cuda:0')"
144,"tensor(4.2830, device='cuda:0')","tensor(17.9746, device='cuda:0')"
145,"tensor(4.1082, device='cuda:0')","tensor(21.2348, device='cuda:0')"
146,"tensor(3.5365, device='cuda:0')","tensor(28.1477, device='cuda:0')"
147,"tensor(3.7665, device='cuda:0')","tensor(28.7245, device='cuda:0')"
148,"tensor(3.7211, device='cuda:0')","tensor(29.0777, device='cuda:0')"
149,"tensor(3.8098, device='cuda:0')","tensor(30.5795, device='cuda:0')"
150,"tensor(4.0224, device='cuda:0')","tensor(32.8386, device='cuda:0')"
151,"tensor(2.4812, device='cuda:0')","tensor(11.3674, device='cuda:0')"
152,"tensor(2.2090, device='cuda:0')","tensor(13.3558, device='cuda:0')"
153,"tensor(1.4071, device='cuda:0')","tensor(14.9714, device='cuda:0')"
154,"tensor(1.3211, device='cuda:0')","tensor(16.5009, device='cuda:0')"
155,"tensor(2.2673, device='cuda:0')","tensor(21.2235, device='cuda:0')"
156,"tensor(2.4592, device='cuda:0')","tensor(19.8663, device='cuda:0')"
157,"tensor(2.0780, device='cuda:0')","tensor(16.0587, device='cuda:0')"
158,"tensor(1.7994, device='cuda:0')","tensor(17.5365, device='cuda:0')"
159,"tensor(2.3405, device='cuda:0')","tensor(21.4715, device='cuda:0')"
160,"tensor(2.0525, device='cuda:0')","tensor(21.4481, device='cuda:0')"
161,"tensor(1.8584, device='cuda:0')","tensor(12.1888, device='cuda:0')"
162,"tensor(2.5877, device='cuda:0')","tensor(32.0952, device='cuda:0')"
163,"tensor(3.9222, device='cuda:0')","tensor(37.8161, device='cuda:0')"
164,"tensor(3.0028, device='cuda:0')","tensor(29.4404, device='cuda:0')"
165,"tensor(3.1643, device='cuda:0')","tensor(27.8389, device='cuda:0')"
166,"tensor(3.1362, device='cuda:0')","tensor(26.8193, device='cuda:0')"
167,"tensor(1.9810, device='cuda:0')","tensor(21.3738, device='cuda:0')"
168,"tensor(1.5894, device='cuda:0')","tensor(20.7773, device='cuda:0')"
169,"tensor(1.9349, device='cuda:0')","tensor(18.0323, device='cuda:0')"
170,"tensor(1.3644, device='cuda:0')","tensor(16.7051, device='cuda:0')"
171,"tensor(2.5512, device='cuda:0')","tensor(7.5727, device='cuda:0')"
