pi,trace(a),trace(g)
"tensor(24935.1328, device='cuda:0')","tensor(2375337.7500, device='cuda:0')","tensor(0.0013, device='cuda:0')"
"tensor(5222.8809, device='cuda:0')","tensor(1113144.8750, device='cuda:0')","tensor(0.0135, device='cuda:0')"
"tensor(16028.1426, device='cuda:0')","tensor(983769.6875, device='cuda:0')","tensor(0.0013, device='cuda:0')"
"tensor(3044.0776, device='cuda:0')","tensor(368237.4375, device='cuda:0')","tensor(0.0132, device='cuda:0')"
"tensor(9911.6631, device='cuda:0')","tensor(554703.9375, device='cuda:0')","tensor(0.0019, device='cuda:0')"
"tensor(2150.4434, device='cuda:0')","tensor(173548.3438, device='cuda:0')","tensor(0.0124, device='cuda:0')"
"tensor(8922.1787, device='cuda:0')","tensor(432639.7500, device='cuda:0')","tensor(0.0018, device='cuda:0')"
"tensor(1523.0443, device='cuda:0')","tensor(82969.7500, device='cuda:0')","tensor(0.0119, device='cuda:0')"
"tensor(11365.9902, device='cuda:0')","tensor(217825.1250, device='cuda:0')","tensor(0.0006, device='cuda:0')"
"tensor(695.1569, device='cuda:0')","tensor(16732.9551, device='cuda:0')","tensor(0.0115, device='cuda:0')"
"tensor(10436.9395, device='cuda:0')","tensor(209983.8750, device='cuda:0')","tensor(0.0006, device='cuda:0')"
"tensor(642.2640, device='cuda:0')","tensor(13988.6924, device='cuda:0')","tensor(0.0112, device='cuda:0')"
"tensor(11444.5176, device='cuda:0')","tensor(204562.1406, device='cuda:0')","tensor(0.0005, device='cuda:0')"
"tensor(699.9320, device='cuda:0')","tensor(16376.3125, device='cuda:0')","tensor(0.0111, device='cuda:0')"
"tensor(11458.7285, device='cuda:0')","tensor(202684.7500, device='cuda:0')","tensor(0.0005, device='cuda:0')"
"tensor(501.9112, device='cuda:0')","tensor(8278.5869, device='cuda:0')","tensor(0.0109, device='cuda:0')"
"tensor(9375.6143, device='cuda:0')","tensor(195710.3125, device='cuda:0')","tensor(0.0037, device='cuda:0')"
"tensor(965.9294, device='cuda:0')","tensor(74789.9453, device='cuda:0')","tensor(0.0267, device='cuda:0')"
"tensor(11163.3086, device='cuda:0')","tensor(675660.0625, device='cuda:0')","tensor(0.0267, device='cuda:0')"
"tensor(12.8391, device='cuda:0')","tensor(900.7617, device='cuda:0')","tensor(4.9026, device='cuda:0')"
"tensor(35551.8047, device='cuda:0')","tensor(6011809., device='cuda:0')","tensor(0.0152, device='cuda:0')"
"tensor(40195.6953, device='cuda:0')","tensor(8330131., device='cuda:0')","tensor(0.0017, device='cuda:0')"
"tensor(8310.4385, device='cuda:0')","tensor(3037125.5000, device='cuda:0')","tensor(0.0146, device='cuda:0')"
"tensor(30045.7402, device='cuda:0')","tensor(3699805.5000, device='cuda:0')","tensor(0.0014, device='cuda:0')"
"tensor(4552.7012, device='cuda:0')","tensor(887916.8750, device='cuda:0')","tensor(0.0142, device='cuda:0')"
"tensor(24454.8281, device='cuda:0')","tensor(2402233., device='cuda:0')","tensor(0.0013, device='cuda:0')"
"tensor(5223.6606, device='cuda:0')","tensor(1132542.2500, device='cuda:0')","tensor(0.0138, device='cuda:0')"
"tensor(15728.9268, device='cuda:0')","tensor(991663.1250, device='cuda:0')","tensor(0.0013, device='cuda:0')"
"tensor(3053.6460, device='cuda:0')","tensor(375571.9375, device='cuda:0')","tensor(0.0134, device='cuda:0')"
"tensor(9514.6416, device='cuda:0')","tensor(553013.1875, device='cuda:0')","tensor(0.0020, device='cuda:0')"
"tensor(2118.7156, device='cuda:0')","tensor(169943.2500, device='cuda:0')","tensor(0.0126, device='cuda:0')"
"tensor(8974.8887, device='cuda:0')","tensor(432456.4688, device='cuda:0')","tensor(0.0018, device='cuda:0')"
"tensor(1503.5634, device='cuda:0')","tensor(81819.8438, device='cuda:0')","tensor(0.0120, device='cuda:0')"
"tensor(11419.4463, device='cuda:0')","tensor(218192.7812, device='cuda:0')","tensor(0.0006, device='cuda:0')"
"tensor(688.6266, device='cuda:0')","tensor(16578.7383, device='cuda:0')","tensor(0.0116, device='cuda:0')"
"tensor(10094.9541, device='cuda:0')","tensor(210439.7812, device='cuda:0')","tensor(0.0007, device='cuda:0')"
"tensor(645.9332, device='cuda:0')","tensor(14184.7930, device='cuda:0')","tensor(0.0113, device='cuda:0')"
"tensor(11321.2158, device='cuda:0')","tensor(204872.7812, device='cuda:0')","tensor(0.0005, device='cuda:0')"
"tensor(693.8304, device='cuda:0')","tensor(16067.9717, device='cuda:0')","tensor(0.0111, device='cuda:0')"
"tensor(11650.0977, device='cuda:0')","tensor(203063.9375, device='cuda:0')","tensor(0.0005, device='cuda:0')"
"tensor(504.7075, device='cuda:0')","tensor(8367.7598, device='cuda:0')","tensor(0.0109, device='cuda:0')"
"tensor(9237.1680, device='cuda:0')","tensor(196049.0625, device='cuda:0')","tensor(0.0038, device='cuda:0')"
"tensor(965.5139, device='cuda:0')","tensor(74752.5703, device='cuda:0')","tensor(0.0267, device='cuda:0')"
"tensor(11228.2725, device='cuda:0')","tensor(683793.5000, device='cuda:0')","tensor(0.0267, device='cuda:0')"
"tensor(12.7356, device='cuda:0')","tensor(886.3016, device='cuda:0')","tensor(4.9026, device='cuda:0')"
"tensor(35909.2344, device='cuda:0')","tensor(6028072.5000, device='cuda:0')","tensor(0.0150, device='cuda:0')"
"tensor(40543.9727, device='cuda:0')","tensor(8339150., device='cuda:0')","tensor(0.0017, device='cuda:0')"
"tensor(8424.6582, device='cuda:0')","tensor(3041074.2500, device='cuda:0')","tensor(0.0142, device='cuda:0')"
"tensor(29255.6719, device='cuda:0')","tensor(3699095.2500, device='cuda:0')","tensor(0.0014, device='cuda:0')"
"tensor(4611.3691, device='cuda:0')","tensor(886058.7500, device='cuda:0')","tensor(0.0138, device='cuda:0')"
"tensor(24779.0020, device='cuda:0')","tensor(2402533.2500, device='cuda:0')","tensor(0.0013, device='cuda:0')"
"tensor(5262.7598, device='cuda:0')","tensor(1128657.7500, device='cuda:0')","tensor(0.0135, device='cuda:0')"
"tensor(15437.2881, device='cuda:0')","tensor(993009.6250, device='cuda:0')","tensor(0.0014, device='cuda:0')"
"tensor(3083.0706, device='cuda:0')","tensor(377082.8750, device='cuda:0')","tensor(0.0132, device='cuda:0')"
"tensor(9891.6162, device='cuda:0')","tensor(552976.0625, device='cuda:0')","tensor(0.0019, device='cuda:0')"
"tensor(2123.2263, device='cuda:0')","tensor(169139.1875, device='cuda:0')","tensor(0.0124, device='cuda:0')"
"tensor(8604.5205, device='cuda:0')","tensor(430436.1250, device='cuda:0')","tensor(0.0019, device='cuda:0')"
"tensor(1502.0454, device='cuda:0')","tensor(81029.5781, device='cuda:0')","tensor(0.0119, device='cuda:0')"
"tensor(10832.2744, device='cuda:0')","tensor(215893.4219, device='cuda:0')","tensor(0.0006, device='cuda:0')"
"tensor(691.6442, device='cuda:0')","tensor(16619.0586, device='cuda:0')","tensor(0.0115, device='cuda:0')"
"tensor(9839.9297, device='cuda:0')","tensor(207930.6094, device='cuda:0')","tensor(0.0007, device='cuda:0')"
"tensor(643.1166, device='cuda:0')","tensor(14037.6289, device='cuda:0')","tensor(0.0113, device='cuda:0')"
"tensor(10930.2217, device='cuda:0')","tensor(202014.2969, device='cuda:0')","tensor(0.0006, device='cuda:0')"
"tensor(689.1245, device='cuda:0')","tensor(15954.1924, device='cuda:0')","tensor(0.0111, device='cuda:0')"
"tensor(10787.6494, device='cuda:0')","tensor(199412.3281, device='cuda:0')","tensor(0.0006, device='cuda:0')"
"tensor(498.6805, device='cuda:0')","tensor(8242.3730, device='cuda:0')","tensor(0.0110, device='cuda:0')"
"tensor(8545.5166, device='cuda:0')","tensor(192357.3125, device='cuda:0')","tensor(0.0044, device='cuda:0')"
"tensor(951.0156, device='cuda:0')","tensor(72598.5547, device='cuda:0')","tensor(0.0267, device='cuda:0')"
"tensor(11197.0342, device='cuda:0')","tensor(680688.8750, device='cuda:0')","tensor(0.0267, device='cuda:0')"
"tensor(13.2956, device='cuda:0')","tensor(965.9528, device='cuda:0')","tensor(4.9026, device='cuda:0')"
"tensor(33292.0430, device='cuda:0')","tensor(6108868.5000, device='cuda:0')","tensor(0.0176, device='cuda:0')"
"tensor(37019.5273, device='cuda:0')","tensor(8397995., device='cuda:0')","tensor(0.0020, device='cuda:0')"
"tensor(7820.6860, device='cuda:0')","tensor(3072111., device='cuda:0')","tensor(0.0167, device='cuda:0')"
"tensor(28064.9980, device='cuda:0')","tensor(3729610., device='cuda:0')","tensor(0.0016, device='cuda:0')"
"tensor(4270.0249, device='cuda:0')","tensor(892597.6875, device='cuda:0')","tensor(0.0162, device='cuda:0')"
"tensor(22194.1152, device='cuda:0')","tensor(2424765., device='cuda:0')","tensor(0.0016, device='cuda:0')"
