pi,trace(a),trace(g)
"tensor(10477.5566, device='cuda:0')","tensor(615489.5000, device='cuda:0')","tensor(0.0019, device='cuda:0')"
"tensor(1177.1156, device='cuda:0')","tensor(71355.6641, device='cuda:0')","tensor(0.0171, device='cuda:0')"
"tensor(9599.9443, device='cuda:0')","tensor(606209.1250, device='cuda:0')","tensor(0.0022, device='cuda:0')"
"tensor(770.0021, device='cuda:0')","tensor(30133.0664, device='cuda:0')","tensor(0.0169, device='cuda:0')"
"tensor(11375.2646, device='cuda:0')","tensor(579879.7500, device='cuda:0')","tensor(0.0074, device='cuda:0')"
"tensor(1634.7314, device='cuda:0')","tensor(236140.4062, device='cuda:0')","tensor(0.0294, device='cuda:0')"
"tensor(18695.9023, device='cuda:0')","tensor(2089105.3750, device='cuda:0')","tensor(0.0294, device='cuda:0')"
"tensor(34.3355, device='cuda:0')","tensor(6442.0898, device='cuda:0')","tensor(4.9026, device='cuda:0')"
"tensor(45888.0781, device='cuda:0')","tensor(15413030., device='cuda:0')","tensor(0.0234, device='cuda:0')"
"tensor(52810.8750, device='cuda:0')","tensor(21780250., device='cuda:0')","tensor(0.0026, device='cuda:0')"
"tensor(10852.4141, device='cuda:0')","tensor(8154354., device='cuda:0')","tensor(0.0230, device='cuda:0')"
"tensor(34650.2891, device='cuda:0')","tensor(9516615., device='cuda:0')","tensor(0.0026, device='cuda:0')"
"tensor(6061.1880, device='cuda:0')","tensor(2482428.7500, device='cuda:0')","tensor(0.0224, device='cuda:0')"
"tensor(28956.8926, device='cuda:0')","tensor(6201779., device='cuda:0')","tensor(0.0025, device='cuda:0')"
"tensor(6561.2661, device='cuda:0')","tensor(2841382., device='cuda:0')","tensor(0.0219, device='cuda:0')"
"tensor(16501.4766, device='cuda:0')","tensor(2499636., device='cuda:0')","tensor(0.0030, device='cuda:0')"
"tensor(3853.5806, device='cuda:0')","tensor(948613.1250, device='cuda:0')","tensor(0.0212, device='cuda:0')"
"tensor(13030.4727, device='cuda:0')","tensor(1507982.7500, device='cuda:0')","tensor(0.0029, device='cuda:0')"
"tensor(2792.3379, device='cuda:0')","tensor(466533.3750, device='cuda:0')","tensor(0.0198, device='cuda:0')"
"tensor(10425.1875, device='cuda:0')","tensor(1133838.5000, device='cuda:0')","tensor(0.0035, device='cuda:0')"
"tensor(1950.4619, device='cuda:0')","tensor(220113.9688, device='cuda:0')","tensor(0.0192, device='cuda:0')"
"tensor(10507.4248, device='cuda:0')","tensor(571037.3750, device='cuda:0')","tensor(0.0017, device='cuda:0')"
"tensor(893.2407, device='cuda:0')","tensor(43914.7070, device='cuda:0')","tensor(0.0183, device='cuda:0')"
"tensor(9836.8789, device='cuda:0')","tensor(551812.3125, device='cuda:0')","tensor(0.0019, device='cuda:0')"
"tensor(988.3778, device='cuda:0')","tensor(51523.4844, device='cuda:0')","tensor(0.0175, device='cuda:0')"
"tensor(9885.1367, device='cuda:0')","tensor(539979.1250, device='cuda:0')","tensor(0.0018, device='cuda:0')"
"tensor(1131.3860, device='cuda:0')","tensor(65468.9531, device='cuda:0')","tensor(0.0170, device='cuda:0')"
"tensor(9335.5869, device='cuda:0')","tensor(530273.8750, device='cuda:0')","tensor(0.0020, device='cuda:0')"
"tensor(727.7205, device='cuda:0')","tensor(26838.0430, device='cuda:0')","tensor(0.0168, device='cuda:0')"
"tensor(10602.5303, device='cuda:0')","tensor(508483.1562, device='cuda:0')","tensor(0.0075, device='cuda:0')"
"tensor(1521.5337, device='cuda:0')","tensor(204616.5312, device='cuda:0')","tensor(0.0294, device='cuda:0')"
"tensor(17236.7617, device='cuda:0')","tensor(1776147.2500, device='cuda:0')","tensor(0.0294, device='cuda:0')"
"tensor(31.5569, device='cuda:0')","tensor(5441.6309, device='cuda:0')","tensor(4.9026, device='cuda:0')"
"tensor(49819.4414, device='cuda:0')","tensor(16830032., device='cuda:0')","tensor(0.0217, device='cuda:0')"
"tensor(57045.1484, device='cuda:0')","tensor(24012000., device='cuda:0')","tensor(0.0024, device='cuda:0')"
"tensor(11821.1025, device='cuda:0')","tensor(8967793., device='cuda:0')","tensor(0.0213, device='cuda:0')"
"tensor(37946.5391, device='cuda:0')","tensor(10462497., device='cuda:0')","tensor(0.0024, device='cuda:0')"
"tensor(6596.0908, device='cuda:0')","tensor(2742039.2500, device='cuda:0')","tensor(0.0209, device='cuda:0')"
"tensor(31500.2598, device='cuda:0')","tensor(6811893., device='cuda:0')","tensor(0.0023, device='cuda:0')"
"tensor(7148.3013, device='cuda:0')","tensor(3147719., device='cuda:0')","tensor(0.0204, device='cuda:0')"
"tensor(18127.8691, device='cuda:0')","tensor(2720464.5000, device='cuda:0')","tensor(0.0027, device='cuda:0')"
"tensor(4158.4946, device='cuda:0')","tensor(1030695.0625, device='cuda:0')","tensor(0.0198, device='cuda:0')"
"tensor(14618.5527, device='cuda:0')","tensor(1643123., device='cuda:0')","tensor(0.0025, device='cuda:0')"
"tensor(3019.7961, device='cuda:0')","tensor(511927.3750, device='cuda:0')","tensor(0.0186, device='cuda:0')"
"tensor(11321.9893, device='cuda:0')","tensor(1238253.7500, device='cuda:0')","tensor(0.0032, device='cuda:0')"
"tensor(2096.3875, device='cuda:0')","tensor(239065.7344, device='cuda:0')","tensor(0.0180, device='cuda:0')"
"tensor(11592.0439, device='cuda:0')","tensor(627148.5625, device='cuda:0')","tensor(0.0015, device='cuda:0')"
"tensor(945.2217, device='cuda:0')","tensor(46791.8594, device='cuda:0')","tensor(0.0174, device='cuda:0')"
"tensor(10881.0596, device='cuda:0')","tensor(607571.3750, device='cuda:0')","tensor(0.0017, device='cuda:0')"
"tensor(1061.2834, device='cuda:0')","tensor(57066.6328, device='cuda:0')","tensor(0.0168, device='cuda:0')"
"tensor(10870.2393, device='cuda:0')","tensor(597711.1250, device='cuda:0')","tensor(0.0017, device='cuda:0')"
"tensor(1210.8452, device='cuda:0')","tensor(72645.5391, device='cuda:0')","tensor(0.0164, device='cuda:0')"
"tensor(9881.9805, device='cuda:0')","tensor(588367.1875, device='cuda:0')","tensor(0.0020, device='cuda:0')"
"tensor(778.5978, device='cuda:0')","tensor(29824.4238, device='cuda:0')","tensor(0.0163, device='cuda:0')"
"tensor(11422.3057, device='cuda:0')","tensor(562823.1875, device='cuda:0')","tensor(0.0072, device='cuda:0')"
"tensor(1601.5653, device='cuda:0')","tensor(226708.7188, device='cuda:0')","tensor(0.0294, device='cuda:0')"
"tensor(18123.1055, device='cuda:0')","tensor(1963514.5000, device='cuda:0')","tensor(0.0294, device='cuda:0')"
"tensor(33.2249, device='cuda:0')","tensor(6032.0684, device='cuda:0')","tensor(4.9026, device='cuda:0')"
"tensor(54037.2227, device='cuda:0')","tensor(20219242., device='cuda:0')","tensor(0.0222, device='cuda:0')"
"tensor(61967.1367, device='cuda:0')","tensor(28884358., device='cuda:0')","tensor(0.0025, device='cuda:0')"
"tensor(12848.3926, device='cuda:0')","tensor(10809690., device='cuda:0')","tensor(0.0217, device='cuda:0')"
"tensor(41353.7539, device='cuda:0')","tensor(12505076., device='cuda:0')","tensor(0.0024, device='cuda:0')"
"tensor(7151.3516, device='cuda:0')","tensor(3283043., device='cuda:0')","tensor(0.0213, device='cuda:0')"
"tensor(33851.3945, device='cuda:0')","tensor(8097852., device='cuda:0')","tensor(0.0023, device='cuda:0')"
"tensor(7756.9932, device='cuda:0')","tensor(3766691.7500, device='cuda:0')","tensor(0.0208, device='cuda:0')"
"tensor(19519.3887, device='cuda:0')","tensor(3196027., device='cuda:0')","tensor(0.0028, device='cuda:0')"
"tensor(4462.8052, device='cuda:0')","tensor(1206057.8750, device='cuda:0')","tensor(0.0201, device='cuda:0')"
"tensor(15279.8428, device='cuda:0')","tensor(1893472.1250, device='cuda:0')","tensor(0.0027, device='cuda:0')"
"tensor(3211.3628, device='cuda:0')","tensor(585839.3125, device='cuda:0')","tensor(0.0188, device='cuda:0')"
"tensor(12196.0449, device='cuda:0')","tensor(1417923.2500, device='cuda:0')","tensor(0.0032, device='cuda:0')"
"tensor(2232.9729, device='cuda:0')","tensor(276076.7812, device='cuda:0')","tensor(0.0184, device='cuda:0')"
"tensor(12074.4170, device='cuda:0')","tensor(715127.1875, device='cuda:0')","tensor(0.0016, device='cuda:0')"
"tensor(1007.2849, device='cuda:0')","tensor(53834.4375, device='cuda:0')","tensor(0.0176, device='cuda:0')"
"tensor(11330.0801, device='cuda:0')","tensor(691577.5000, device='cuda:0')","tensor(0.0018, device='cuda:0')"
"tensor(1133.5967, device='cuda:0')","tensor(65822.1250, device='cuda:0')","tensor(0.0170, device='cuda:0')"
"tensor(11338.8486, device='cuda:0')","tensor(676411.5625, device='cuda:0')","tensor(0.0017, device='cuda:0')"
"tensor(1298.8899, device='cuda:0')","tensor(83852.3828, device='cuda:0')","tensor(0.0165, device='cuda:0')"
"tensor(10522.3369, device='cuda:0')","tensor(662682.4375, device='cuda:0')","tensor(0.0020, device='cuda:0')"
"tensor(834.9470, device='cuda:0')","tensor(34512.9492, device='cuda:0')","tensor(0.0164, device='cuda:0')"
"tensor(11813.0547, device='cuda:0')","tensor(632911., device='cuda:0')","tensor(0.0075, device='cuda:0')"
"tensor(1691.5048, device='cuda:0')","tensor(252950.0625, device='cuda:0')","tensor(0.0294, device='cuda:0')"
"tensor(19588.7793, device='cuda:0')","tensor(2294526.5000, device='cuda:0')","tensor(0.0294, device='cuda:0')"
"tensor(35.0488, device='cuda:0')","tensor(6712.5259, device='cuda:0')","tensor(4.9026, device='cuda:0')"
"tensor(46472.4727, device='cuda:0')","tensor(17293404., device='cuda:0')","tensor(0.0256, device='cuda:0')"
"tensor(52797.1250, device='cuda:0')","tensor(24126952., device='cuda:0')","tensor(0.0029, device='cuda:0')"
"tensor(10879.4570, device='cuda:0')","tensor(8940454., device='cuda:0')","tensor(0.0250, device='cuda:0')"
"tensor(34813.7148, device='cuda:0')","tensor(10644544., device='cuda:0')","tensor(0.0029, device='cuda:0')"
"tensor(6029.0332, device='cuda:0')","tensor(2685524.5000, device='cuda:0')","tensor(0.0245, device='cuda:0')"
"tensor(29019.9121, device='cuda:0')","tensor(6905385.5000, device='cuda:0')","tensor(0.0027, device='cuda:0')"
"tensor(6707.5103, device='cuda:0')","tensor(3238507.5000, device='cuda:0')","tensor(0.0239, device='cuda:0')"
"tensor(16298.9766, device='cuda:0')","tensor(2717143.5000, device='cuda:0')","tensor(0.0034, device='cuda:0')"
"tensor(3896.0713, device='cuda:0')","tensor(1054779.8750, device='cuda:0')","tensor(0.0230, device='cuda:0')"
"tensor(12075.9902, device='cuda:0')","tensor(1550603.7500, device='cuda:0')","tensor(0.0035, device='cuda:0')"
"tensor(2727.5947, device='cuda:0')","tensor(480805.8750, device='cuda:0')","tensor(0.0214, device='cuda:0')"
"tensor(9981.5039, device='cuda:0')","tensor(1197234.5000, device='cuda:0')","tensor(0.0040, device='cuda:0')"
"tensor(1966.1077, device='cuda:0')","tensor(238178.1562, device='cuda:0')","tensor(0.0204, device='cuda:0')"
"tensor(10224.3027, device='cuda:0')","tensor(601435.7500, device='cuda:0')","tensor(0.0019, device='cuda:0')"
"tensor(890.4715, device='cuda:0')","tensor(46094.8008, device='cuda:0')","tensor(0.0193, device='cuda:0')"
"tensor(9753.5156, device='cuda:0')","tensor(581363.5625, device='cuda:0')","tensor(0.0020, device='cuda:0')"
"tensor(948.0377, device='cuda:0')","tensor(50328.3164, device='cuda:0')","tensor(0.0186, device='cuda:0')"
"tensor(9718.3730, device='cuda:0')","tensor(568059.7500, device='cuda:0')","tensor(0.0020, device='cuda:0')"
"tensor(1069.4026, device='cuda:0')","tensor(61937.9922, device='cuda:0')","tensor(0.0180, device='cuda:0')"
"tensor(8980.1924, device='cuda:0')","tensor(562726.1250, device='cuda:0')","tensor(0.0023, device='cuda:0')"
"tensor(715.9064, device='cuda:0')","tensor(27422.6758, device='cuda:0')","tensor(0.0177, device='cuda:0')"
"tensor(10656.6494, device='cuda:0')","tensor(538842.8750, device='cuda:0')","tensor(0.0079, device='cuda:0')"
"tensor(1592.3805, device='cuda:0')","tensor(224229.7500, device='cuda:0')","tensor(0.0294, device='cuda:0')"
"tensor(17790.3848, device='cuda:0')","tensor(1893041.5000, device='cuda:0')","tensor(0.0294, device='cuda:0')"
"tensor(34.8242, device='cuda:0')","tensor(6626.7603, device='cuda:0')","tensor(4.9026, device='cuda:0')"
"tensor(45987.2852, device='cuda:0')","tensor(15430577., device='cuda:0')","tensor(0.0233, device='cuda:0')"
"tensor(52109.1523, device='cuda:0')","tensor(21767184., device='cuda:0')","tensor(0.0027, device='cuda:0')"
"tensor(10855.0820, device='cuda:0')","tensor(8111152., device='cuda:0')","tensor(0.0228, device='cuda:0')"
"tensor(34463.7109, device='cuda:0')","tensor(9592200., device='cuda:0')","tensor(0.0027, device='cuda:0')"
"tensor(6038.4712, device='cuda:0')","tensor(2457464.2500, device='cuda:0')","tensor(0.0223, device='cuda:0')"
"tensor(29369.9180, device='cuda:0')","tensor(6259322., device='cuda:0')","tensor(0.0024, device='cuda:0')"
"tensor(6640.6294, device='cuda:0')","tensor(2905101.5000, device='cuda:0')","tensor(0.0218, device='cuda:0')"
"tensor(16497.8438, device='cuda:0')","tensor(2537648.5000, device='cuda:0')","tensor(0.0031, device='cuda:0')"
"tensor(3930.3271, device='cuda:0')","tensor(984885.6250, device='cuda:0')","tensor(0.0211, device='cuda:0')"
"tensor(12710.5850, device='cuda:0')","tensor(1490717.2500, device='cuda:0')","tensor(0.0031, device='cuda:0')"
"tensor(2789.6318, device='cuda:0')","tensor(465292.3125, device='cuda:0')","tensor(0.0198, device='cuda:0')"
"tensor(10435.4854, device='cuda:0')","tensor(1141980.7500, device='cuda:0')","tensor(0.0035, device='cuda:0')"
"tensor(1971.1665, device='cuda:0')","tensor(223621.0156, device='cuda:0')","tensor(0.0191, device='cuda:0')"
"tensor(10635.6807, device='cuda:0')","tensor(575475.5625, device='cuda:0')","tensor(0.0017, device='cuda:0')"
"tensor(901.9103, device='cuda:0')","tensor(44661.3047, device='cuda:0')","tensor(0.0182, device='cuda:0')"
"tensor(10068.2373, device='cuda:0')","tensor(558541., device='cuda:0')","tensor(0.0018, device='cuda:0')"
"tensor(993.3746, device='cuda:0')","tensor(52299.7266, device='cuda:0')","tensor(0.0176, device='cuda:0')"
"tensor(10067.5498, device='cuda:0')","tensor(545909., device='cuda:0')","tensor(0.0018, device='cuda:0')"
"tensor(1095.2629, device='cuda:0')","tensor(61791.5820, device='cuda:0')","tensor(0.0171, device='cuda:0')"
"tensor(9174.7646, device='cuda:0')","tensor(537946.1250, device='cuda:0')","tensor(0.0021, device='cuda:0')"
"tensor(734.2366, device='cuda:0')","tensor(27494.8516, device='cuda:0')","tensor(0.0169, device='cuda:0')"
"tensor(10688.0547, device='cuda:0')","tensor(514398.1250, device='cuda:0')","tensor(0.0075, device='cuda:0')"
"tensor(1553.6993, device='cuda:0')","tensor(213481.2500, device='cuda:0')","tensor(0.0294, device='cuda:0')"
"tensor(17225.7695, device='cuda:0')","tensor(1774896.2500, device='cuda:0')","tensor(0.0294, device='cuda:0')"
"tensor(32.1558, device='cuda:0')","tensor(5650.1113, device='cuda:0')","tensor(4.9026, device='cuda:0')"
"tensor(47636.0156, device='cuda:0')","tensor(15846188., device='cuda:0')","tensor(0.0223, device='cuda:0')"
"tensor(54734.5977, device='cuda:0')","tensor(22465820., device='cuda:0')","tensor(0.0025, device='cuda:0')"
"tensor(11250.1602, device='cuda:0')","tensor(8370726., device='cuda:0')","tensor(0.0219, device='cuda:0')"
"tensor(35838.9375, device='cuda:0')","tensor(9814050., device='cuda:0')","tensor(0.0025, device='cuda:0')"
"tensor(6257.4775, device='cuda:0')","tensor(2544143.5000, device='cuda:0')","tensor(0.0215, device='cuda:0')"
"tensor(29497.9746, device='cuda:0')","tensor(6374186.5000, device='cuda:0')","tensor(0.0024, device='cuda:0')"
"tensor(6843.0127, device='cuda:0')","tensor(2967908., device='cuda:0')","tensor(0.0210, device='cuda:0')"
"tensor(17292.9863, device='cuda:0')","tensor(2520612., device='cuda:0')","tensor(0.0028, device='cuda:0')"
"tensor(3961.0613, device='cuda:0')","tensor(960231.3750, device='cuda:0')","tensor(0.0203, device='cuda:0')"
"tensor(13366.8955, device='cuda:0')","tensor(1496976.7500, device='cuda:0')","tensor(0.0028, device='cuda:0')"
"tensor(2838.6616, device='cuda:0')","tensor(462278.7812, device='cuda:0')","tensor(0.0190, device='cuda:0')"
"tensor(10453.1904, device='cuda:0')","tensor(1133606.7500, device='cuda:0')","tensor(0.0034, device='cuda:0')"
"tensor(1984.9292, device='cuda:0')","tensor(219562.5156, device='cuda:0')","tensor(0.0185, device='cuda:0')"
"tensor(10806.9424, device='cuda:0')","tensor(573254.4375, device='cuda:0')","tensor(0.0016, device='cuda:0')"
"tensor(892.2577, device='cuda:0')","tensor(42704.7578, device='cuda:0')","tensor(0.0178, device='cuda:0')"
"tensor(9843.0117, device='cuda:0')","tensor(554292.2500, device='cuda:0')","tensor(0.0019, device='cuda:0')"
"tensor(978.3865, device='cuda:0')","tensor(49612.3984, device='cuda:0')","tensor(0.0172, device='cuda:0')"
"tensor(10068.7676, device='cuda:0')","tensor(545330.1250, device='cuda:0')","tensor(0.0018, device='cuda:0')"
"tensor(1125.9425, device='cuda:0')","tensor(64136.6250, device='cuda:0')","tensor(0.0168, device='cuda:0')"
"tensor(9496.5400, device='cuda:0')","tensor(538118.6250, device='cuda:0')","tensor(0.0020, device='cuda:0')"
"tensor(721.1003, device='cuda:0')","tensor(26198.8379, device='cuda:0')","tensor(0.0167, device='cuda:0')"
"tensor(10582.1348, device='cuda:0')","tensor(515679.4688, device='cuda:0')","tensor(0.0076, device='cuda:0')"
"tensor(1533.8939, device='cuda:0')","tensor(208160., device='cuda:0')","tensor(0.0295, device='cuda:0')"
"tensor(17378.2910, device='cuda:0')","tensor(1807218.7500, device='cuda:0')","tensor(0.0295, device='cuda:0')"
"tensor(31.7061, device='cuda:0')","tensor(5493.2002, device='cuda:0')","tensor(4.9026, device='cuda:0')"
"tensor(46769.4297, device='cuda:0')","tensor(15791287., device='cuda:0')","tensor(0.0231, device='cuda:0')"
"tensor(52951.1719, device='cuda:0')","tensor(22406810., device='cuda:0')","tensor(0.0027, device='cuda:0')"
"tensor(11085.7822, device='cuda:0')","tensor(8357368., device='cuda:0')","tensor(0.0226, device='cuda:0')"
"tensor(35777.7930, device='cuda:0')","tensor(9787662., device='cuda:0')","tensor(0.0025, device='cuda:0')"
"tensor(6161.0088, device='cuda:0')","tensor(2528267., device='cuda:0')","tensor(0.0221, device='cuda:0')"
"tensor(29363.3809, device='cuda:0')","tensor(6333720., device='cuda:0')","tensor(0.0024, device='cuda:0')"
"tensor(6746.0537, device='cuda:0')","tensor(2951006., device='cuda:0')","tensor(0.0215, device='cuda:0')"
"tensor(16524.9707, device='cuda:0')","tensor(2529898., device='cuda:0')","tensor(0.0031, device='cuda:0')"
"tensor(3944.1106, device='cuda:0')","tensor(973972.8750, device='cuda:0')","tensor(0.0208, device='cuda:0')"
"tensor(12979.7363, device='cuda:0')","tensor(1486478.7500, device='cuda:0')","tensor(0.0029, device='cuda:0')"
"tensor(2778.4968, device='cuda:0')","tensor(455205.0625, device='cuda:0')","tensor(0.0196, device='cuda:0')"
"tensor(10343.2539, device='cuda:0')","tensor(1137085.2500, device='cuda:0')","tensor(0.0035, device='cuda:0')"
"tensor(1970.4441, device='cuda:0')","tensor(220704.2031, device='cuda:0')","tensor(0.0188, device='cuda:0')"
"tensor(10798.6387, device='cuda:0')","tensor(574305.3750, device='cuda:0')","tensor(0.0016, device='cuda:0')"
"tensor(900.1357, device='cuda:0')","tensor(44015.6445, device='cuda:0')","tensor(0.0180, device='cuda:0')"
"tensor(10116.3281, device='cuda:0')","tensor(556918.8125, device='cuda:0')","tensor(0.0018, device='cuda:0')"
"tensor(993.3251, device='cuda:0')","tensor(51592.2500, device='cuda:0')","tensor(0.0173, device='cuda:0')"
"tensor(10068.2793, device='cuda:0')","tensor(542917.2500, device='cuda:0')","tensor(0.0018, device='cuda:0')"
"tensor(1102.4471, device='cuda:0')","tensor(61804.7344, device='cuda:0')","tensor(0.0169, device='cuda:0')"
"tensor(9306.2471, device='cuda:0')","tensor(532593.1250, device='cuda:0')","tensor(0.0020, device='cuda:0')"
"tensor(743.9597, device='cuda:0')","tensor(27894.4004, device='cuda:0')","tensor(0.0167, device='cuda:0')"
"tensor(10611.9785, device='cuda:0')","tensor(508808.0625, device='cuda:0')","tensor(0.0075, device='cuda:0')"
"tensor(1530.3545, device='cuda:0')","tensor(207292.8125, device='cuda:0')","tensor(0.0295, device='cuda:0')"
"tensor(17341.3203, device='cuda:0')","tensor(1800339.6250, device='cuda:0')","tensor(0.0295, device='cuda:0')"
"tensor(31.4236, device='cuda:0')","tensor(5395.7539, device='cuda:0')","tensor(4.9026, device='cuda:0')"
"tensor(49415.0742, device='cuda:0')","tensor(17553040., device='cuda:0')","tensor(0.0230, device='cuda:0')"
"tensor(56064.6992, device='cuda:0')","tensor(24713214., device='cuda:0')","tensor(0.0026, device='cuda:0')"
"tensor(11638.4180, device='cuda:0')","tensor(9198392., device='cuda:0')","tensor(0.0225, device='cuda:0')"
"tensor(37330.1680, device='cuda:0')","tensor(10853371., device='cuda:0')","tensor(0.0026, device='cuda:0')"
"tensor(6453.8467, device='cuda:0')","tensor(2773689.7500, device='cuda:0')","tensor(0.0221, device='cuda:0')"
"tensor(30711.5977, device='cuda:0')","tensor(7050289., device='cuda:0')","tensor(0.0025, device='cuda:0')"
"tensor(7115.6128, device='cuda:0')","tensor(3286673.5000, device='cuda:0')","tensor(0.0215, device='cuda:0')"
"tensor(17572.7480, device='cuda:0')","tensor(2807628., device='cuda:0')","tensor(0.0030, device='cuda:0')"
"tensor(4148.4414, device='cuda:0')","tensor(1080599.8750, device='cuda:0')","tensor(0.0208, device='cuda:0')"
"tensor(13322.6250, device='cuda:0')","tensor(1649279., device='cuda:0')","tensor(0.0031, device='cuda:0')"
"tensor(2956.1528, device='cuda:0')","tensor(514844.1875, device='cuda:0')","tensor(0.0195, device='cuda:0')"
"tensor(10919.1719, device='cuda:0')","tensor(1266721.6250, device='cuda:0')","tensor(0.0035, device='cuda:0')"
"tensor(2104.7153, device='cuda:0')","tensor(252590.8438, device='cuda:0')","tensor(0.0189, device='cuda:0')"
"tensor(10955.2080, device='cuda:0')","tensor(640075.6250, device='cuda:0')","tensor(0.0018, device='cuda:0')"
"tensor(949.9150, device='cuda:0')","tensor(49182.7500, device='cuda:0')","tensor(0.0181, device='cuda:0')"
"tensor(10341.8408, device='cuda:0')","tensor(619791.7500, device='cuda:0')","tensor(0.0019, device='cuda:0')"
"tensor(1040.7439, device='cuda:0')","tensor(57038.0859, device='cuda:0')","tensor(0.0175, device='cuda:0')"
"tensor(10711.3457, device='cuda:0')","tensor(607144.8750, device='cuda:0')","tensor(0.0018, device='cuda:0')"
"tensor(1155.4019, device='cuda:0')","tensor(68697.6250, device='cuda:0')","tensor(0.0171, device='cuda:0')"
"tensor(9795.3672, device='cuda:0')","tensor(599057., device='cuda:0')","tensor(0.0021, device='cuda:0')"
"tensor(773.2564, device='cuda:0')","tensor(30513.8594, device='cuda:0')","tensor(0.0169, device='cuda:0')"
"tensor(11215.9424, device='cuda:0')","tensor(572897.3125, device='cuda:0')","tensor(0.0076, device='cuda:0')"
"tensor(1636.8785, device='cuda:0')","tensor(237252., device='cuda:0')","tensor(0.0295, device='cuda:0')"
"tensor(18213.5234, device='cuda:0')","tensor(1986803.7500, device='cuda:0')","tensor(0.0295, device='cuda:0')"
"tensor(32.6544, device='cuda:0')","tensor(5826.7041, device='cuda:0')","tensor(4.9026, device='cuda:0')"
"tensor(45895.8438, device='cuda:0')","tensor(15525711., device='cuda:0')","tensor(0.0236, device='cuda:0')"
"tensor(52569.2188, device='cuda:0')","tensor(22211236., device='cuda:0')","tensor(0.0027, device='cuda:0')"
"tensor(10936.2754, device='cuda:0')","tensor(8318040., device='cuda:0')","tensor(0.0231, device='cuda:0')"
"tensor(34549.9727, device='cuda:0')","tensor(9643351., device='cuda:0')","tensor(0.0027, device='cuda:0')"
"tensor(6103.5981, device='cuda:0')","tensor(2535763.2500, device='cuda:0')","tensor(0.0226, device='cuda:0')"
"tensor(28890.3945, device='cuda:0')","tensor(6255052., device='cuda:0')","tensor(0.0025, device='cuda:0')"
"tensor(6595.6426, device='cuda:0')","tensor(2893957.5000, device='cuda:0')","tensor(0.0221, device='cuda:0')"
"tensor(16367.3926, device='cuda:0')","tensor(2493435.5000, device='cuda:0')","tensor(0.0031, device='cuda:0')"
"tensor(3855.5667, device='cuda:0')","tensor(954223., device='cuda:0')","tensor(0.0213, device='cuda:0')"
"tensor(12763.6592, device='cuda:0')","tensor(1488919.2500, device='cuda:0')","tensor(0.0030, device='cuda:0')"
"tensor(2755.9597, device='cuda:0')","tensor(456006.0938, device='cuda:0')","tensor(0.0199, device='cuda:0')"
"tensor(10171.5078, device='cuda:0')","tensor(1126563.2500, device='cuda:0')","tensor(0.0036, device='cuda:0')"
"tensor(1923.8561, device='cuda:0')","tensor(214178.4375, device='cuda:0')","tensor(0.0192, device='cuda:0')"
"tensor(10390.8760, device='cuda:0')","tensor(570589.1250, device='cuda:0')","tensor(0.0018, device='cuda:0')"
"tensor(880.2549, device='cuda:0')","tensor(42571.6953, device='cuda:0')","tensor(0.0182, device='cuda:0')"
"tensor(9895.0957, device='cuda:0')","tensor(553457.9375, device='cuda:0')","tensor(0.0019, device='cuda:0')"
"tensor(996.2239, device='cuda:0')","tensor(52767.1602, device='cuda:0')","tensor(0.0176, device='cuda:0')"
"tensor(9869.3135, device='cuda:0')","tensor(540961.1875, device='cuda:0')","tensor(0.0018, device='cuda:0')"
"tensor(1119.1770, device='cuda:0')","tensor(64750.7422, device='cuda:0')","tensor(0.0171, device='cuda:0')"
"tensor(9171.8438, device='cuda:0')","tensor(530652.5000, device='cuda:0')","tensor(0.0021, device='cuda:0')"
"tensor(732.8756, device='cuda:0')","tensor(27507.8027, device='cuda:0')","tensor(0.0170, device='cuda:0')"
"tensor(10723.6729, device='cuda:0')","tensor(506692.1875, device='cuda:0')","tensor(0.0073, device='cuda:0')"
"tensor(1513.3445, device='cuda:0')","tensor(202814.7500, device='cuda:0')","tensor(0.0295, device='cuda:0')"
"tensor(17343.4531, device='cuda:0')","tensor(1801710.7500, device='cuda:0')","tensor(0.0295, device='cuda:0')"
"tensor(29.0892, device='cuda:0')","tensor(4623.8467, device='cuda:0')","tensor(4.9026, device='cuda:0')"
"tensor(53171.8633, device='cuda:0')","tensor(19298330., device='cuda:0')","tensor(0.0218, device='cuda:0')"
"tensor(61235.7344, device='cuda:0')","tensor(27778660., device='cuda:0')","tensor(0.0025, device='cuda:0')"
"tensor(12692.6201, device='cuda:0')","tensor(10427469., device='cuda:0')","tensor(0.0215, device='cuda:0')"
"tensor(40372.6211, device='cuda:0')","tensor(12006473., device='cuda:0')","tensor(0.0024, device='cuda:0')"
"tensor(7054.4722, device='cuda:0')","tensor(3161917., device='cuda:0')","tensor(0.0211, device='cuda:0')"
"tensor(33032.6094, device='cuda:0')","tensor(7751490., device='cuda:0')","tensor(0.0024, device='cuda:0')"
"tensor(7628.7285, device='cuda:0')","tensor(3609472.2500, device='cuda:0')","tensor(0.0206, device='cuda:0')"
"tensor(19312.9746, device='cuda:0')","tensor(3090111., device='cuda:0')","tensor(0.0027, device='cuda:0')"
"tensor(4441.7085, device='cuda:0')","tensor(1186772., device='cuda:0')","tensor(0.0199, device='cuda:0')"
"tensor(14838.1221, device='cuda:0')","tensor(1823639.2500, device='cuda:0')","tensor(0.0027, device='cuda:0')"
