iteration,original_grad_norm,regularized_grad_norm
80,"tensor(3.7298, device='cuda:0')","tensor(18.6157, device='cuda:0')"
81,"tensor(3.4269, device='cuda:0')","tensor(10.8860, device='cuda:0')"
82,"tensor(1.9016, device='cuda:0')","tensor(14.3977, device='cuda:0')"
83,"tensor(2.5738, device='cuda:0')","tensor(15.0143, device='cuda:0')"
84,"tensor(2.6481, device='cuda:0')","tensor(17.6075, device='cuda:0')"
85,"tensor(3.4413, device='cuda:0')","tensor(19.2009, device='cuda:0')"
86,"tensor(3.6103, device='cuda:0')","tensor(25.7871, device='cuda:0')"
87,"tensor(3.7979, device='cuda:0')","tensor(29.5383, device='cuda:0')"
88,"tensor(4.1721, device='cuda:0')","tensor(32.2025, device='cuda:0')"
89,"tensor(4.8633, device='cuda:0')","tensor(40.1276, device='cuda:0')"
90,"tensor(5.4371, device='cuda:0')","tensor(53.7340, device='cuda:0')"
91,"tensor(5.8688, device='cuda:0')","tensor(16.3250, device='cuda:0')"
92,"tensor(6.2280, device='cuda:0')","tensor(19.2688, device='cuda:0')"
93,"tensor(6.8785, device='cuda:0')","tensor(21.9465, device='cuda:0')"
94,"tensor(9.1459, device='cuda:0')","tensor(39.1166, device='cuda:0')"
95,"tensor(8.2559, device='cuda:0')","tensor(29.3892, device='cuda:0')"
96,"tensor(7.9083, device='cuda:0')","tensor(27.6332, device='cuda:0')"
97,"tensor(7.6427, device='cuda:0')","tensor(27.9702, device='cuda:0')"
98,"tensor(6.9402, device='cuda:0')","tensor(35.6071, device='cuda:0')"
99,"tensor(6.3653, device='cuda:0')","tensor(32.5191, device='cuda:0')"
100,"tensor(6.5789, device='cuda:0')","tensor(32.2087, device='cuda:0')"
101,"tensor(6.2607, device='cuda:0')","tensor(12.9034, device='cuda:0')"
102,"tensor(3.4041, device='cuda:0')","tensor(14.9109, device='cuda:0')"
103,"tensor(3.7231, device='cuda:0')","tensor(14.4520, device='cuda:0')"
104,"tensor(3.9851, device='cuda:0')","tensor(13.5776, device='cuda:0')"
105,"tensor(3.5584, device='cuda:0')","tensor(13.5181, device='cuda:0')"
106,"tensor(2.8122, device='cuda:0')","tensor(15.2603, device='cuda:0')"
107,"tensor(2.3917, device='cuda:0')","tensor(14.8113, device='cuda:0')"
108,"tensor(2.2287, device='cuda:0')","tensor(15.2900, device='cuda:0')"
109,"tensor(2.9508, device='cuda:0')","tensor(19.3318, device='cuda:0')"
110,"tensor(1.5027, device='cuda:0')","tensor(16.1235, device='cuda:0')"
111,"tensor(1.8420, device='cuda:0')","tensor(12.4485, device='cuda:0')"
112,"tensor(1.5154, device='cuda:0')","tensor(11.0774, device='cuda:0')"
113,"tensor(1.3230, device='cuda:0')","tensor(11.9631, device='cuda:0')"
114,"tensor(2.7091, device='cuda:0')","tensor(35.9703, device='cuda:0')"
115,"tensor(1.9292, device='cuda:0')","tensor(26.5646, device='cuda:0')"
116,"tensor(2.4166, device='cuda:0')","tensor(23.6374, device='cuda:0')"
117,"tensor(1.6406, device='cuda:0')","tensor(20.4997, device='cuda:0')"
118,"tensor(3.1982, device='cuda:0')","tensor(25.9906, device='cuda:0')"
119,"tensor(2.5787, device='cuda:0')","tensor(23.8181, device='cuda:0')"
120,"tensor(2.7478, device='cuda:0')","tensor(22.6064, device='cuda:0')"
121,"tensor(2.5485, device='cuda:0')","tensor(11.3433, device='cuda:0')"
122,"tensor(3.6668, device='cuda:0')","tensor(17.0052, device='cuda:0')"
123,"tensor(4.4105, device='cuda:0')","tensor(17.2736, device='cuda:0')"
124,"tensor(4.7095, device='cuda:0')","tensor(16.8423, device='cuda:0')"
125,"tensor(4.6400, device='cuda:0')","tensor(18.3436, device='cuda:0')"
126,"tensor(6.2912, device='cuda:0')","tensor(21.4279, device='cuda:0')"
127,"tensor(6.6938, device='cuda:0')","tensor(19.9873, device='cuda:0')"
128,"tensor(5.9936, device='cuda:0')","tensor(18.7154, device='cuda:0')"
129,"tensor(4.7650, device='cuda:0')","tensor(18.7672, device='cuda:0')"
130,"tensor(4.4583, device='cuda:0')","tensor(20.7444, device='cuda:0')"
131,"tensor(5.0307, device='cuda:0')","tensor(14.2490, device='cuda:0')"
132,"tensor(5.7714, device='cuda:0')","tensor(16.7704, device='cuda:0')"
133,"tensor(7.4793, device='cuda:0')","tensor(20.6389, device='cuda:0')"
134,"tensor(5.9976, device='cuda:0')","tensor(21.8444, device='cuda:0')"
135,"tensor(7.2498, device='cuda:0')","tensor(28.0507, device='cuda:0')"
136,"tensor(7.8328, device='cuda:0')","tensor(33.0188, device='cuda:0')"
137,"tensor(7.8757, device='cuda:0')","tensor(43.3170, device='cuda:0')"
138,"tensor(10.0493, device='cuda:0')","tensor(119.9641, device='cuda:0')"
139,"tensor(5.7815, device='cuda:0')","tensor(75.9698, device='cuda:0')"
140,"tensor(3.0447, device='cuda:0')","tensor(57.0923, device='cuda:0')"
141,"tensor(2.3957, device='cuda:0')","tensor(14.2108, device='cuda:0')"
142,"tensor(1.9274, device='cuda:0')","tensor(16.7446, device='cuda:0')"
143,"tensor(2.2025, device='cuda:0')","tensor(18.6000, device='cuda:0')"
144,"tensor(2.4500, device='cuda:0')","tensor(18.4133, device='cuda:0')"
145,"tensor(2.6562, device='cuda:0')","tensor(22.0920, device='cuda:0')"
146,"tensor(2.9928, device='cuda:0')","tensor(31.4531, device='cuda:0')"
147,"tensor(3.4771, device='cuda:0')","tensor(31.6850, device='cuda:0')"
148,"tensor(3.2802, device='cuda:0')","tensor(33.5929, device='cuda:0')"
149,"tensor(3.2310, device='cuda:0')","tensor(34.1251, device='cuda:0')"
150,"tensor(4.0105, device='cuda:0')","tensor(39.4857, device='cuda:0')"
151,"tensor(2.5710, device='cuda:0')","tensor(14.6060, device='cuda:0')"
152,"tensor(2.6638, device='cuda:0')","tensor(15.8900, device='cuda:0')"
153,"tensor(2.9161, device='cuda:0')","tensor(18.9071, device='cuda:0')"
154,"tensor(2.9839, device='cuda:0')","tensor(21.7514, device='cuda:0')"
155,"tensor(3.2589, device='cuda:0')","tensor(25.0377, device='cuda:0')"
156,"tensor(3.4690, device='cuda:0')","tensor(23.0897, device='cuda:0')"
157,"tensor(4.5630, device='cuda:0')","tensor(22.6617, device='cuda:0')"
158,"tensor(3.1054, device='cuda:0')","tensor(21.6927, device='cuda:0')"
159,"tensor(3.9344, device='cuda:0')","tensor(28.1091, device='cuda:0')"
160,"tensor(3.2014, device='cuda:0')","tensor(25.6373, device='cuda:0')"
161,"tensor(2.2588, device='cuda:0')","tensor(13.5324, device='cuda:0')"
162,"tensor(5.1993, device='cuda:0')","tensor(45.3887, device='cuda:0')"
163,"tensor(6.3054, device='cuda:0')","tensor(50.4518, device='cuda:0')"
164,"tensor(4.4397, device='cuda:0')","tensor(35.9101, device='cuda:0')"
165,"tensor(4.7434, device='cuda:0')","tensor(35.0088, device='cuda:0')"
166,"tensor(4.8879, device='cuda:0')","tensor(35.3938, device='cuda:0')"
167,"tensor(1.8094, device='cuda:0')","tensor(31.2828, device='cuda:0')"
168,"tensor(2.2907, device='cuda:0')","tensor(32.2894, device='cuda:0')"
169,"tensor(1.9336, device='cuda:0')","tensor(21.8674, device='cuda:0')"
170,"tensor(1.8610, device='cuda:0')","tensor(24.6321, device='cuda:0')"
171,"tensor(2.5912, device='cuda:0')","tensor(8.8324, device='cuda:0')"
172,"tensor(2.5416, device='cuda:0')","tensor(10.7589, device='cuda:0')"
173,"tensor(2.4769, device='cuda:0')","tensor(12.8779, device='cuda:0')"
174,"tensor(3.6317, device='cuda:0')","tensor(11.6924, device='cuda:0')"
175,"tensor(3.2745, device='cuda:0')","tensor(12.6329, device='cuda:0')"
176,"tensor(4.1616, device='cuda:0')","tensor(15.2964, device='cuda:0')"
177,"tensor(3.1596, device='cuda:0')","tensor(13.5054, device='cuda:0')"
178,"tensor(2.7017, device='cuda:0')","tensor(16.9452, device='cuda:0')"
179,"tensor(1.9010, device='cuda:0')","tensor(14.3139, device='cuda:0')"
180,"tensor(1.3649, device='cuda:0')","tensor(15.0149, device='cuda:0')"
181,"tensor(1.3513, device='cuda:0')","tensor(9.5585, device='cuda:0')"
182,"tensor(1.8046, device='cuda:0')","tensor(13.6116, device='cuda:0')"
183,"tensor(1.9592, device='cuda:0')","tensor(11.9350, device='cuda:0')"
184,"tensor(2.3848, device='cuda:0')","tensor(12.7862, device='cuda:0')"
185,"tensor(2.5566, device='cuda:0')","tensor(13.4021, device='cuda:0')"
186,"tensor(1.7366, device='cuda:0')","tensor(23.5901, device='cuda:0')"
187,"tensor(3.2595, device='cuda:0')","tensor(30.0152, device='cuda:0')"
188,"tensor(2.7269, device='cuda:0')","tensor(27.3762, device='cuda:0')"
189,"tensor(3.1305, device='cuda:0')","tensor(28.8046, device='cuda:0')"
190,"tensor(4.0489, device='cuda:0')","tensor(35.1146, device='cuda:0')"
191,"tensor(4.2477, device='cuda:0')","tensor(14.0614, device='cuda:0')"
192,"tensor(4.5989, device='cuda:0')","tensor(14.7924, device='cuda:0')"
193,"tensor(5.0629, device='cuda:0')","tensor(16.1121, device='cuda:0')"
194,"tensor(6.2698, device='cuda:0')","tensor(19.6511, device='cuda:0')"
195,"tensor(5.1495, device='cuda:0')","tensor(16.6262, device='cuda:0')"
196,"tensor(3.7148, device='cuda:0')","tensor(16.5701, device='cuda:0')"
197,"tensor(3.9828, device='cuda:0')","tensor(17.0547, device='cuda:0')"
198,"tensor(5.7445, device='cuda:0')","tensor(20.1154, device='cuda:0')"
199,"tensor(4.7447, device='cuda:0')","tensor(18.5070, device='cuda:0')"
200,"tensor(3.5045, device='cuda:0')","tensor(19.0932, device='cuda:0')"
201,"tensor(3.4393, device='cuda:0')","tensor(12.1191, device='cuda:0')"
202,"tensor(1.9671, device='cuda:0')","tensor(13.2719, device='cuda:0')"
203,"tensor(2.4892, device='cuda:0')","tensor(13.8473, device='cuda:0')"
204,"tensor(2.6495, device='cuda:0')","tensor(14.9649, device='cuda:0')"
205,"tensor(2.7971, device='cuda:0')","tensor(15.5045, device='cuda:0')"
206,"tensor(2.9526, device='cuda:0')","tensor(16.9613, device='cuda:0')"
207,"tensor(2.4390, device='cuda:0')","tensor(17.4373, device='cuda:0')"
208,"tensor(2.6033, device='cuda:0')","tensor(19.6833, device='cuda:0')"
209,"tensor(2.4135, device='cuda:0')","tensor(20.9524, device='cuda:0')"
