iteration,original_grad_norm,regularized_grad_norm
80,"tensor(7.6911, device='cuda:0')","tensor(47.0922, device='cuda:0')"
81,"tensor(6.4483, device='cuda:0')","tensor(22.3597, device='cuda:0')"
82,"tensor(5.7124, device='cuda:0')","tensor(35.6477, device='cuda:0')"
83,"tensor(5.7534, device='cuda:0')","tensor(32.1247, device='cuda:0')"
84,"tensor(7.8051, device='cuda:0')","tensor(40.3255, device='cuda:0')"
85,"tensor(7.6459, device='cuda:0')","tensor(41.7060, device='cuda:0')"
86,"tensor(11.7085, device='cuda:0')","tensor(62.2376, device='cuda:0')"
87,"tensor(13.0040, device='cuda:0')","tensor(68.6188, device='cuda:0')"
88,"tensor(13.1311, device='cuda:0')","tensor(74.7464, device='cuda:0')"
89,"tensor(12.3013, device='cuda:0')","tensor(86.0025, device='cuda:0')"
90,"tensor(42.7286, device='cuda:0')","tensor(232.5069, device='cuda:0')"
91,"tensor(29.4366, device='cuda:0')","tensor(38.1258, device='cuda:0')"
92,"tensor(40.1035, device='cuda:0')","tensor(59.7357, device='cuda:0')"
93,"tensor(48.0041, device='cuda:0')","tensor(89.8283, device='cuda:0')"
94,"tensor(57.9009, device='cuda:0')","tensor(191.5581, device='cuda:0')"
95,"tensor(27.2201, device='cuda:0')","tensor(98.5455, device='cuda:0')"
96,"tensor(17.6276, device='cuda:0')","tensor(86.0043, device='cuda:0')"
97,"tensor(12.4098, device='cuda:0')","tensor(77.3459, device='cuda:0')"
98,"tensor(11.0792, device='cuda:0')","tensor(88.7696, device='cuda:0')"
99,"tensor(4.9009, device='cuda:0')","tensor(62.3710, device='cuda:0')"
100,"tensor(3.8165, device='cuda:0')","tensor(55.4082, device='cuda:0')"
101,"tensor(4.2224, device='cuda:0')","tensor(15.8568, device='cuda:0')"
102,"tensor(9.4968, device='cuda:0')","tensor(26.0646, device='cuda:0')"
103,"tensor(6.8413, device='cuda:0')","tensor(26.6435, device='cuda:0')"
104,"tensor(5.8116, device='cuda:0')","tensor(23.8332, device='cuda:0')"
105,"tensor(6.2061, device='cuda:0')","tensor(25.3279, device='cuda:0')"
106,"tensor(10.3038, device='cuda:0')","tensor(38.7656, device='cuda:0')"
107,"tensor(8.1415, device='cuda:0')","tensor(39.8842, device='cuda:0')"
108,"tensor(8.5258, device='cuda:0')","tensor(39.8871, device='cuda:0')"
109,"tensor(5.2566, device='cuda:0')","tensor(36.3035, device='cuda:0')"
110,"tensor(6.2378, device='cuda:0')","tensor(43.0241, device='cuda:0')"
111,"tensor(4.9700, device='cuda:0')","tensor(26.5238, device='cuda:0')"
112,"tensor(4.1637, device='cuda:0')","tensor(24.1592, device='cuda:0')"
113,"tensor(4.4590, device='cuda:0')","tensor(29.2396, device='cuda:0')"
114,"tensor(11.1783, device='cuda:0')","tensor(90.4789, device='cuda:0')"
115,"tensor(5.0219, device='cuda:0')","tensor(49.9813, device='cuda:0')"
116,"tensor(5.0045, device='cuda:0')","tensor(45.4732, device='cuda:0')"
117,"tensor(4.6996, device='cuda:0')","tensor(46.0938, device='cuda:0')"
118,"tensor(4.3329, device='cuda:0')","tensor(40.9955, device='cuda:0')"
119,"tensor(3.8606, device='cuda:0')","tensor(39.0686, device='cuda:0')"
120,"tensor(3.6913, device='cuda:0')","tensor(37.0698, device='cuda:0')"
121,"tensor(3.6107, device='cuda:0')","tensor(19.3002, device='cuda:0')"
122,"tensor(7.2916, device='cuda:0')","tensor(35.6810, device='cuda:0')"
123,"tensor(6.3824, device='cuda:0')","tensor(29.8925, device='cuda:0')"
124,"tensor(6.1310, device='cuda:0')","tensor(29.8490, device='cuda:0')"
125,"tensor(7.5415, device='cuda:0')","tensor(35.6190, device='cuda:0')"
126,"tensor(10.0173, device='cuda:0')","tensor(41.3999, device='cuda:0')"
127,"tensor(8.3684, device='cuda:0')","tensor(36.5968, device='cuda:0')"
128,"tensor(7.9770, device='cuda:0')","tensor(34.7744, device='cuda:0')"
129,"tensor(7.8197, device='cuda:0')","tensor(38.9450, device='cuda:0')"
130,"tensor(11.3663, device='cuda:0')","tensor(50.6421, device='cuda:0')"
131,"tensor(11.7644, device='cuda:0')","tensor(29.8633, device='cuda:0')"
132,"tensor(14.2357, device='cuda:0')","tensor(36.8817, device='cuda:0')"
133,"tensor(17.7557, device='cuda:0')","tensor(47.1241, device='cuda:0')"
134,"tensor(12.9847, device='cuda:0')","tensor(58.4860, device='cuda:0')"
135,"tensor(13.9301, device='cuda:0')","tensor(88.0572, device='cuda:0')"
136,"tensor(8.9807, device='cuda:0')","tensor(80.4996, device='cuda:0')"
137,"tensor(5.2417, device='cuda:0')","tensor(83.8633, device='cuda:0')"
138,"tensor(9.1653, device='cuda:0')","tensor(192.0726, device='cuda:0')"
139,"tensor(13.3263, device='cuda:0')","tensor(195.8970, device='cuda:0')"
140,"tensor(19.3120, device='cuda:0')","tensor(240.0006, device='cuda:0')"
141,"tensor(17.8420, device='cuda:0')","tensor(32.7983, device='cuda:0')"
142,"tensor(13.7512, device='cuda:0')","tensor(42.3665, device='cuda:0')"
143,"tensor(9.5335, device='cuda:0')","tensor(43.4140, device='cuda:0')"
144,"tensor(7.9735, device='cuda:0')","tensor(39.1881, device='cuda:0')"
145,"tensor(8.6368, device='cuda:0')","tensor(51.7426, device='cuda:0')"
146,"tensor(8.3183, device='cuda:0')","tensor(65.3702, device='cuda:0')"
147,"tensor(7.0557, device='cuda:0')","tensor(65.7964, device='cuda:0')"
148,"tensor(7.6023, device='cuda:0')","tensor(70.6311, device='cuda:0')"
149,"tensor(7.9693, device='cuda:0')","tensor(67.9667, device='cuda:0')"
150,"tensor(7.6839, device='cuda:0')","tensor(78.3868, device='cuda:0')"
151,"tensor(5.7105, device='cuda:0')","tensor(27.0140, device='cuda:0')"
152,"tensor(4.1331, device='cuda:0')","tensor(29.3761, device='cuda:0')"
153,"tensor(5.1568, device='cuda:0')","tensor(40.6550, device='cuda:0')"
