iteration,original_grad_norm,regularized_grad_norm,target_norm,input_norm,new_input_norm,old_input_norm,bound_norm,scale,regul,deg_f
19,40.566532135009766,2.5584867000579834,23810.9296875,9141.5146484375,9141.5146484375,0.0,415.6921938165305,0.1,0.001,5.0
20,0.1681802123785019,1.6250799894332886,9613.4365234375,4.280398368835449,4.280398368835449,0.0,415.6921938165305,0.1,0.001,5.0
21,149.011962890625,0.4569239616394043,9250.6318359375,296392.34375,296392.34375,0.0,415.6921938165305,0.1,0.001,5.0
22,0.13642928004264832,0.22132755815982819,14625.4013671875,82.93465423583984,82.93465423583984,0.0,415.6921938165305,0.1,0.001,5.0
23,0.7384753227233887,6.617213249206543,293.6593017578125,11.125496864318848,11.125496864318848,0.0,415.6921938165305,0.1,0.001,5.0
24,162.69589233398438,0.3648201525211334,49.83009338378906,123025.0078125,123025.0078125,0.0,415.6921938165305,0.1,0.001,5.0
25,20.348339080810547,30.344261169433594,7.012355804443359,92.5943374633789,92.5943374633789,0.0,415.6921938165305,0.1,0.001,5.0
26,0.10327274352312088,0.8552469611167908,4335.4375,4.342496395111084,4.342496395111084,0.0,415.6921938165305,0.1,0.001,5.0
27,5.0912370681762695,20.638540267944336,37.346282958984375,38.846229553222656,38.846229553222656,0.0,415.6921938165305,0.1,0.001,5.0
28,61.80058288574219,26.19514274597168,3.073911666870117,964.8067016601562,964.8067016601562,0.0,415.6921938165305,0.1,0.001,5.0
29,99.5602798461914,13.545766830444336,8.235058784484863,2492.25927734375,2492.25927734375,0.0,415.6921938165305,0.1,0.001,5.0
30,35.54005813598633,4.478923797607422,5654.1416015625,2967.957763671875,2967.957763671875,0.0,415.6921938165305,0.1,0.001,5.0
31,0.8951112627983093,6.3672943115234375,206.9178924560547,10.96163558959961,10.96163558959961,0.0,415.6921938165305,0.1,0.001,5.0
32,271.7196960449219,2.6872096061706543,187.7169647216797,9945.4794921875,9945.4794921875,0.0,415.6921938165305,0.1,0.001,5.0
33,0.3675398528575897,3.0717973709106445,820.379638671875,6.06083345413208,6.06083345413208,0.0,415.6921938165305,0.1,0.001,5.0
34,210.7102508544922,5.770735740661621,643.4863891601562,7063.3134765625,7063.3134765625,0.0,415.6921938165305,0.1,0.001,5.0
35,135.31784057617188,0.8191078901290894,1416.9632568359375,180443.09375,180443.09375,0.0,415.6921938165305,0.1,0.001,5.0
36,271.7142639160156,0.8586170673370361,8.491815567016602,112034.5234375,112034.5234375,0.0,415.6921938165305,0.1,0.001,5.0
37,0.04552841559052467,0.33064115047454834,19546.00390625,16.601280212402344,16.601280212402344,0.0,415.6921938165305,0.1,0.001,5.0
38,35.17387390136719,19.395681381225586,10.27502155303955,317.6168212890625,317.6168212890625,0.0,415.6921938165305,0.1,0.001,5.0
39,130.67160034179688,7.036546230316162,96.77776336669922,142368.4375,142368.4375,0.0,415.6921938165305,0.1,0.001,5.0
40,268.5552062988281,8.74172306060791,7672.828125,19059.818359375,19059.818359375,0.0,415.6921938165305,0.1,0.001,5.0
41,290.6479187011719,3.68715500831604,2356.3525390625,87914.015625,87914.015625,0.0,415.6921938165305,0.1,0.001,5.0
42,284.4752502441406,3.85367751121521,100.30880737304688,18436.322265625,18436.322265625,0.0,415.6921938165305,0.1,0.001,5.0
43,0.03822000324726105,0.09060253947973251,51197.50390625,72.59333801269531,72.59333801269531,0.0,415.6921938165305,0.1,0.001,5.0
44,1.7882874011993408,0.9086552262306213,110898.921875,458.99658203125,458.99658203125,0.0,415.6921938165305,0.1,0.001,5.0
45,235.6207275390625,9.37267017364502,2372.347412109375,7117.52783203125,7117.52783203125,0.0,415.6921938165305,0.1,0.001,5.0
