iteration,original_grad_norm,regularized_grad_norm,error_norm,input_norm,new_input_norm,old_input_norm,bound_norm
1,0.11772506684064865,1.0129289627075195,2.7062950134277344,0.03426843509078026,0.03426843509078026,0.0,415.6921938165305
2,0.09640955179929733,1.5570014715194702,2.8456501960754395,3.33628511428833,3.33628511428833,0.0,415.6921938165305
3,0.0968284085392952,2.075911283493042,3.9327704906463623,6.969847679138184,6.969847679138184,0.0,415.6921938165305
4,0.12710407376289368,2.8442275524139404,5.792523384094238,10.216458320617676,10.216458320617676,0.0,415.6921938165305
5,0.28769227862358093,4.903098106384277,8.303325653076172,13.523263931274414,13.523263931274414,0.0,415.6921938165305
6,0.4394265115261078,6.6902756690979,11.125782012939453,16.47739028930664,16.47739028930664,0.0,415.6921938165305
7,0.445170521736145,6.544819355010986,12.165438652038574,19.719379425048828,19.719379425048828,0.0,415.6921938165305
8,0.49236688017845154,7.313257217407227,13.953719139099121,23.179290771484375,23.179290771484375,0.0,415.6921938165305
9,0.2397250235080719,4.889136791229248,14.600064277648926,27.726608276367188,27.726608276367188,0.0,415.6921938165305
10,0.5890159606933594,7.515275001525879,17.092798233032227,30.771438598632812,30.771438598632812,0.0,415.6921938165305
11,0.571141242980957,8.05346393585205,18.695777893066406,33.28213119506836,33.28213119506836,0.0,415.6921938165305
12,0.7090871334075928,7.064941883087158,19.477325439453125,36.70743179321289,36.70743179321289,0.0,415.6921938165305
13,0.6309118866920471,6.091048717498779,21.02291488647461,40.71940231323242,40.71940231323242,0.0,415.6921938165305
14,0.6284009218215942,6.772005558013916,23.237274169921875,43.73782730102539,43.73782730102539,0.0,415.6921938165305
15,1.4084738492965698,8.308793067932129,28.404380798339844,48.336299896240234,48.336299896240234,0.0,415.6921938165305
16,1.0772666931152344,8.323904037475586,28.368206024169922,49.81792449951172,49.81792449951172,0.0,415.6921938165305
17,0.7916286587715149,7.6884307861328125,30.857421875,53.169578552246094,53.169578552246094,0.0,415.6921938165305
18,1.4975154399871826,7.887782573699951,34.05338668823242,57.6041145324707,57.6041145324707,0.0,415.6921938165305
19,1.5937376022338867,8.158278465270996,34.38546371459961,59.87326431274414,59.87326431274414,0.0,415.6921938165305
20,0.6012169122695923,6.489466190338135,30.90696907043457,64.996337890625,64.996337890625,0.0,415.6921938165305
21,1.0393143892288208,7.166273593902588,37.62619400024414,70.22077941894531,70.22077941894531,0.0,415.6921938165305
22,1.3035567998886108,6.642395973205566,38.87543487548828,74.70352935791016,74.70352935791016,0.0,415.6921938165305
23,0.8016918897628784,7.4005446434021,36.609222412109375,73.61522674560547,73.61522674560547,0.0,415.6921938165305
24,1.3388073444366455,7.2405171394348145,41.433345794677734,77.36934661865234,77.36934661865234,0.0,415.6921938165305
25,1.3144387006759644,7.241511344909668,44.63737487792969,77.97260284423828,77.97260284423828,0.0,415.6921938165305
26,1.391766905784607,6.877277851104736,43.62381362915039,84.85189819335938,84.85189819335938,0.0,415.6921938165305
27,0.8762001395225525,6.769108295440674,40.17812728881836,87.7437973022461,87.7437973022461,0.0,415.6921938165305
28,1.7930997610092163,7.0162506103515625,45.59779357910156,89.10382080078125,89.10382080078125,0.0,415.6921938165305
29,1.4388372898101807,6.28734016418457,50.35951232910156,96.53971099853516,96.53971099853516,0.0,415.6921938165305
30,3.666182279586792,6.370026111602783,60.18663787841797,97.97300720214844,97.97300720214844,0.0,415.6921938165305
