mse,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/online_lr,config/OCAR_alpha_ema,logdir
3.1204848143036097,1755312442,,False,1,ad31d13f,2025-08-16_04-47-22,911.3002183437347,911.3002183437347,10086,dl580-gpu3.unipi.it,131.114.142.6,911.3002183437347,1,0.006529403898076954,0.7123473250386455,ad31d13f
10.325850190219914,1755312397,,False,1,fc655996,2025-08-16_04-46-37,863.4761984348297,863.4761984348297,10197,dl580-gpu3.unipi.it,131.114.142.6,863.4761984348297,1,0.0009366381115599586,0.045659152628963806,fc655996
1.9443782549062818,1755312450,,False,1,20100043,2025-08-16_04-47-30,913.259804725647,913.259804725647,10391,dl580-gpu3.unipi.it,131.114.142.6,913.259804725647,1,0.0173218675874047,0.8221828476667172,20100043
4.385007205739074,1755312432,,False,1,b4095241,2025-08-16_04-47-12,892.6579966545105,892.6579966545105,10501,dl580-gpu3.unipi.it,131.114.142.6,892.6579966545105,1,0.0011198702140528594,0.43750314518517297,b4095241
10.975286634731372,1755312407,,False,1,cc31d9d4,2025-08-16_04-46-47,864.1583995819092,864.1583995819092,10690,dl580-gpu3.unipi.it,131.114.142.6,864.1583995819092,1,0.0003968358824282621,0.28557671606481794,cc31d9d4
1e+20,1755311866,,False,1,14d05aad,2025-08-16_04-37-46,320.44647908210754,320.44647908210754,11343,dl580-gpu3.unipi.it,131.114.142.6,320.44647908210754,1,0.012939910826227074,0.9034244066847702,14d05aad
8.84729850027837,1755312731,,False,1,60df66e4,2025-08-16_04-52-11,861.2920925617218,861.2920925617218,22231,dl580-gpu3.unipi.it,131.114.142.6,861.2920925617218,1,0.0002789530809021508,0.7118419828759199,60df66e4
1e+20,1755312736,,False,1,c501150c,2025-08-16_04-52-16,335.404345035553,335.404345035553,37613,dl580-gpu3.unipi.it,131.114.142.6,335.404345035553,1,0.03712321755743004,0.8188596668660979,c501150c
13.995770796603878,1755313251,,False,1,a735bd3b,2025-08-16_05-00-51,841.2472512722015,841.2472512722015,37948,dl580-gpu3.unipi.it,131.114.142.6,841.2472512722015,1,0.00016276409147210493,0.2375466035257071,a735bd3b
6.655048076923077,1755313296,,False,1,ca0617ff,2025-08-16_05-01-36,860.0948758125305,860.0948758125305,38814,dl580-gpu3.unipi.it,131.114.142.6,860.0948758125305,1,0.0004607175838694611,0.735931750617185,ca0617ff
4.694815202514614,1755313342,,False,1,c2155494,2025-08-16_05-02-22,896.5172612667084,896.5172612667084,39153,dl580-gpu3.unipi.it,131.114.142.6,896.5172612667084,1,0.0018685250508000792,0.16759620206476145,c2155494
1e+20,1755313111,,False,1,84c9d516,2025-08-16_04-58-31,657.3314211368561,657.3314211368561,39488,dl580-gpu3.unipi.it,131.114.142.6,657.3314211368561,1,0.004239346263882635,0.5526412392754517,84c9d516
8.651204532801335,1755313585,,False,1,cc2a42e2,2025-08-16_05-06-25,850.1811995506287,850.1811995506287,47274,dl580-gpu3.unipi.it,131.114.142.6,850.1811995506287,1,0.000289223052959363,0.7266648228412347,cc2a42e2
1.664769058312807e+18,1755313541,,False,1,f7572e47,2025-08-16_05-05-41,801.3048806190491,801.3048806190491,47531,dl580-gpu3.unipi.it,131.114.142.6,801.3048806190491,1,0.05115673264694012,0.11458514463644864,f7572e47
3.28043663589125,1755314006,,False,1,85e6a5c2,2025-08-16_05-13-26,891.1467144489288,891.1467144489288,58477,dl580-gpu3.unipi.it,131.114.142.6,891.1467144489288,1,0.015331298792788451,0.264881854057207,85e6a5c2
14.830079393616034,1755314105,,False,1,76e91105,2025-08-16_05-15-05,850.0653285980225,850.0653285980225,62435,dl580-gpu3.unipi.it,131.114.142.6,850.0653285980225,1,0.00014069390773967054,0.012016784377102852,76e91105
10.145632771179363,1755314160,,False,1,e634ad5a,2025-08-16_05-16-00,860.213862657547,860.213862657547,63777,dl580-gpu3.unipi.it,131.114.142.6,860.213862657547,1,0.000492676228616755,0.2622961652377819,e634ad5a
9.113304085088615,1755314207,,False,1,a59212e3,2025-08-16_05-16-47,860.7927489280701,860.7927489280701,65181,dl580-gpu3.unipi.it,131.114.142.6,860.7927489280701,1,0.0002812573141498587,0.6683201586366202,a59212e3
1e+20,1755313868,,False,1,5c2f5650,2025-08-16_05-11-08,323.39932203292847,323.39932203292847,71315,dl580-gpu3.unipi.it,131.114.142.6,323.39932203292847,1,0.006467364339683899,0.9739147963982616,5c2f5650
10.092909088800223,1755314458,,False,1,6e404a13,2025-08-16_05-20-58,868.6817183494568,868.6817183494568,72783,dl580-gpu3.unipi.it,131.114.142.6,868.6817183494568,1,0.0002517908604572967,0.6316353994329014,6e404a13
1e+20,1755314177,,False,1,d7671e13,2025-08-16_05-16-17,305.6192879676819,305.6192879676819,80711,dl580-gpu3.unipi.it,131.114.142.6,305.6192879676819,1,0.08292572410959397,0.996780364933747,d7671e13
1e+20,1755314344,,False,1,3b0e4804,2025-08-16_05-19-04,334.0663981437683,334.0663981437683,84568,dl580-gpu3.unipi.it,131.114.142.6,334.0663981437683,1,0.017991694041797235,0.8564581796211728,3b0e4804
2.735531434130556,1755315021,,False,1,cf7bd65a,2025-08-16_05-30-21,912.223687171936,912.223687171936,87443,dl580-gpu3.unipi.it,131.114.142.6,912.223687171936,1,0.007129915074468543,0.4608660687041893,cf7bd65a
