mse,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/online_lr,config/OCAR_regul,config/OCAR_regul_last,config/OCAR_alpha_ema,logdir
,1744373271,,False,1,fc5591ca,2025-04-11_14-07-51,4.911629676818848,4.911629676818848,4858,dl580-gpu3.unipi.it,131.114.142.6,4.911629676818848,1,0.0013020993546304814,4.2591043451374115e-08,1.8133990400011407e-06,0.6064763526134593,fc5591ca
0.4221498908066168,1744373275,,False,1,2cd6c0b4,2025-04-11_14-07-55,5.882015705108643,5.882015705108643,5038,dl580-gpu3.unipi.it,131.114.142.6,5.882015705108643,1,0.00014998682407383736,4.1031564234816315e-10,0.0046768021426707275,0.049718506867782675,2cd6c0b4
0.8025705291003715,1744373277,,False,1,d8c83fb5,2025-04-11_14-07-57,5.916781663894653,5.916781663894653,5214,dl580-gpu3.unipi.it,131.114.142.6,5.916781663894653,1,1.6561915677438808e-10,8.422971045969127e-07,7.189367514546089e-10,0.7282211213915739,d8c83fb5
0.5589420504686309,1744373279,,False,1,c5fdd8e4,2025-04-11_14-07-59,5.242659330368042,5.242659330368042,5468,dl580-gpu3.unipi.it,131.114.142.6,5.242659330368042,1,0.00028547968320697124,3.3053249188632914e-05,7.252572531971853e-08,0.20515620562523884,c5fdd8e4
0.4389789395216035,1744373283,,False,1,6ff777b8,2025-04-11_14-08-03,5.847928762435913,5.847928762435913,5626,dl580-gpu3.unipi.it,131.114.142.6,5.847928762435913,1,2.690464560524092e-05,9.631148179857808e-08,3.873383506089158e-06,0.9625977549606693,6ff777b8
0.43422554760444454,1744373285,,False,1,5b3f25fe,2025-04-11_14-08-05,5.834915637969971,5.834915637969971,5896,dl580-gpu3.unipi.it,131.114.142.6,5.834915637969971,1,3.30108961400947e-05,2.0519164589708023e-08,1.2265655374008453e-08,0.19487730213187882,5b3f25fe
0.8014375640124809,1744373287,,False,1,7c629d61,2025-04-11_14-08-07,5.149893760681152,5.149893760681152,6485,dl580-gpu3.unipi.it,131.114.142.6,5.149893760681152,1,5.7257176306219115e-09,1.5052816602562674e-05,3.519228882746916e-06,0.28047656638158813,7c629d61
,1744373290,,False,1,e8ef7f8d,2025-04-11_14-08-10,5.067720890045166,5.067720890045166,6720,dl580-gpu3.unipi.it,131.114.142.6,5.067720890045166,1,0.0012219124505179041,3.0749014741563108e-09,6.217004460212516e-07,0.5230702355043538,e8ef7f8d
0.796698593511814,1744373292,,False,1,cc0bcddc,2025-04-11_14-08-12,4.9380104541778564,4.9380104541778564,6872,dl580-gpu3.unipi.it,131.114.142.6,4.9380104541778564,1,2.827670376085899e-08,7.273187550212929e-09,8.66287623793769e-08,0.5559040679254402,cc0bcddc
0.46787462001893576,1744373296,,False,1,660ebcf9,2025-04-11_14-08-16,5.464017868041992,5.464017868041992,7092,dl580-gpu3.unipi.it,131.114.142.6,5.464017868041992,1,1.0996609234048065e-05,0.007370486707428242,2.7308688218114142e-06,0.9759869874009043,660ebcf9
0.416179936106612,1744373298,,False,1,2936f946,2025-04-11_14-08-18,5.167690753936768,5.167690753936768,7246,dl580-gpu3.unipi.it,131.114.142.6,5.167690753936768,1,0.00010993738652334839,3.941858497535033e-05,2.4492523417463066e-09,0.6074128984867264,2936f946
0.773879167510242,1744373301,,False,1,9da2656c,2025-04-11_14-08-21,5.926992177963257,5.926992177963257,7461,dl580-gpu3.unipi.it,131.114.142.6,5.926992177963257,1,1.4482402732422025e-07,1.8867023888187366e-07,4.053706073644359e-06,0.9782814280765941,9da2656c
0.7489040653880049,1744373303,,False,1,c735c32c,2025-04-11_14-08-23,5.157916307449341,5.157916307449341,7613,dl580-gpu3.unipi.it,131.114.142.6,5.157916307449341,1,2.8666682027494294e-07,2.1196562490796436e-10,0.00018757337176966682,0.9123585141892373,c735c32c
0.5196513199224705,1744373306,,False,1,d2dd01b5,2025-04-11_14-08-26,5.15431547164917,5.15431547164917,7834,dl580-gpu3.unipi.it,131.114.142.6,5.15431547164917,1,4.1634319057286015e-06,0.0029803071583497064,1.292979057471506e-10,0.5339586274188753,d2dd01b5
0.43112438481028487,1744373308,,False,1,652f3d17,2025-04-11_14-08-28,5.185234785079956,5.185234785079956,7984,dl580-gpu3.unipi.it,131.114.142.6,5.185234785079956,1,3.658464118094497e-05,7.704008601416873e-10,0.0037422606830956775,0.6169362335939886,652f3d17
0.8150861786633004,1744373311,,False,1,db04c6b8,2025-04-11_14-08-31,5.262214183807373,5.262214183807373,8210,dl580-gpu3.unipi.it,131.114.142.6,5.262214183807373,1,0.00040755407194740747,2.1332953754371846e-09,1.2000527018570174e-10,0.697915576247406,db04c6b8
0.802574064673447,1744373314,,False,1,a9e596bd,2025-04-11_14-08-34,5.927950620651245,5.927950620651245,8356,dl580-gpu3.unipi.it,131.114.142.6,5.927950620651245,1,1.3408724649298362e-10,1.7841615217369706e-09,4.812907885221244e-08,0.5830930197480839,a9e596bd
0.8012876743223609,1744373317,,False,1,e79434f6,2025-04-11_14-08-37,5.982393503189087,5.982393503189087,8574,dl580-gpu3.unipi.it,131.114.142.6,5.982393503189087,1,6.44618330835903e-09,6.646183693335795e-07,0.0017843743522589844,0.8571175666496915,e79434f6
0.7992965884324981,1744373320,,False,1,fa132f22,2025-04-11_14-08-40,6.096071720123291,6.096071720123291,8723,dl580-gpu3.unipi.it,131.114.142.6,6.096071720123291,1,1.5933066316254593e-08,5.97788618157506e-06,1.885205777901635e-07,0.8533768363996539,fa132f22
,1744373322,,False,1,f6e23689,2025-04-11_14-08-42,5.533417224884033,5.533417224884033,9020,dl580-gpu3.unipi.it,131.114.142.6,5.533417224884033,1,0.003521023797469172,1.846577892893559e-06,0.00015342635575235744,0.2259628079063385,f6e23689
0.7014184812220131,1744373325,,False,1,6b806196,2025-04-11_14-08-45,5.880450487136841,5.880450487136841,9169,dl580-gpu3.unipi.it,131.114.142.6,5.880450487136841,1,6.064614279097929e-07,1.1291239059324647e-08,1.3180931728375076e-06,0.6734149098079772,6b806196
0.48386927348811454,1744373327,,False,1,ec55f186,2025-04-11_14-08-47,5.137428283691406,5.137428283691406,9401,dl580-gpu3.unipi.it,131.114.142.6,5.137428283691406,1,7.561070525718455e-06,0.0019503067053982337,7.171493518151014e-06,0.5994233891330119,ec55f186
,1744373330,,False,1,1e6be1d8,2025-04-11_14-08-50,5.131544351577759,5.131544351577759,9547,dl580-gpu3.unipi.it,131.114.142.6,5.131544351577759,1,0.0034249908823177533,0.0005417075145145893,1.3774928162963781e-09,0.003168394108630297,1e6be1d8
