mse,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/online_lr,config/OCAR_regul,config/OCAR_regul_last,config/OCAR_alpha_ema,logdir
10000000000.0,1745394459,,False,1,68adf31a,2025-04-23_09-47-39,11.9371919631958,11.9371919631958,4858,dl580-gpu3.unipi.it,131.114.142.6,11.9371919631958,1,0.0023070940926831545,0.2423315058781195,0.5258474439885995,0.8660038560174551,68adf31a
10000000000.0,1745394463,,False,1,95435c5a,2025-04-23_09-47-43,12.605794906616211,12.605794906616211,5064,dl580-gpu3.unipi.it,131.114.142.6,12.605794906616211,1,0.011066994268556223,0.0036519114169208554,0.001837991923830183,0.41168616726705365,95435c5a
2.4138378980683117,1745394466,,False,1,a60acaaf,2025-04-23_09-47-46,13.218050956726074,13.218050956726074,5287,dl580-gpu3.unipi.it,131.114.142.6,13.218050956726074,1,0.0010525320479751802,0.7553903353100985,0.21384035250973063,0.4811366694321899,a60acaaf
10000000000.0,1745394469,,False,1,e6cadd15,2025-04-23_09-47-49,13.073854923248291,13.073854923248291,5407,dl580-gpu3.unipi.it,131.114.142.6,13.073854923248291,1,0.00970773211325312,0.10856869392046489,0.026188935751559558,0.3688338289812404,e6cadd15
1.5014331166337176,1745394475,,False,1,fcbad47d,2025-04-23_09-47-55,12.646948099136353,12.646948099136353,6162,dl580-gpu3.unipi.it,131.114.142.6,12.646948099136353,1,0.0006146284577393605,0.0024442122824080395,0.4562074804873481,0.21230723452423705,fcbad47d
10000000000.0,1745394478,,False,1,8484938e,2025-04-23_09-47-58,12.799949169158936,12.799949169158936,6280,dl580-gpu3.unipi.it,131.114.142.6,12.799949169158936,1,0.0029945760957460817,0.03209223975295032,0.18209667207711944,0.5559136790880206,8484938e
10000000000.0,1745394482,,False,1,ab98e594,2025-04-23_09-48-02,12.85954236984253,12.85954236984253,6415,dl580-gpu3.unipi.it,131.114.142.6,12.85954236984253,1,0.001804809939605025,0.00905194605696355,0.08675810088219968,0.3976094267034974,ab98e594
10000000000.0,1745394485,,False,1,a150a9b0,2025-04-23_09-48-05,13.035171031951904,13.035171031951904,6648,dl580-gpu3.unipi.it,131.114.142.6,13.035171031951904,1,0.09220893616606583,0.004688315085209381,0.5354359588072471,0.30532609163217284,a150a9b0
10000000000.0,1745394490,,False,1,a5f3289b,2025-04-23_09-48-10,12.82922649383545,12.82922649383545,6876,dl580-gpu3.unipi.it,131.114.142.6,12.82922649383545,1,0.007580091412366373,0.015205294761237545,0.44480787219730145,0.4515533708460694,a5f3289b
1.3913286720834128,1745394494,,False,1,fe6abb24,2025-04-23_09-48-14,12.888807535171509,12.888807535171509,7002,dl580-gpu3.unipi.it,131.114.142.6,12.888807535171509,1,0.0007243693494575207,0.010166311895353523,0.31884398080024134,0.7573726639752126,fe6abb24
10000000000.0,1745394498,,False,1,08fc8ac5,2025-04-23_09-48-18,13.187725067138672,13.187725067138672,7191,dl580-gpu3.unipi.it,131.114.142.6,13.187725067138672,1,0.00519187495737495,0.029125533835222813,0.013415965314942827,0.42149391195143227,08fc8ac5
